,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22149,47771,14295,79423,0,9,5.0,-11.4,5.6000000000000005,-2.2118279569892474,44.53,100.0,73.25549731182797,1,348,184.43951612903223,0.2,6.300000000000001,2.143548387096774,-4.7,13.3,2.250403225806452,2018,Idaho,Boise,United States,43.6158,-116.2016,11.0,42.0,28.01870967741936,24.0,56.0,36.05072580645162,0.7,20.7,7.032639290322581
1,2,27548,68357,17021,108177,0,9,5.0,-17.3,7.4,-4.732589285714286,31.97,100.0,68.67221726190476,9,345,248.4627976190476,0.4,6.6000000000000005,2.4205357142857147,-12.2,15.0,0.6647321428571429,2018,Idaho,Boise,United States,43.6158,-116.2016,1.0,45.0,23.481339285714284,10.0,59.0,33.19651785714286,1.3,21.7,7.941390392857144
2,3,44165,116288,24665,170610,0,9,4.0,-10.3,8.0,-1.7755376344086022,24.99,99.79,64.88013440860215,11,360,207.03629032258064,0.1,7.6,2.430241935483872,-5.800000000000001,18.8,4.739381720430107,2018,Idaho,Boise,United States,43.6158,-116.2016,13.0,46.0,28.80403225806452,22.0,66.0,40.530887096774194,0.3,24.9,7.9732349516129055
3,4,59259,157200,35292,212817,0,9,4.0,-10.7,11.8,1.1866666666666668,19.62,97.59,58.09219444444444,3,352,224.5583333333333,0.1,8.200000000000001,2.614583333333333,-3.1,30.1,9.95625,2018,Idaho,Boise,United States,43.6158,-116.2016,13.0,53.0,34.136,26.0,86.0,49.92125,0.3,26.9,8.578029583333333
4,5,68223,200357,39989,252521,0,9,3.0,-1.1,14.0,7.66236559139785,19.3,94.63,57.64508064516129,5,358,230.0201612903226,0.2,6.6000000000000005,1.934005376344086,2.1,29.6,17.105510752688172,2018,Idaho,Boise,United States,43.6158,-116.2016,30.0,57.0,45.79225806451613,36.0,85.0,62.78991935483871,0.7,21.7,6.345162198924731
5,6,49773,234006,33916,264593,0,9,2.0,-5.0,15.1,6.211388888888889,11.5,90.5,45.29288888888889,3,358,238.51666666666668,0.1,5.800000000000001,2.303472222222222,6.300000000000001,34.1,19.98333333333333,2018,Idaho,Boise,United States,43.6158,-116.2016,23.0,59.0,43.1805,43.0,93.0,67.97,0.3,19.0,7.557323805555555
6,7,43930,251434,38494,260696,0,8,1.0,-5.300000000000001,13.8,5.472715053763441,8.09,70.29,28.6664247311828,1,359,246.19086021505376,0.2,5.6000000000000005,2.185483870967742,9.1,39.7,27.21599462365592,2018,Idaho,Boise,United States,43.6158,-116.2016,22.0,57.0,41.850887096774194,48.0,103.0,80.98879032258066,0.7,18.4,7.170222903225807
7,8,58769,206262,54183,218181,0,8,1.0,-5.1000000000000005,10.6,3.024731182795699,6.18,74.57000000000001,26.961021505376344,1,357,249.127688172043,0.1,6.7,2.0806451612903225,10.0,42.8,25.27056451612903,2018,Idaho,Boise,United States,43.6158,-116.2016,23.0,51.0,37.44451612903226,50.0,109.0,77.48701612903226,0.3,22.0,6.8262638709677415
8,9,35013,160470,26457,178019,0,9,2.0,-8.9,5.800000000000001,-1.1666666666666667,8.98,61.82,27.215652777777777,4,358,235.79722222222225,0.1,5.7,1.962638888888889,5.7,36.3,19.48986111111111,2018,Idaho,Boise,United States,43.6158,-116.2016,16.0,42.0,29.9,42.0,97.0,67.08175,0.3,18.7,6.439104172222223
9,10,28661,98016,18657,131226,0,8,3.0,-11.9,10.1,0.7510752688172044,17.31,95.2,51.335120967741936,12,356,226.6478494623656,0.1,6.9,1.7065860215053763,0.3,25.1,11.45725806451613,2018,Idaho,Boise,United States,43.6158,-116.2016,11.0,50.0,33.35193548387097,33.0,77.0,52.62306451612904,0.3,22.6,5.599035682795699
10,11,20241,62361,13965,86080,0,9,3.0,-13.9,8.8,-4.080972222222223,18.82,100.0,60.322638888888896,18,353,215.3125,0.3,6.6000000000000005,1.9237500000000003,-3.1,16.3,3.6254166666666654,2018,Idaho,Boise,United States,43.6158,-116.2016,7.0,48.0,24.65425,26.0,61.0,38.52575,1.0,21.7,6.311515950000001
11,12,18462,42284,12346,70030,0,9,4.0,-17.5,2.9000000000000004,-5.502956989247312,43.32,100.0,73.96869623655914,16,355,187.1854838709677,0.2,8.200000000000001,2.1881720430107525,-10.1,8.5,-1.3165322580645162,2018,Idaho,Boise,United States,43.6158,-116.2016,0.0,37.0,22.09467741935484,14.0,47.0,29.63024193548387,0.7,26.9,7.179042365591397
