,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24240,49607,15042,83860,0,9,5.0,-20.700000000000003,0.3,-6.613037634408602,60.0,98.05,82.19147849462365,5,357,197.4744623655914,0.2,7.9,3.3001344086021507,-17.0,2.8000000000000003,-3.99233870967742,2020,Idaho,Idaho Falls,United States,43.5,-112.0333,-5.0,33.0,20.096532258064517,1.0,37.0,24.813790322580644,0.7,25.9,10.82721297311828
1,2,24227,91931,17664,112548,0,9,5.0,-25.4,0.0,-9.752529761904762,47.15,93.35,76.05473214285715,1,358,181.75446428571428,0.1,7.9,2.8364583333333337,-20.700000000000003,3.5,-6.135565476190477,2020,Idaho,Idaho Falls,United States,43.5,-112.0333,-14.0,32.0,14.445446428571426,-5.0,38.0,20.955982142857145,0.3,25.9,9.305965958333337
2,3,44523,133022,26302,175444,0,9,3.0,-16.0,2.6,-3.393413978494624,31.1,98.05,69.48286290322581,8,358,192.4220430107527,0.0,8.8,3.113978494623656,-13.9,11.5,2.006048387096774,2020,Idaho,Idaho Falls,United States,43.5,-112.0333,3.0,37.0,25.89185483870968,7.0,53.0,35.61088709677419,0.0,28.9,10.216465204301077
3,4,50889,171724,31324,219501,0,9,3.0,-17.2,11.7,-2.078472222222222,23.16,98.96,58.3005,3,357,204.475,0.3,7.2,2.756111111111111,-6.7,23.6,6.353194444444445,2020,Idaho,Idaho Falls,United States,43.5,-112.0333,1.0,53.0,28.25875,20.0,74.0,43.43575,1.0,23.6,9.04235957777778
4,5,68656,212447,37340,261205,0,9,3.0,-7.300000000000001,14.4,2.826881720430108,21.56,97.52,57.41706989247312,22,355,205.09408602150532,0.2,10.1,2.817741935483871,-1.6,31.4,12.168817204301076,2020,Idaho,Idaho Falls,United States,43.5,-112.0333,19.0,58.0,37.0883870967742,29.0,89.0,53.90387096774194,0.7,33.1,9.244560451612903
5,6,70937,203182,33710,266200,0,9,4.0,-2.3000000000000003,14.6,6.528611111111112,16.29,95.03,56.707388888888886,1,346,205.70416666666668,0.2,8.3,2.7665277777777777,0.9,31.4,16.271805555555556,2020,Idaho,Idaho Falls,United States,43.5,-112.0333,28.0,58.0,43.7515,34.0,89.0,61.28925,0.7,27.2,9.076534994444444
6,7,38535,249122,32681,266114,0,9,1.0,-1.1,16.0,7.08494623655914,14.86,91.4,43.35694892473119,2,344,195.2849462365592,0.1,7.7,2.297177419354839,7.0,35.7,21.66653225806452,2020,Idaho,Idaho Falls,United States,43.5,-112.0333,30.0,61.0,44.75290322580645,45.0,96.0,70.99975806451613,0.3,25.3,7.53667156451613
7,8,49119,208301,41122,225503,0,9,2.0,-4.6000000000000005,15.9,6.38508064516129,11.11,82.42,37.62456989247312,2,357,199.33602150537635,0.2,7.0,2.20483870967742,6.7,36.2,23.2375,2020,Idaho,Idaho Falls,United States,43.5,-112.0333,24.0,61.0,43.49314516129032,44.0,97.0,73.8275,0.7,23.0,7.233723032258067
8,9,37358,160742,34236,174860,0,9,1.0,-10.4,9.9,1.3694444444444445,8.65,84.29,40.485875,8,357,195.2763888888889,0.2,9.7,2.2348611111111114,-0.7000000000000001,34.7,16.507638888888888,2020,Idaho,Idaho Falls,United States,43.5,-112.0333,13.0,50.0,34.465,31.0,94.0,61.71375,0.7,31.8,7.332221727777779
9,10,29734,110466,20693,132862,0,9,3.0,-17.900000000000002,7.9,-3.201747311827957,12.82,90.15,47.503266129032255,3,357,208.372311827957,0.2,8.3,2.768279569892473,-8.200000000000001,25.1,8.505913978494624,2020,Idaho,Idaho Falls,United States,43.5,-112.0333,-0.0,46.0,26.23685483870968,17.0,77.0,47.31064516129032,0.7,27.2,9.08228234408602
10,11,19703,59922,14977,88501,0,9,3.0,-16.6,3.9,-5.9695833333333335,20.0,98.19,64.99144444444445,1,355,189.07777777777773,0.2,7.7,2.8181944444444444,-11.0,20.0,0.5840277777777778,2020,Idaho,Idaho Falls,United States,43.5,-112.0333,2.0,39.0,21.25475,12.0,68.0,33.05125,0.7,25.3,9.246045061111111
11,12,18630,48993,12774,72969,0,9,4.0,-20.200000000000003,2.5,-8.968951612903227,31.62,100.0,69.74743279569893,0,358,183.36155913978496,0.3,8.200000000000001,2.334139784946237,-14.6,7.0,-3.934274193548387,2020,Idaho,Idaho Falls,United States,43.5,-112.0333,-4.0,36.0,15.85588709677419,6.0,45.0,24.918306451612903,1.0,26.9,7.657939172043012
