,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21652,44054,13365,79762,0,9,5.0,-15.4,4.6000000000000005,-2.692204301075269,44.47,100.0,74.67985215053763,13,353,198.75,0.1,8.1,2.324731182795699,-10.8,11.5,1.468010752688172,2020,Idaho,Meridian,United States,43.6142,-116.3989,4.0,40.0,27.154032258064515,13.0,53.0,34.64241935483871,0.3,26.6,7.627071053763441
1,2,22460,84324,15714,107319,0,9,3.0,-12.1,4.2,-4.680654761904762,27.9,94.87,63.68691964285714,5,359,222.11309523809524,0.1,6.9,2.470386904761905,-6.4,15.8,1.8997023809523808,2020,Idaho,Meridian,United States,43.6142,-116.3989,10.0,40.0,23.574821428571425,20.0,60.0,35.419464285714284,0.3,22.6,8.104944172619048
2,3,42225,126001,26180,170822,0,9,3.0,-8.6,6.2,-1.3224462365591398,24.82,93.36,60.150766129032256,3,356,225.6935483870968,0.2,6.300000000000001,1.9869623655913984,-3.0,20.4,6.4555107526881725,2020,Idaho,Meridian,United States,43.6142,-116.3989,17.0,43.0,29.61959677419355,27.0,69.0,43.61991935483872,0.7,20.7,6.518905607526883
3,4,48074,190265,32589,215904,0,9,2.0,-11.9,14.7,0.2968055555555556,15.92,93.34,52.16641666666666,2,355,242.04305555555555,0.2,8.1,2.1822222222222223,-2.6,30.9,10.735,2020,Idaho,Meridian,United States,43.6142,-116.3989,11.0,58.0,32.53425,27.0,88.0,51.323,0.7,26.6,7.159521955555555
4,5,59495,211745,37526,259304,0,9,3.0,-7.1000000000000005,13.6,3.2848118279569896,14.1,93.15,49.402150537634405,2,359,215.65456989247312,0.1,8.4,2.277284946236559,2.5,36.4,15.425537634408602,2020,Idaho,Meridian,United States,43.6142,-116.3989,19.0,56.0,37.91266129032258,36.0,98.0,59.76596774193549,0.3,27.6,7.471407543010753
5,6,68805,208624,35470,263591,0,9,3.0,-3.6,16.3,7.243194444444445,14.76,92.54,51.896,2,358,246.09166666666667,0.1,6.4,2.355555555555556,5.5,37.6,18.824305555555554,2020,Idaho,Meridian,United States,43.6142,-116.3989,26.0,61.0,45.03775,42.0,100.0,65.88374999999999,0.3,21.0,7.728200888888891
6,7,38493,256280,35101,263721,0,9,1.0,-4.6000000000000005,15.4,7.053494623655914,10.28,76.94,36.79665322580645,2,358,241.5806451612904,0.2,4.800000000000001,2.145295698924732,10.2,40.400000000000006,24.60658602150537,2020,Idaho,Meridian,United States,43.6142,-116.3989,24.0,60.0,44.69629032258064,50.0,105.0,76.29185483870967,0.7,15.7,7.038371940860217
7,8,51393,206065,45451,221524,0,8,2.0,-7.4,16.5,6.182258064516129,9.78,69.09,31.498938172043008,6,357,248.4005376344086,0.2,6.0,2.188709677419355,13.1,38.5,25.76505376344086,2020,Idaho,Meridian,United States,43.6142,-116.3989,19.0,62.0,43.12806451612903,56.0,101.0,78.37709677419355,0.7,19.7,7.180806258064517
8,9,41549,158795,38361,169597,0,9,1.0,-14.9,12.3,0.1195833333333333,6.38,90.67,28.713569444444445,6,357,213.59444444444443,0.2,10.4,1.90125,7.4,38.400000000000006,21.18305555555556,2020,Idaho,Meridian,United States,43.6142,-116.3989,5.0,54.0,32.21525,45.0,101.0,70.12950000000001,0.7,34.1,6.23769705
9,10,27603,115126,22303,129835,0,8,2.0,-19.8,11.5,-1.9063172043010752,9.16,95.22,41.06108870967742,6,360,253.86155913978496,0.3,7.1000000000000005,2.101209677419355,-4.5,30.8,12.739784946236558,2020,Idaho,Meridian,United States,43.6142,-116.3989,-4.0,53.0,28.568629032258062,24.0,87.0,54.931612903225805,1.0,23.3,6.893732758064517
10,11,19783,60748,15536,85222,0,9,3.0,-11.0,5.2,-3.8925,15.3,95.85,60.257513888888894,7,355,191.8736111111111,0.1,6.5,2.086666666666667,-5.300000000000001,23.5,4.006111111111111,2020,Idaho,Meridian,United States,43.6142,-116.3989,12.0,41.0,24.9935,22.0,74.0,39.211,0.3,21.3,6.846019466666667
11,12,17473,49861,12463,70199,0,9,3.0,-13.0,5.7,-5.588844086021506,31.44,99.75,68.40333333333334,1,352,197.65456989247312,0.1,7.6,1.90255376344086,-6.6000000000000005,12.1,-0.1458333333333333,2020,Idaho,Meridian,United States,43.6142,-116.3989,9.0,42.0,21.940080645161288,20.0,54.0,31.7375,0.3,24.9,6.241974489247311
