,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22173,44472,13504,79770,0,9,5.0,-13.3,4.9,-2.500134408602151,39.22,99.78,70.97610215053764,16,335,211.5739247311828,0.3,7.5,2.5576612903225806,-8.3,12.9,2.434408602150538,2020,Idaho,Nampa,United States,43.5747,-116.5636,8.0,41.0,27.49975806451613,17.0,55.0,36.38193548387097,1.0,24.6,8.391277467741935
1,2,23216,84072,15938,107210,0,8,3.0,-11.8,4.0,-4.670089285714286,24.26,91.76,60.42203869047619,4,359,223.0997023809524,0.3,7.0,2.575892857142857,-5.300000000000001,17.1,2.706696428571429,2020,Idaho,Nampa,United States,43.5747,-116.5636,11.0,39.0,23.593839285714285,22.0,63.0,36.87205357142857,1.0,23.0,8.451092321428572
2,3,43373,126289,26369,170683,0,9,3.0,-9.1,5.300000000000001,-1.4858870967741935,21.0,91.7,57.05131720430108,0,357,231.7150537634409,0.3,6.800000000000001,2.0625,-2.5,21.700000000000003,7.145967741935484,2020,Idaho,Nampa,United States,43.5747,-116.5636,16.0,42.0,29.32540322580645,28.0,71.0,44.86274193548387,1.0,22.3,6.7667325
3,4,48236,188825,32802,215599,0,9,2.0,-11.7,13.6,0.1594444444444444,14.16,91.37,49.54597222222222,2,357,245.1625,0.4,7.800000000000001,2.166805555555556,-2.1,31.9,11.462083333333334,2020,Idaho,Nampa,United States,43.5747,-116.5636,11.0,56.0,32.287,28.0,89.0,52.63175,1.3,25.6,7.10894233888889
4,5,61328,211530,37696,258628,0,9,3.0,-7.6,13.2,3.261827956989248,13.1,90.23,47.38428763440861,1,359,213.989247311828,0.4,7.5,2.232930107526882,3.3000000000000003,37.7,16.11182795698925,2020,Idaho,Nampa,United States,43.5747,-116.5636,18.0,56.0,37.87129032258065,38.0,100.0,61.00129032258064,1.3,24.6,7.325886413978496
5,6,69132,212036,35672,262946,0,9,4.0,-3.8,15.8,7.2925,13.4,90.34,49.84220833333333,0,359,240.89305555555555,0.4,6.4,2.2841666666666667,6.300000000000001,38.2,19.552222222222223,2020,Idaho,Nampa,United States,43.5747,-116.5636,25.0,60.0,45.1265,43.0,101.0,67.194,1.3,21.0,7.493985366666666
6,7,38034,254564,35451,262951,0,9,1.0,-4.6000000000000005,15.5,7.139784946236559,9.82,75.0,35.889879032258065,3,358,240.2298387096774,0.4,4.9,2.0755376344086023,10.6,41.0,25.1978494623656,2020,Idaho,Nampa,United States,43.5747,-116.5636,24.0,60.0,44.851612903225806,51.0,106.0,77.35612903225808,1.3,16.1,6.809506892473118
7,8,52217,206421,45863,220710,0,9,2.0,-6.800000000000001,16.8,6.4864247311827965,10.21,69.35000000000001,31.3975,1,359,248.00806451612905,0.5,5.7,2.140994623655914,13.4,39.3,26.221774193548388,2020,Idaho,Nampa,United States,43.5747,-116.5636,20.0,62.0,43.67556451612904,56.0,103.0,79.1991935483871,1.6,18.7,7.024260801075269
8,9,42776,157033,38953,168626,0,9,1.0,-14.3,12.1,0.7837500000000001,6.05,90.97,29.064055555555555,1,355,220.25,0.4,10.1,1.8940277777777776,7.800000000000001,38.900000000000006,21.56375,2020,Idaho,Nampa,United States,43.5747,-116.5636,6.0,54.0,33.41075,46.0,102.0,70.81475,1.3,33.1,6.214002094444444
9,10,28007,114474,22538,129534,0,9,2.0,-19.6,11.4,-1.5303763440860216,9.2,93.83,40.41674731182796,1,358,246.6048387096774,0.5,6.5,2.161021505376344,-4.0,31.1,13.331451612903226,2020,Idaho,Nampa,United States,43.5747,-116.5636,-3.0,53.0,29.24532258064516,25.0,88.0,55.99661290322581,1.6,21.3,7.089965795698925
10,11,19550,62224,15669,85079,0,9,3.0,-10.8,5.9,-3.700555555555556,14.92,94.66,58.01086111111111,1,358,208.9055555555556,0.4,6.6000000000000005,2.182361111111111,-4.5,24.700000000000003,4.695555555555556,2020,Idaho,Nampa,United States,43.5747,-116.5636,13.0,43.0,25.339,24.0,76.0,40.452,1.3,21.7,7.159977627777778
11,12,17930,49676,12603,70099,0,9,4.0,-12.3,5.9,-5.400806451612904,28.55,100.0,66.3102688172043,1,354,201.06317204301075,0.2,7.1000000000000005,1.935483870967742,-6.1000000000000005,13.6,0.5099462365591398,2020,Idaho,Nampa,United States,43.5747,-116.5636,10.0,43.0,22.278548387096773,21.0,56.0,32.917903225806455,0.7,23.3,6.350012903225807
