,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24123,44018,14431,85707,0,9,5.0,-18.0,0.8,-6.074462365591399,57.63,96.96,80.8490188172043,18,356,203.55645161290323,0.5,8.200000000000001,3.2227150537634413,-15.2,3.8,-3.1826612903225806,2020,Idaho,Pocatello,United States,42.8752,-112.4473,-0.0,33.0,21.06596774193548,5.0,39.0,26.27120967741936,1.6,26.9,10.573212456989248
1,2,26648,80830,16448,113345,0,9,4.0,-23.4,0.7000000000000001,-8.307291666666666,37.92,97.13,71.01434523809523,4,359,192.5744047619048,0.2,9.4,3.1322916666666667,-19.1,9.3,-3.5005952380952383,2020,Idaho,Pocatello,United States,42.8752,-112.4473,-10.0,33.0,17.046875,-2.0,49.0,25.69892857142857,0.7,30.8,10.276547791666667
2,3,47908,122034,25264,176463,0,9,3.0,-12.3,3.4000000000000004,-3.0274193548387096,24.9,100.0,64.96610215053764,6,359,200.2782258064516,0.3,8.9,3.0463709677419355,-6.4,17.1,3.635349462365592,2020,Idaho,Pocatello,United States,42.8752,-112.4473,10.0,38.0,26.550645161290323,20.0,63.0,38.54362903225807,1.0,29.2,9.994655725806451
3,4,49397,177011,31802,221345,0,9,3.0,-16.7,11.7,-1.94125,19.0,96.66,55.641333333333336,1,358,204.69027777777777,0.4,8.1,2.746388888888889,-6.300000000000001,25.3,7.381944444444445,2020,Idaho,Pocatello,United States,42.8752,-112.4473,2.0,53.0,28.50575,21.0,78.0,45.2875,1.3,26.6,9.010462522222223
4,5,69132,208085,37263,262182,0,9,4.0,-8.8,15.0,2.4021505376344088,16.37,94.86,53.16079301075269,7,353,203.53225806451613,0.2,9.9,2.6694892473118284,-1.4,33.2,13.193413978494624,2020,Idaho,Pocatello,United States,42.8752,-112.4473,16.0,59.0,36.32387096774194,29.0,92.0,55.74814516129032,0.7,32.5,8.758167102150539
5,6,71177,197937,33843,266561,0,9,4.0,-3.2,13.8,5.922916666666667,12.41,94.56,52.392472222222224,7,358,216.4375,0.1,8.200000000000001,2.8025,1.3,33.0,17.249722222222225,2020,Idaho,Pocatello,United States,42.8752,-112.4473,26.0,57.0,42.66125,34.0,91.0,63.04950000000001,0.3,26.9,9.1945541
6,7,41159,249756,33067,266843,0,8,1.0,-1.8,15.6,6.363709677419355,13.05,88.05,38.84399193548387,8,346,199.2217741935484,0.3,7.2,2.254032258064516,7.800000000000001,37.4,22.86881720430108,2020,Idaho,Pocatello,United States,42.8752,-112.4473,29.0,60.0,43.45467741935484,46.0,99.0,73.16387096774196,1.0,23.6,7.395119193548386
7,8,49556,209560,41391,226780,0,8,2.0,-6.800000000000001,15.1,5.316801075268818,9.77,80.09,32.644045698924735,19,351,211.0913978494624,0.3,6.300000000000001,2.215994623655914,8.3,37.7,24.42271505376344,2020,Idaho,Pocatello,United States,42.8752,-112.4473,20.0,59.0,41.57024193548387,47.0,100.0,75.9608870967742,1.0,20.7,7.270323801075269
8,9,38761,166326,34508,176854,0,9,1.0,-11.0,9.9,0.6061111111111112,5.98,85.66,36.53784722222223,3,358,191.3347222222222,0.1,11.8,2.29875,0.6000000000000001,36.4,17.522916666666667,2020,Idaho,Pocatello,United States,42.8752,-112.4473,12.0,50.0,33.091,33.0,98.0,63.541250000000005,0.3,38.7,7.54183095
9,10,32267,112976,21486,134823,0,8,3.0,-19.6,9.1,-3.728225806451613,10.82,91.19,43.74938172043011,2,359,207.78897849462365,0.3,7.9,2.866801075268817,-8.4,26.4,9.411827956989248,2020,Idaho,Pocatello,United States,42.8752,-112.4473,-3.0,48.0,25.289193548387097,17.0,80.0,48.94129032258064,1.0,25.9,9.405515639784946
10,11,20988,60926,15017,90821,0,9,3.0,-15.8,4.5,-5.726666666666667,17.16,100.0,62.68611111111111,6,340,190.7722222222222,0.2,7.6,2.766388888888889,-8.0,20.8,1.5280555555555555,2020,Idaho,Pocatello,United States,42.8752,-112.4473,4.0,40.0,21.692,18.0,69.0,34.7505,0.7,24.9,9.076079322222222
11,12,17288,51871,12789,75421,0,9,4.0,-18.0,2.2,-8.636155913978495,29.93,97.86,68.47701612903226,3,357,177.9247311827957,0.1,9.6,2.2763440860215054,-12.6,7.800000000000001,-3.2998655913978494,2020,Idaho,Pocatello,United States,42.8752,-112.4473,-0.0,36.0,16.454919354838708,9.0,46.0,26.060241935483877,0.3,31.5,7.4683207311827955
