,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23868,49198,21827,86516,0,9,4.0,-20.1,6.7,-4.728091397849463,50.36,100.0,87.62708333333333,2,359,221.2244623655914,0.5,10.1,3.686559139784946,-17.3,7.1000000000000005,-2.89744623655914,2020,Illinois,Aurora,United States,41.7639,-88.29,-4.0,44.0,23.489435483870967,1.0,45.0,26.78459677419355,1.6,33.1,12.095010688172042
1,2,30142,76734,23610,113426,0,8,4.0,-23.6,5.1000000000000005,-5.697470238095239,52.36,100.0,83.35941964285715,2,359,212.3452380952381,0.3,7.9,4.040029761904762,-21.3,9.8,-3.1523809523809527,2020,Illinois,Aurora,United States,41.7639,-88.29,-10.0,41.0,21.74455357142857,-6.0,50.0,26.325714285714284,1.0,25.9,13.25469124404762
2,3,38834,90177,33956,171461,0,9,3.0,-7.6,16.8,1.1088709677419355,47.85,100.0,84.42638440860216,4,359,177.42741935483872,0.3,10.3,3.8887096774193552,-5.1000000000000005,16.8,3.702016129032258,2020,Illinois,Aurora,United States,41.7639,-88.29,18.0,62.0,33.99596774193549,23.0,62.0,38.66362903225807,1.0,33.8,12.758234258064515
3,4,53306,140398,47124,210980,0,9,3.0,-7.7,18.4,3.7959722222222223,38.27,100.0,78.9795,3,359,198.42777777777772,0.5,9.1,3.55625,-4.800000000000001,23.8,7.606666666666667,2020,Illinois,Aurora,United States,41.7639,-88.29,18.0,65.0,38.83275,23.0,75.0,45.692,1.6,29.9,11.66748725
4,5,69779,173535,46886,249721,0,9,3.0,-5.4,23.4,10.491666666666667,38.98,100.0,81.00814516129032,1,359,173.7284946236559,0.5,6.7,3.0975806451612904,-2.3000000000000003,28.6,14.085887096774194,2020,Illinois,Aurora,United States,41.7639,-88.29,22.0,74.0,50.885000000000005,28.0,83.0,57.35459677419355,1.6,22.0,10.162666483870968
5,6,68288,204924,48215,250323,0,9,3.0,6.0,25.3,17.04986111111111,40.27,100.0,78.45344444444444,3,358,188.6472222222222,0.4,9.1,2.633055555555556,8.200000000000001,30.700000000000003,21.387222222222224,2020,Illinois,Aurora,United States,41.7639,-88.29,43.0,78.0,62.68975,47.0,87.0,70.49700000000001,1.3,29.9,8.63863398888889
6,7,66923,202953,47004,248158,0,9,2.0,14.6,26.1,20.320833333333333,48.86,100.0,80.20506720430107,7,357,180.11290322580646,0.5,6.1000000000000005,2.2185483870967744,15.9,32.1,24.25967741935484,2020,Illinois,Aurora,United States,41.7639,-88.29,58.0,79.0,68.5775,61.0,90.0,75.66741935483871,1.6,20.0,7.278702290322581
7,8,58725,187509,42511,221167,0,9,2.0,10.1,25.6,17.0991935483871,35.84,100.0,73.22131720430107,3,357,188.06182795698925,0.4,5.0,2.0846774193548385,11.8,34.0,22.73736559139785,2020,Illinois,Aurora,United States,41.7639,-88.29,50.0,78.0,62.77854838709678,53.0,93.0,72.92725806451614,1.3,16.4,6.8394930645161285
8,9,45867,124113,45065,168156,0,9,2.0,3.6,22.200000000000003,12.628333333333332,28.76,100.0,77.32041666666666,1,356,178.73472222222222,0.7000000000000001,8.1,2.97875,5.800000000000001,30.5,17.264583333333334,2020,Illinois,Aurora,United States,41.7639,-88.29,38.0,72.0,54.731,42.0,87.0,63.07625,2.3,26.6,9.77280215
9,10,31488,88156,29030,131178,0,9,3.0,-6.6000000000000005,19.8,4.116935483870968,26.25,100.0,74.43354838709678,1,359,217.78897849462365,0.7000000000000001,8.700000000000001,3.2900537634408606,-3.6,26.200000000000003,9.038306451612904,2020,Illinois,Aurora,United States,41.7639,-88.29,20.0,68.0,39.41048387096775,26.0,79.0,48.26895161290322,2.3,28.5,10.794139989247313
10,11,21368,64849,17970,89835,0,8,3.0,-9.7,17.900000000000002,1.9701388888888889,27.72,100.0,77.36216666666667,2,356,229.10416666666663,0.3,11.0,3.89125,-5.1000000000000005,23.4,6.06,2020,Illinois,Aurora,United States,41.7639,-88.29,15.0,64.0,35.54625,23.0,74.0,42.908,1.0,36.1,12.76656865
11,12,17991,47611,16649,75356,0,9,3.0,-17.5,7.800000000000001,-4.411693548387097,43.32,100.0,82.31727150537635,2,358,217.92741935483872,0.6000000000000001,9.5,3.4138440860215056,-12.3,11.3,-1.6293010752688173,2020,Illinois,Aurora,United States,41.7639,-88.29,0.0,46.0,24.058951612903225,10.0,52.0,29.06725806451613,2.0,31.2,11.200276231182796
