,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23719,51447,19960,87242,0,8,5.0,-17.8,10.2,-6.143682795698925,52.83,100.0,83.51939516129032,0,359,239.0241935483871,0.9,11.6,5.847983870967743,-17.400000000000002,10.3,-3.661424731182795,2018,Illinois,Chicago,United States,41.8832,-87.6324,-0.0,50.0,20.941370967741936,1.0,51.0,25.40943548387097,3.0,38.1,19.18629940322581
1,2,32127,60738,23606,111175,0,9,5.0,-17.6,9.7,-5.145535714285715,52.76,100.0,82.60854166666667,2,360,210.6577380952381,0.8,11.4,4.655059523809524,-15.9,10.9,-2.499107142857143,2018,Illinois,Chicago,United States,41.8832,-87.6324,0.0,49.0,22.738035714285715,3.0,52.0,27.501607142857143,2.6,37.4,15.27250548809524
2,3,42949,123398,29205,174181,0,9,3.0,-7.6,6.800000000000001,-2.537903225806452,45.56,100.0,78.04537634408602,2,358,157.65591397849462,0.5,11.6,4.411962365591398,-4.5,11.2,1.000268817204301,2018,Illinois,Chicago,United States,41.8832,-87.6324,18.0,44.0,27.431774193548385,24.0,52.0,33.80048387096774,1.6,38.1,14.474942607526884
3,4,54282,142896,47309,209919,0,9,4.0,-9.2,10.0,-0.3583333333333333,40.45,100.0,77.44584722222223,1,359,170.55,0.3,10.8,4.258333333333334,-4.800000000000001,17.3,3.4744444444444444,2018,Illinois,Chicago,United States,41.8832,-87.6324,15.0,50.0,31.355,23.0,63.0,38.254,1.0,35.4,13.970910333333334
4,5,69803,169940,51649,240763,0,9,4.0,5.4,21.4,12.45013440860215,42.29,100.0,84.70545698924731,1,358,141.78897849462365,0.3,9.2,3.0551075268817205,6.6000000000000005,30.0,15.2875,2018,Illinois,Chicago,United States,41.8832,-87.6324,42.0,71.0,54.41024193548387,44.0,86.0,59.5175,1.0,30.2,10.023318978494624
5,6,68909,169791,52205,244220,0,9,4.0,7.6,25.4,16.858888888888888,47.81,100.0,87.67701388888888,1,358,137.70694444444445,0.3,7.2,3.2748611111111114,10.2,28.0,19.10833333333333,2018,Illinois,Chicago,United States,41.8832,-87.6324,46.0,78.0,62.346,50.0,82.0,66.395,1.0,23.6,10.74429532777778
6,7,66348,200662,47117,248754,0,9,2.0,12.4,24.3,19.019086021505377,54.17,100.0,80.76568548387097,1,359,178.63709677419354,0.1,7.5,3.007258064516129,16.0,29.3,22.688172043010752,2018,Illinois,Chicago,United States,41.8832,-87.6324,54.0,76.0,66.23435483870968,61.0,85.0,72.83870967741936,0.3,24.6,9.866332548387096
7,8,66483,162531,54017,212554,0,9,2.0,12.6,24.8,19.79475806451613,47.18,100.0,80.35486559139785,4,359,173.80779569892474,0.4,8.1,3.34233870967742,17.0,30.9,23.595698924731185,2018,Illinois,Chicago,United States,41.8832,-87.6324,55.0,77.0,67.63056451612903,63.0,88.0,74.47225806451613,1.3,26.6,10.965678532258067
8,9,44110,123041,30743,173091,0,9,3.0,2.8000000000000003,23.700000000000003,16.3075,41.68,100.0,80.24269444444444,1,359,148.0388888888889,0.4,9.4,3.8745833333333337,9.3,29.6,20.012083333333333,2018,Illinois,Chicago,United States,41.8832,-87.6324,37.0,75.0,61.3535,49.0,85.0,68.02175,1.3,30.8,12.711887983333334
9,10,33394,80878,24021,132637,0,9,3.0,-2.1,21.1,8.188709677419356,38.06,100.0,80.24376344086022,2,356,207.75806451612905,0.6000000000000001,11.7,4.972715053763441,0.8,26.6,11.65430107526882,2018,Illinois,Chicago,United States,41.8832,-87.6324,28.0,70.0,46.73967741935484,33.0,80.0,52.97774193548388,2.0,38.4,16.314682456989246
10,11,26064,40094,20342,89466,0,9,5.0,-8.0,9.8,-0.2969444444444444,57.02,99.93,82.85365277777777,3,359,208.44722222222225,0.3,12.4,5.1525,-6.1000000000000005,11.8,2.393333333333333,2018,Illinois,Chicago,United States,41.8832,-87.6324,18.0,50.0,31.4655,21.0,53.0,36.308,1.0,40.7,16.9045281
11,12,18658,39931,16845,73663,0,9,4.0,-15.8,8.4,-1.2947580645161292,59.39,100.0,85.80452956989247,4,357,224.5188172043011,0.1,9.8,4.693951612903226,-15.1,8.6,0.8782258064516129,2018,Illinois,Chicago,United States,41.8832,-87.6324,4.0,47.0,29.669435483870966,5.0,47.0,33.5808064516129,0.3,32.2,15.40010420967742
