,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23482,63796,19754,89086,0,9,4.0,-27.700000000000003,13.3,-8.352956989247312,37.81,100.0,77.91560483870968,1,357,242.2943548387097,0.3,8.9,4.228225806451613,-24.4,14.7,-4.911290322580645,2018,Illinois,Joliet,United States,41.5206,-88.1506,-18.0,56.0,16.964677419354835,-12.0,58.0,23.15967741935484,1.0,29.2,13.87213235483871
1,2,30206,70342,24285,112555,0,9,5.0,-21.200000000000003,13.8,-5.701339285714286,36.32,100.0,80.36227678571429,1,356,203.85119047619048,0.5,9.4,3.720684523809524,-18.4,15.9,-2.5828869047619047,2018,Illinois,Joliet,United States,41.5206,-88.1506,-6.0,57.0,21.73758928571429,-1.0,61.0,27.35080357142857,1.6,30.8,12.20697061309524
2,3,43725,121130,30457,175092,0,9,3.0,-8.1,8.8,-2.574462365591398,41.5,100.0,76.3574059139785,1,358,156.92069892473117,0.1,11.0,3.568817204301076,-5.1000000000000005,14.8,1.471774193548387,2018,Illinois,Joliet,United States,41.5206,-88.1506,17.0,48.0,27.365967741935485,23.0,59.0,34.649193548387096,0.3,36.1,11.708718236559143
3,4,55794,143317,48912,211017,0,9,3.0,-11.3,17.3,0.2249999999999999,32.25,100.0,74.75559722222222,2,360,174.14027777777778,0.3,8.8,3.2890277777777777,-6.7,23.1,4.875555555555556,2018,Illinois,Joliet,United States,41.5206,-88.1506,12.0,63.0,32.405,20.0,74.0,40.776,1.0,28.9,10.790773894444444
4,5,69190,175795,52696,242123,0,9,4.0,6.2,23.3,15.063978494623656,36.73,100.0,79.93829301075269,4,347,156.28897849462365,0.2,8.200000000000001,2.7920698924731187,6.7,33.4,19.06411290322581,2018,Illinois,Joliet,United States,41.5206,-88.1506,43.0,74.0,59.11516129032258,44.0,92.0,66.31540322580645,0.7,26.9,9.160334586021506
5,6,68354,172793,53257,245125,0,9,4.0,7.1000000000000005,28.4,18.7075,44.21,100.0,83.49158333333334,3,355,168.54722222222222,0.1,7.0,2.590138888888889,9.4,32.1,21.914583333333333,2018,Illinois,Joliet,United States,41.5206,-88.1506,45.0,83.0,65.67349999999999,49.0,90.0,71.44624999999999,0.3,23.0,8.497831272222223
6,7,65566,205791,48850,249241,0,9,2.0,11.9,26.6,18.915053763440863,42.57,100.0,79.78854838709677,2,358,192.94489247311827,0.4,6.1000000000000005,2.215188172043011,13.1,31.6,22.94301075268817,2018,Illinois,Joliet,United States,41.5206,-88.1506,53.0,80.0,66.04709677419356,56.0,89.0,73.29741935483871,1.3,20.0,7.267677962365592
7,8,66805,165931,54549,214465,0,9,2.0,10.6,25.200000000000003,18.81706989247312,35.56,100.0,75.836438172043,1,359,192.5040322580645,0.1,6.1000000000000005,2.2400537634408604,13.0,34.1,23.930645161290325,2018,Illinois,Joliet,United States,41.5206,-88.1506,51.0,77.0,65.87072580645162,55.0,93.0,75.07516129032258,0.3,20.0,7.349257989247312
8,9,43297,129506,31661,174374,0,9,3.0,-0.7000000000000001,24.8,15.525555555555554,29.89,100.0,77.04122222222222,3,360,151.07638888888889,0.3,6.800000000000001,2.500138888888889,3.4000000000000004,33.300000000000004,20.203333333333333,2018,Illinois,Joliet,United States,41.5206,-88.1506,31.0,77.0,59.946,38.0,92.0,68.366,1.0,22.3,8.202555672222223
9,10,32852,89009,24330,134448,0,9,3.0,-5.9,22.1,6.825403225806452,30.32,100.0,78.84139784946237,3,359,207.0685483870968,0.2,9.7,3.1416666666666666,-4.7,30.700000000000003,10.787096774193548,2018,Illinois,Joliet,United States,41.5206,-88.1506,21.0,72.0,44.285725806451616,24.0,87.0,51.41677419354839,0.7,31.8,10.307305666666666
10,11,25379,50962,20968,91738,0,9,4.0,-13.4,10.1,-2.373055555555556,40.95,100.0,82.73693055555556,1,359,195.98055555555555,0.3,10.1,3.13375,-10.8,12.4,0.4222222222222222,2018,Illinois,Joliet,United States,41.5206,-88.1506,8.0,50.0,27.7285,13.0,54.0,32.76,1.0,33.1,10.28133235
11,12,18811,48305,17342,75577,0,9,3.0,-25.0,9.7,-2.7806451612903227,50.45,100.0,85.89057795698925,1,359,213.68413978494624,0.5,8.9,3.1088709677419355,-21.6,9.7,-0.5669354838709677,2018,Illinois,Joliet,United States,41.5206,-88.1506,-13.0,49.0,26.994838709677417,-7.0,49.0,30.97951612903226,1.6,29.2,10.199708225806452
