,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23818,48803,21849,86572,0,9,4.0,-20.0,6.7,-4.575537634408603,49.72,100.0,87.32098118279569,4,357,218.15456989247312,0.4,10.1,3.611021505376344,-17.1,7.2,-2.690725806451613,2020,Illinois,Naperville,United States,41.7481,-88.1656,-4.0,44.0,23.764032258064518,1.0,45.0,27.156693548387096,1.3,33.1,11.847183795698925
1,2,29280,76542,23705,113355,0,8,4.0,-23.4,5.4,-5.512351190476191,51.07,100.0,83.16852678571429,4,358,209.9315476190476,0.4,8.0,3.935119047619048,-21.1,10.0,-2.930059523809524,2020,Illinois,Naperville,United States,41.7481,-88.1656,-10.0,42.0,22.077767857142856,-6.0,50.0,26.725892857142856,1.3,26.2,12.910495976190475
2,3,39182,88790,33973,171262,0,9,3.0,-7.5,16.900000000000002,1.2388440860215055,47.21,100.0,84.25834677419354,5,357,173.2311827956989,0.3,10.6,3.853225806451613,-5.1000000000000005,16.900000000000002,3.868279569892473,2020,Illinois,Naperville,United States,41.7481,-88.1656,18.0,62.0,34.229919354838714,23.0,62.0,38.96290322580645,1.0,34.8,12.641817354838713
3,4,53899,139085,47602,211101,0,9,3.0,-7.7,18.4,3.897916666666666,38.0,100.0,78.73845833333334,2,358,197.87222222222223,0.5,9.1,3.571388888888889,-4.800000000000001,24.0,7.766666666666667,2020,Illinois,Naperville,United States,41.7481,-88.1656,18.0,65.0,39.01625,23.0,75.0,45.98,1.6,29.9,11.717155522222225
4,5,70850,171390,47300,249871,0,9,3.0,-5.5,23.5,10.631989247311829,39.09,100.0,80.8997311827957,2,358,180.15456989247312,0.5,6.9,3.057795698924731,-2.2,28.700000000000003,14.25013440860215,2020,Illinois,Naperville,United States,41.7481,-88.1656,22.0,74.0,51.13758064516129,28.0,84.0,57.65024193548388,1.6,22.6,10.032138440860214
5,6,69638,203550,48758,250411,0,9,3.0,6.0,25.4,17.174166666666665,40.81,100.0,78.69059722222222,5,345,179.6861111111111,0.3,8.9,2.587916666666667,8.200000000000001,30.6,21.457638888888887,2020,Illinois,Naperville,United States,41.7481,-88.1656,43.0,78.0,62.9135,47.0,87.0,70.62375,1.0,29.2,8.490540516666668
6,7,66770,204936,47662,248416,0,9,2.0,14.4,26.1,20.39354838709677,47.81,100.0,80.40737903225806,3,358,176.73252688172042,0.4,6.2,2.1286290322580648,16.0,32.0,24.283736559139783,2020,Illinois,Naperville,United States,41.7481,-88.1656,58.0,79.0,68.70838709677419,61.0,90.0,75.71072580645162,1.3,20.3,6.983691274193549
7,8,59028,187071,42805,221408,0,9,2.0,10.2,25.700000000000003,17.131048387096776,35.63,100.0,73.19790322580644,1,358,191.93413978494624,0.4,5.0,2.0043010752688173,11.9,34.0,22.77983870967742,2020,Illinois,Naperville,United States,41.7481,-88.1656,50.0,78.0,62.8358870967742,53.0,93.0,73.00370967741935,1.3,16.4,6.575791139784947
8,9,46141,124472,45248,168426,0,9,2.0,3.2,22.200000000000003,12.679027777777778,28.54,100.0,76.95116666666667,3,350,178.12777777777777,0.5,8.1,2.895,5.5,30.6,17.408611111111114,2020,Illinois,Naperville,United States,41.7481,-88.1656,38.0,72.0,54.82225,42.0,87.0,63.33550000000001,1.6,26.6,9.4980318
9,10,31543,87840,29351,131163,0,9,3.0,-6.7,19.700000000000003,4.21747311827957,25.71,100.0,73.99729838709678,2,358,205.01612903225808,0.4,8.700000000000001,3.230241935483871,-3.5,26.4,9.2497311827957,2020,Illinois,Naperville,United States,41.7481,-88.1656,20.0,67.0,39.59145161290323,26.0,80.0,48.64951612903226,1.3,28.5,10.597906951612904
10,11,21288,64957,18013,89964,0,8,3.0,-10.0,17.900000000000002,1.9997222222222224,26.32,100.0,76.85613888888889,2,355,224.675,0.2,11.1,3.8716666666666666,-5.1000000000000005,23.6,6.207222222222222,2020,Illinois,Naperville,United States,41.7481,-88.1656,14.0,64.0,35.5995,23.0,74.0,43.173,0.7,36.4,12.702318866666666
11,12,18097,47912,16758,75487,0,9,3.0,-17.6,8.1,-4.3520161290322585,42.92,100.0,81.82983870967742,2,359,219.57258064516128,0.5,9.6,3.351209677419355,-12.3,11.7,-1.4732526881720431,2020,Illinois,Naperville,United States,41.7481,-88.1656,0.0,47.0,24.166370967741933,10.0,53.0,29.34814516129032,1.6,31.5,10.994782758064517
