,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22829,42712,20708,83062,0,9,5.0,-24,6,-6.560483870967742,43.89,100.0,80.8776747311828,0.6000000000000001,359.20000000000005,231.02163978494625,0.3,11.9,3.651881720430108,-20,9,-3.748655913978496,2017,Illinois,Rockford,United States,42.2594,-89.0644,-11.0,43.0,20.191129032258065,-4.0,48.0,25.252419354838707,1.0,39.0,11.981239623655917
1,2,26671,82581,22469,107940,0,9,4.0,-19,13,-2.636904761904762,38.72,100.0,79.71247023809524,1.5,358.40000000000003,230.4519345238096,0.3,11.3,3.965625,-14,18,0.7797619047619048,2017,Illinois,Rockford,United States,42.2594,-89.0644,-2.0,55.0,27.253571428571423,7.0,64.0,33.40357142857143,1.0,37.1,13.010581125
2,3,44079,107920,40875,167909,0,9,4.0,-18,15,-1.946236559139785,34.88,100.0,78.63131720430107,0.4,359.70000000000005,183.37607526881723,0.3,12.9,4.185349462365592,-11,22,1.811827956989248,2017,Illinois,Rockford,United States,42.2594,-89.0644,-0.0,59.0,28.496774193548383,12.0,72.0,35.26129032258065,1.0,42.3,13.731461930107528
3,4,61776,136423,50724,203351,0,9,5.0,-4,17,6.231944444444444,36.71,100.0,82.725625,0.2,359.6,188.5329166666667,0.4,8.3,3.8501388888888894,-2,24,10.056944444444444,2017,Illinois,Rockford,United States,42.2594,-89.0644,25.0,63.0,43.2175,28.0,75.0,50.1025,1.3,27.2,12.631689672222224
4,5,72996,174188,55783,244983,0,9,4.0,-1,20,9.434139784946236,46.11,100.0,84.5968817204301,0.2,359.90000000000003,168.30537634408603,0.2,7.7,3.27997311827957,0,27,12.952956989247312,2017,Illinois,Rockford,United States,42.2594,-89.0644,30.0,68.0,48.98145161290323,32.0,81.0,55.31532258064516,0.7,25.3,10.761067005376344
5,6,70325,208491,47110,250337,0,9,3.0,6,24,15.995833333333334,44.43,100.0,82.59555555555556,3.6,354.90000000000003,219.49194444444447,0.3,7.5,2.937638888888889,8,29,19.980555555555554,2017,Illinois,Rockford,United States,42.2594,-89.0644,43.0,75.0,60.7925,46.0,84.0,67.965,1.0,24.6,9.637923172222225
6,7,77166,197970,49916,247682,0,9,3.0,9,25,18.49462365591398,55.49,100.0,87.4160752688172,0.2,357.70000000000005,185.5758064516129,0.3,4.800000000000001,2.1196236559139785,10,29,21.422043010752688,2017,Illinois,Rockford,United States,42.2594,-89.0644,48.0,77.0,65.29032258064517,50.0,84.0,70.55967741935484,1.0,15.7,6.954146075268818
7,8,75191,169561,49810,217351,0,9,3.0,8,24,15.260752688172044,52.79,100.0,83.76693548387097,1.0,360.0,204.4493279569893,0.2,6.6000000000000005,2.137903225806452,9,28,18.9502688172043,2017,Illinois,Rockford,United States,42.2594,-89.0644,46.0,75.0,59.46935483870968,48.0,82.0,66.11048387096774,0.7,21.7,7.01411841935484
8,9,48095,152368,37812,169428,0,9,2.0,5,22,12.519444444444444,37.18,100.0,76.28377777777777,3.1,358.20000000000005,189.7855555555556,0.4,5.7,2.238472222222222,7,32,18.002777777777776,2017,Illinois,Rockford,United States,42.2594,-89.0644,41.0,72.0,54.535,45.0,90.0,64.405,1.3,18.7,7.344069205555555
9,10,34906,80526,28396,127734,0,9,4.0,-5,20,7.485215053763441,34.15,100.0,81.00752688172042,4.0,359.5,206.27661290322584,0.3,8.0,3.347983870967742,-3,28,11.541666666666666,2017,Illinois,Rockford,United States,42.2594,-89.0644,23.0,68.0,45.4733870967742,27.0,82.0,52.775,1.0,26.2,10.984199403225809
10,11,22789,55783,21778,85735,0,9,4.0,-16,8,-1.4125,40.46,100.0,80.78376388888888,0.4,358.8,220.23472222222225,0.3,7.4,3.268194444444444,-8,14,1.7819444444444446,2017,Illinois,Rockford,United States,42.2594,-89.0644,3.0,46.0,29.4575,18.0,57.0,35.2075,1.0,24.3,10.72242306111111
11,12,20433,54058,18202,73083,0,9,4.0,-26,12,-8.182795698924732,38.57,100.0,73.7370564516129,0.0,359.1,241.7692204301076,0.4,9.9,3.713575268817205,-22,15,-4.225806451612903,2017,Illinois,Rockford,United States,42.2594,-89.0644,-15.0,54.0,17.270967741935483,-8.0,59.0,24.39354838709677,1.3,32.5,12.18364628494624
