,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25002,50211,23650,98188,0,9,5.0,-19,17,0.4233870967741935,38.39,100.0,83.80884408602151,0.3,358.0,213.7899193548388,0.4,11.4,3.4940860215053764,-14,18,3.213709677419355,2017,Indiana,Evansville,United States,37.9757,-87.5699,-2.0,63.0,32.76209677419355,7.0,64.0,37.78467741935484,1.3,37.4,11.4635371827957
1,2,30855,86077,26958,119263,0,9,4.0,-12,18,3.4657738095238093,34.230000000000004,100.0,80.30967261904762,0.9,359.20000000000005,217.73988095238096,0.4,8.700000000000001,3.4595238095238097,-6,22,7.0625,2017,Indiana,Evansville,United States,37.9757,-87.5699,10.0,64.0,38.238392857142856,21.0,72.0,44.7125,1.3,28.5,11.350144095238097
2,3,48683,127096,42708,177342,0,9,4.0,-11,19,3.7903225806451615,31.11,100.0,77.85008064516128,0.1,359.6,192.8288978494624,0.7000000000000001,9.5,3.6137096774193553,-6,24,8.024193548387096,2017,Indiana,Evansville,United States,37.9757,-87.5699,12.0,66.0,38.82258064516129,21.0,75.0,46.443548387096776,2.3,31.2,11.856003258064518
3,4,63027,154714,48890,209294,0,9,5.0,-1,23,11.526388888888889,36.11,100.0,81.18320833333334,0.2,359.40000000000003,175.46819444444446,0.3,8.200000000000001,3.525,2,27,15.643055555555556,2017,Indiana,Evansville,United States,37.9757,-87.5699,30.0,73.0,52.7475,36.0,81.0,60.1575,1.0,26.9,11.564961
4,5,67399,191227,54074,245821,0,9,3.0,3,23,14.220430107526882,47.31,100.0,83.47888440860216,0.6000000000000001,359.90000000000003,213.29744623655915,0.3,8.4,2.999193548387097,5,28,17.922043010752688,2017,Indiana,Evansville,United States,37.9757,-87.5699,37.0,73.0,57.596774193548384,41.0,82.0,64.25967741935483,1.0,27.6,9.839874161290323
5,6,61670,219518,47227,249295,0,9,3.0,10,25,18.155555555555555,47.08,100.0,81.96091666666666,1.2000000000000002,358.90000000000003,194.9873611111111,0.1,5.300000000000001,2.2331944444444445,11,31,22.240277777777777,2017,Indiana,Evansville,United States,37.9757,-87.5699,50.0,77.0,64.68,52.0,88.0,72.0325,0.3,17.4,7.326753661111111
6,7,73662,213574,54017,245726,0,9,3.0,13,25,20.23521505376344,41.31,100.0,77.89189516129032,1.2000000000000002,359.5,190.576747311828,0.1,5.300000000000001,1.8935483870967744,14,36,25.358870967741936,2017,Indiana,Evansville,United States,37.9757,-87.5699,55.0,77.0,68.42338709677419,57.0,97.0,77.6459677419355,0.3,17.4,6.212429290322581
7,8,68765,182544,50043,221895,0,9,4.0,7,24,16.240591397849464,26.09,100.0,69.79533602150538,0.1,359.90000000000003,168.29166666666666,0.1,5.2,1.680779569892473,13,35,23.43951612903226,2017,Indiana,Evansville,United States,37.9757,-87.5699,45.0,75.0,61.23306451612903,55.0,95.0,74.19112903225806,0.3,17.1,5.514368844086021
8,9,48897,148345,40757,178345,0,9,2.0,4,23,14.113888888888887,27.98,100.0,71.29845833333333,0.8,359.8,167.85847222222222,0.2,7.4,2.0231944444444445,8,33,20.898611111111112,2017,Indiana,Evansville,United States,37.9757,-87.5699,39.0,73.0,57.405,46.0,91.0,69.6175,0.7,24.3,6.637777261111111
9,10,37398,101107,30294,142762,0,9,3.0,-5,24,9.454301075268818,36.06,100.0,77.00639784946237,0.4,357.1,201.94274193548387,0.2,7.1000000000000005,2.543010752688172,0,29,14.399193548387096,2017,Indiana,Evansville,United States,37.9757,-87.5699,23.0,75.0,49.01774193548387,32.0,84.0,57.91854838709678,0.7,23.3,8.343211397849462
10,11,25527,70656,24506,100856,0,9,3.0,-9,21,3.6375,33.04,100.0,81.69909722222222,0.6000000000000001,359.6,178.99541666666667,0.6000000000000001,10.3,2.966805555555556,-4,24,7.143055555555556,2017,Indiana,Evansville,United States,37.9757,-87.5699,16.0,70.0,38.5475,25.0,75.0,44.8575,2.0,33.8,9.73361433888889
11,12,22126,60756,20546,88722,0,9,4.0,-20,12,-3.327956989247312,30.07,100.0,73.93388440860215,0.3,359.90000000000003,212.24905913978492,0.3,8.8,2.984005376344086,-14,18,1.0228494623655917,2017,Indiana,Evansville,United States,37.9757,-87.5699,-4.0,54.0,26.00967741935484,7.0,64.0,33.84112903225807,1.0,28.9,9.79004419892473
