,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24773,58815,21441,90818,0,8,4.0,-25.6,12.3,-6.95994623655914,45.89,100.0,81.60391129032257,2,358,237.0268817204301,0.8,9.8,4.174462365591398,-22.200000000000003,14.7,-4.176075268817204,2018,Indiana,Fort Wayne,United States,41.0775,-85.1375,-14.0,54.0,19.47209677419355,-8.0,58.0,24.483064516129037,2.6,32.2,13.695743107526882
1,2,30791,63289,24015,113374,0,9,5.0,-18.1,16.5,-3.064732142857143,42.93,100.0,82.18605654761905,4,356,209.3869047619048,0.6000000000000001,9.6,3.88809523809524,-15.3,19.5,-0.2202380952380953,2018,Indiana,Fort Wayne,United States,41.0775,-85.1375,-1.0,62.0,26.48348214285714,4.0,67.0,31.603571428571428,2.0,31.5,12.756218380952385
2,3,40780,115541,30082,177446,0,8,3.0,-10.8,12.9,-2.748924731182796,42.08,100.0,77.12373655913979,2,359,174.85752688172042,0.3,11.3,3.731182795698925,-6.2,14.8,1.1274193548387097,2018,Indiana,Fort Wayne,United States,41.0775,-85.1375,13.0,55.0,27.051935483870967,21.0,59.0,34.02935483870968,1.0,37.1,12.24141376344086
3,4,54592,141929,46466,213071,0,9,4.0,-8.9,17.900000000000002,1.5006944444444446,36.02,100.0,75.83736111111111,1,358,216.17777777777772,0.4,9.7,3.492638888888889,-6.1000000000000005,23.3,5.9188888888888895,2018,Indiana,Fort Wayne,United States,41.0775,-85.1375,16.0,64.0,34.70125,21.0,74.0,42.654,1.3,31.8,11.458789372222222
4,5,76130,178292,49751,244062,0,9,4.0,4.6000000000000005,24.0,15.630376344086022,41.17,100.0,80.42875,5,358,174.0470430107527,0.2,10.0,2.931451612903226,6.7,33.0,19.478629032258063,2018,Indiana,Fort Wayne,United States,41.0775,-85.1375,40.0,75.0,60.13467741935485,44.0,91.0,67.06153225806452,0.7,32.8,9.61762370967742
5,6,67703,171218,48832,248099,0,9,3.0,8.700000000000001,25.8,18.629583333333336,40.56,100.0,82.87205555555555,3,356,197.5361111111111,0.1,6.1000000000000005,2.4852777777777777,9.4,31.9,21.99013888888889,2018,Indiana,Fort Wayne,United States,41.0775,-85.1375,48.0,78.0,65.53325000000001,49.0,89.0,71.58225,0.3,20.0,8.153798744444444
6,7,67843,187143,46986,249981,0,9,3.0,10.6,26.0,18.25860215053764,42.51,100.0,76.22,5,356,186.07930107526883,0.1,5.4,2.0100806451612905,11.5,33.2,23.18293010752689,2018,Indiana,Fort Wayne,United States,41.0775,-85.1375,51.0,79.0,64.86548387096775,53.0,92.0,73.7292741935484,0.3,17.7,6.594752983870968
7,8,65991,174420,49524,217694,0,9,3.0,10.5,26.200000000000003,19.03481182795699,43.05,100.0,79.29670698924731,4,356,205.16397849462365,0.3,5.7,2.170967741935484,12.1,32.7,23.26827956989248,2018,Indiana,Fort Wayne,United States,41.0775,-85.1375,51.0,79.0,66.26266129032258,54.0,91.0,73.88290322580647,1.0,18.7,7.122597806451613
8,9,43907,122224,31138,174575,0,8,3.0,3.1,24.200000000000003,16.124722222222225,34.11,100.0,78.60626388888889,3,359,153.2875,0.6000000000000001,7.5,2.482222222222222,6.5,33.1,20.45986111111112,2018,Indiana,Fort Wayne,United States,41.0775,-85.1375,38.0,76.0,61.0245,44.0,92.0,68.82775000000001,2.0,24.6,8.143773955555556
9,10,33333,84467,23904,135886,0,9,3.0,-3.5,23.0,7.623790322580645,31.06,100.0,78.74416666666667,2,356,216.7997311827957,0.2,9.1,3.1338709677419354,-1.6,29.9,11.656182795698928,2018,Indiana,Fort Wayne,United States,41.0775,-85.1375,26.0,73.0,45.72282258064516,29.0,86.0,52.98112903225807,0.7,29.9,10.281729225806451
10,11,26416,40509,21891,93022,0,9,4.0,-12.1,10.8,-1.281388888888889,44.63,100.0,84.32931944444445,7,355,197.01805555555555,0.2,9.4,3.1102777777777777,-7.2,11.9,1.2236111111111112,2018,Indiana,Fort Wayne,United States,41.0775,-85.1375,10.0,51.0,29.6935,19.0,53.0,34.2025,0.7,30.8,10.204323744444444
11,12,17965,38813,17080,77311,0,9,4.0,-16.0,9.2,-2.030241935483871,53.84,100.0,87.14399193548387,1,359,208.2150537634409,0.3,8.3,3.0889784946236563,-13.9,12.3,-0.0211021505376344,2018,Indiana,Fort Wayne,United States,41.0775,-85.1375,3.0,49.0,28.34556451612903,7.0,54.0,31.962016129032257,1.0,27.2,10.134444204301076
