,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22358,43943,21860,86160,0,9,4.0,-17.7,9.5,-3.3846774193548392,52.16,100.0,85.76994623655915,3,359,221.49327956989248,0.3,10.8,3.839247311827957,-15.5,9.5,-1.2130376344086022,2020,Indiana,Hammond,United States,41.6046,-87.5089,0.0,49.0,25.90758064516129,4.0,49.0,29.81653225806452,1.0,35.4,12.595956150537637
1,2,28623,70570,25206,112978,0,8,4.0,-20.0,6.5,-4.592410714285714,49.03,100.0,82.365625,1,356,205.0491071428572,0.4,8.3,4.126339285714286,-17.400000000000002,10.1,-1.860119047619048,2020,Indiana,Hammond,United States,41.6046,-87.5089,-4.0,44.0,23.733660714285712,1.0,50.0,28.651785714285715,1.3,27.2,13.537858982142858
2,3,39524,86558,34533,171060,0,9,4.0,-7.0,16.900000000000002,1.443010752688172,46.72,100.0,83.82556451612903,3,359,172.32258064516128,0.5,10.7,3.9620967741935487,-4.1000000000000005,17.1,4.121370967741936,2020,Indiana,Hammond,United States,41.6046,-87.5089,19.0,62.0,34.597419354838706,25.0,63.0,39.41846774193549,1.6,35.1,12.999005580645164
3,4,52075,140039,48402,210618,0,9,3.0,-7.5,17.5,3.919444444444444,38.83,100.0,79.03290277777778,2,356,195.07222222222225,0.4,9.2,3.633194444444445,-3.6,22.5,7.72138888888889,2020,Indiana,Hammond,United States,41.6046,-87.5089,18.0,64.0,39.055,26.0,72.0,45.8985,1.3,30.2,11.919929661111112
4,5,66893,170591,47099,249384,0,9,3.0,-6.300000000000001,22.700000000000003,10.46518817204301,37.06,100.0,80.67791666666668,3,358,173.92741935483872,0.5,7.800000000000001,3.095430107526881,-2.5,28.200000000000003,14.085349462365592,2020,Indiana,Hammond,United States,41.6046,-87.5089,21.0,73.0,50.83733870967742,28.0,83.0,57.35362903225807,1.6,25.6,10.155610913978492
5,6,70196,200603,49423,249781,0,9,3.0,5.2,24.5,17.034027777777776,43.65,100.0,78.59847222222223,7,358,179.65555555555557,0.3,9.1,2.68125,8.700000000000001,30.700000000000003,21.28111111111111,2020,Indiana,Hammond,United States,41.6046,-87.5089,41.0,76.0,62.66125,48.0,87.0,70.306,1.0,29.9,8.796752249999999
6,7,66702,206272,47511,248335,0,9,2.0,13.7,26.200000000000003,20.16478494623656,44.2,100.0,77.38806451612903,4,356,172.74462365591398,0.2,6.2,2.272043010752688,16.900000000000002,32.7,24.743145161290325,2020,Indiana,Hammond,United States,41.6046,-87.5089,57.0,79.0,68.2966129032258,62.0,91.0,76.53766129032259,0.7,20.3,7.454209591397849
7,8,58540,191695,42178,222060,0,9,2.0,10.3,25.8,17.04758064516129,32.83,100.0,70.1434005376344,2,356,183.47043010752688,0.2,5.0,2.211424731182796,13.9,33.6,23.455645161290324,2020,Indiana,Hammond,United States,41.6046,-87.5089,51.0,78.0,62.68564516129032,57.0,92.0,74.22016129032258,0.7,16.4,7.255330715053764
8,9,46404,127075,43902,169112,0,9,2.0,0.9,22.9,12.858055555555554,26.87,100.0,73.44673611111111,2,351,175.67361111111111,0.3,8.700000000000001,3.188888888888889,5.800000000000001,31.0,18.37611111111111,2020,Indiana,Hammond,United States,41.6046,-87.5089,34.0,73.0,55.1445,42.0,88.0,65.077,1.0,28.5,10.462234222222223
9,10,33281,86060,30747,130589,0,8,3.0,-5.800000000000001,18.6,5.385483870967742,26.86,100.0,73.08451612903225,4,359,203.61693548387092,0.2,9.0,3.493010752688172,-1.8,26.3,10.599327956989248,2020,Indiana,Hammond,United States,41.6046,-87.5089,22.0,65.0,41.69387096774194,29.0,79.0,51.078790322580645,0.7,29.5,11.460009397849465
10,11,22626,64483,18666,90127,0,8,3.0,-10.0,17.8,2.43,24.49,100.0,75.01984722222223,6,355,224.01944444444445,0.7000000000000001,11.3,4.241388888888889,-3.6,23.1,7.031944444444444,2020,Indiana,Hammond,United States,41.6046,-87.5089,14.0,64.0,36.374,26.0,74.0,44.6575,2.3,37.1,13.915318322222223
11,12,18723,46853,17233,75635,0,9,4.0,-15.2,8.9,-3.384543010752688,41.52,100.0,79.993561827957,4,359,213.83602150537635,0.5,10.2,3.582123655913979,-10.4,12.6,-0.1630376344086021,2020,Indiana,Hammond,United States,41.6046,-87.5089,5.0,48.0,25.90782258064516,13.0,55.0,31.70653225806452,1.6,33.5,11.75237457526882
