,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23243,43401,22969,92414,0,9,5.0,-21,14,-2.216397849462365,40.15,100.0,83.43676075268817,5.0,359.40000000000003,222.58575268817208,0.3,11.9,3.7705645161290327,-15,17,0.532258064516129,2017,Indiana,Indianapolis,United States,39.791,-86.148,-6.0,57.0,28.010483870967743,5.0,63.0,32.958064516129035,1.0,39.0,12.370618887096777
1,2,31142,83469,25363,114576,0,9,5.0,-15,16,1.2098214285714286,37.22,100.0,81.56020833333334,1.6,355.0,235.1227678571429,0.5,9.6,3.76309523809524,-10,21,4.574404761904762,2017,Indiana,Indianapolis,United States,39.791,-86.148,5.0,61.0,34.17767857142857,14.0,70.0,40.23392857142857,1.6,31.5,12.346113380952383
2,3,45717,120338,41308,173554,0,9,4.0,-11,18,1.2338709677419355,32.85,100.0,78.46166666666667,1.1,359.90000000000003,192.99193548387092,0.6000000000000001,10.7,4.028494623655915,-8,22,5.223118279569892,2017,Indiana,Indianapolis,United States,39.791,-86.148,12.0,64.0,34.22096774193548,18.0,72.0,41.40161290322581,2.0,35.1,13.216846301075272
3,4,65087,148149,49881,207526,0,9,5.0,-4,20,9.438888888888888,36.22,100.0,82.12736111111111,0.6000000000000001,358.5,173.40625,0.3,10.7,3.780555555555555,0,26,13.473611111111111,2017,Indiana,Indianapolis,United States,39.791,-86.148,25.0,68.0,48.99,32.0,79.0,56.2525,1.0,35.1,12.403397888888888
4,5,69312,185133,54143,246194,0,9,4.0,-2,22,11.932795698924732,37.96,100.0,84.44569892473118,0.4,357.8,199.24381720430108,0.3,9.0,3.318817204301076,0,27,15.606182795698924,2017,Indiana,Indianapolis,United States,39.791,-86.148,28.0,72.0,53.47903225806452,32.0,81.0,60.09112903225807,1.0,29.5,10.888508236559142
5,6,68283,208429,47722,250741,0,9,3.0,8,25,16.70277777777778,38.31,100.0,82.37115277777778,1.2000000000000002,354.8,216.03194444444443,0.3,6.300000000000001,2.6637500000000003,9,30,20.834722222222226,2017,Indiana,Indianapolis,United States,39.791,-86.148,46.0,77.0,62.065000000000005,48.0,86.0,69.5025,1.0,20.7,8.73933755
6,7,73294,199399,52323,247217,0,9,3.0,9,26,19.705645161290324,54.55,100.0,86.57850806451613,1.1,359.90000000000003,189.5489247311828,0.2,5.300000000000001,1.941532258064516,13,31,22.90860215053764,2017,Indiana,Indianapolis,United States,39.791,-86.148,48.0,79.0,67.47016129032258,55.0,88.0,73.23548387096776,0.7,17.4,6.369856693548386
7,8,71136,184632,49128,221618,0,8,3.0,9,23,15.638440860215054,33.68,100.0,78.51420698924731,0.4,360.0,168.09663978494626,0.3,6.0,1.8163978494623656,11,31,20.688172043010752,2017,Indiana,Indianapolis,United States,39.791,-86.148,48.0,73.0,60.149193548387096,52.0,88.0,69.23870967741937,1.0,19.7,5.959310720430108
8,9,50752,150326,38854,175359,0,9,2.0,2,21,12.944444444444445,29.7,100.0,73.57461111111111,1.6,358.1,169.89708333333334,0.2,6.2,2.0218055555555554,7,32,19.20138888888889,2017,Indiana,Indianapolis,United States,39.791,-86.148,36.0,70.0,55.3,45.0,90.0,66.5625,0.7,20.3,6.633220538888889
9,10,33721,85359,28001,137523,0,9,4.0,-6,21,8.463709677419354,31.0,100.0,78.82666666666667,4.4,358.70000000000005,208.47338709677425,0.4,7.4,2.8361559139784944,-1,28,13.115591397849462,2017,Indiana,Indianapolis,United States,39.791,-86.148,21.0,70.0,47.23467741935484,30.0,82.0,55.60806451612903,1.3,24.3,9.304973768817204
10,11,22322,66073,22985,94728,0,9,4.0,-12,20,1.6180555555555556,37.43,100.0,82.996625,2.2,359.70000000000005,195.31125,0.3,8.6,3.302222222222222,-5,23,4.848611111111111,2017,Indiana,Indianapolis,United States,39.791,-86.148,10.0,68.0,34.9125,23.0,73.0,40.7275,1.0,28.2,10.834062755555555
11,12,22853,57873,20560,82896,0,9,4.0,-23,11,-5.387096774193548,36.14,100.0,77.1488440860215,0.2,358.6,227.93454301075272,0.4,9.0,3.4951612903225806,-20,15,-1.7459677419354838,2017,Indiana,Indianapolis,United States,39.791,-86.148,-9.0,52.0,22.30322580645161,-4.0,59.0,28.85725806451613,1.3,29.5,11.467064967741935
