,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24032,54953,20479,89537,0,9,5.0,-27.5,11.1,-7.614784946236559,46.34,100.0,82.01650537634409,1,359,200.989247311828,0.3,8.700000000000001,4.231317204301075,-25.4,12.0,-4.958602150537635,2019,Indiana,South Bend,United States,41.6725,-86.2553,-18.0,52.0,18.2933870967742,-14.0,54.0,23.074516129032254,1.0,28.5,13.88227473655914
1,2,30843,62600,24503,112030,0,9,5.0,-19.4,11.2,-5.200148809523809,46.72,100.0,82.21092261904762,1,358,179.5967261904762,0.4,13.0,4.240327380952381,-16.6,11.9,-2.477529761904762,2019,Indiana,South Bend,United States,41.6725,-86.2553,-3.0,52.0,22.63973214285714,2.0,53.0,27.54044642857143,1.3,42.7,13.91183568452381
2,3,42825,104487,33011,173621,0,9,4.0,-19.3,16.7,-2.719220430107527,36.12,100.0,77.55989247311828,2,359,216.23387096774192,0.3,10.3,3.670833333333334,-14.5,17.900000000000002,1.0276881720430109,2019,Indiana,South Bend,United States,41.6725,-86.2553,-3.0,62.0,27.10540322580645,6.0,64.0,33.84983870967742,1.0,33.8,12.043416833333335
3,4,54588,133534,44493,209216,0,9,4.0,-6.7,16.5,5.142361111111111,34.1,100.0,80.66888888888889,2,359,179.40277777777777,0.2,9.3,3.715416666666667,-4.1000000000000005,21.4,8.658472222222223,2019,Indiana,South Bend,United States,41.6725,-86.2553,20.0,62.0,41.25625,25.0,71.0,47.58525,0.7,30.5,12.189687616666667
4,5,67649,146304,50790,245782,0,9,4.0,2.2,21.700000000000003,11.6125,41.91,100.0,82.5580376344086,1,359,197.19758064516128,0.1,7.6,3.091935483870968,3.1,26.8,14.814516129032258,2019,Indiana,South Bend,United States,41.6725,-86.2553,36.0,71.0,52.9025,38.0,80.0,58.66612903225807,0.3,24.9,10.144145612903229
5,6,69681,173935,47956,250321,0,9,4.0,4.1000000000000005,22.9,16.115972222222222,43.36,100.0,82.5128611111111,3,357,195.0305555555556,0.2,7.0,2.4466666666666668,7.0,29.3,19.46180555555556,2019,Indiana,South Bend,United States,41.6725,-86.2553,39.0,73.0,61.00875,45.0,85.0,67.03125,0.7,23.0,8.027121866666667
6,7,63298,211837,46205,248700,0,9,2.0,10.6,27.700000000000003,20.14771505376344,44.58,100.0,81.73252688172043,2,358,201.7956989247312,0.3,5.5,2.2165322580645164,13.5,30.8,23.71653225806452,2019,Indiana,South Bend,United States,41.6725,-86.2553,51.0,82.0,68.2658870967742,56.0,87.0,74.68975806451614,1.0,18.0,7.272087693548388
7,8,60398,175818,40772,222530,0,9,2.0,9.3,24.700000000000003,17.199059139784946,41.2,100.0,75.68477150537635,4,359,188.2258064516129,0.2,6.1000000000000005,2.1500000000000004,12.6,30.200000000000003,22.158467741935485,2019,Indiana,South Bend,United States,41.6725,-86.2553,49.0,76.0,62.958306451612906,55.0,86.0,71.88524193548388,0.7,20.0,7.053806000000001
8,9,46154,119570,34790,171762,0,9,3.0,6.0,23.5,16.202083333333334,33.19,100.0,76.74756944444445,1,357,195.3333333333333,0.3,8.200000000000001,2.6720833333333336,11.5,30.9,20.94,2019,Indiana,South Bend,United States,41.6725,-86.2553,43.0,74.0,61.16375000000001,53.0,88.0,69.69200000000001,1.0,26.9,8.766677883333335
9,10,32086,81924,24649,135074,0,8,3.0,-3.9,22.5,7.353897849462366,38.16,100.0,78.35673387096774,5,352,197.5739247311828,0.5,9.2,3.3158602150537635,-1.4,29.5,11.350672043010752,2019,Indiana,South Bend,United States,41.6725,-86.2553,25.0,72.0,45.237016129032256,29.0,85.0,52.43120967741935,1.6,30.2,10.87880682795699
10,11,26116,50957,20398,91595,0,8,4.0,-14.6,10.8,-1.292361111111111,41.66,100.0,82.80619444444444,3,358,212.10555555555555,0.4,11.1,3.271388888888889,-10.1,12.0,1.4866666666666668,2019,Indiana,South Bend,United States,41.6725,-86.2553,6.0,51.0,29.67375,14.0,54.0,34.676,1.3,36.4,10.732903522222225
11,12,21405,39335,16604,75097,0,9,4.0,-13.6,14.0,-1.2861559139784946,52.73,100.0,86.20326612903226,2,358,218.75806451612905,0.4,8.700000000000001,3.766801075268817,-9.6,15.3,0.8616935483870968,2019,Indiana,South Bend,United States,41.6725,-86.2553,8.0,57.0,29.68491935483871,15.0,60.0,33.55104838709678,1.3,28.5,12.358271639784943
