,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25996,62592,21097,95617,0,9,4.0,-20,10,-3.787634408602152,37.38,100.0,78.66326612903227,0.1,359.90000000000003,215.62392473118285,0.2,8.700000000000001,3.380241935483871,-14,14,-0.2836021505376344,2017,Kansas,Kansas City,United States,39.1067,-94.6764,-4.0,50.0,25.182258064516127,7.0,57.0,31.489516129032257,0.7,28.5,11.090032951612905
1,2,31592,90656,22972,118539,0,9,4.0,-14,15,0.6339285714285714,27.0,100.0,73.954375,0.1,360.0,203.6090773809524,0.2,9.1,3.651636904761905,-6,23,5.653273809523809,2017,Kansas,Kansas City,United States,39.1067,-94.6764,7.0,59.0,33.14107142857143,21.0,73.0,42.175892857142856,0.7,29.9,11.980436422619048
2,3,46769,111012,43804,172146,0,9,4.0,-12,16,2.4381720430107525,17.86,100.0,71.78288978494624,0.2,359.8,165.86397849462367,0.3,10.8,3.937903225806452,-5,27,8.170698924731182,2017,Kansas,Kansas City,United States,39.1067,-94.6764,10.0,61.0,36.38870967741936,23.0,81.0,46.707258064516125,1.0,35.4,12.91963041935484
3,4,63817,146892,49820,209363,0,9,5.0,-1,18,8.315277777777778,31.78,100.0,79.612375,0.0,359.90000000000003,180.3005555555556,0.5,9.7,3.801111111111112,1,26,12.991666666666667,2017,Kansas,Kansas City,United States,39.1067,-94.6764,30.0,64.0,46.9675,34.0,79.0,55.385000000000005,1.6,31.8,12.47083737777778
4,5,65900,200526,50545,248183,0,9,3.0,2,21,12.358870967741936,39.51,100.0,78.38653225806452,0.3,359.70000000000005,199.5209677419355,0.2,10.2,3.1642473118279573,3,29,17.268817204301076,2017,Kansas,Kansas City,United States,39.1067,-94.6764,36.0,70.0,54.24596774193549,37.0,84.0,63.08387096774194,0.7,33.5,10.381389150537636
5,6,64783,221349,50911,248364,0,9,3.0,4,26,17.725,27.44,100.0,77.39873611111112,1.7000000000000002,357.20000000000005,196.4308333333333,0.2,7.6,2.92375,12,33,23.17083333333333,2017,Kansas,Kansas City,United States,39.1067,-94.6764,39.0,79.0,63.905,54.0,91.0,73.7075,0.7,24.9,9.59235595
6,7,62316,218894,48019,247271,0,9,2.0,13,24,19.526881720430108,32.910000000000004,100.0,73.42192204301075,1.1,358.90000000000003,161.37217741935484,0.1,5.6000000000000005,2.145967741935484,15,39,26.036290322580644,2017,Kansas,Kansas City,United States,39.1067,-94.6764,55.0,75.0,67.1483870967742,59.0,102.0,78.86532258064517,0.3,18.4,7.040576806451613
7,8,64299,189632,50677,220682,0,9,3.0,6,25,16.758064516129032,29.63,100.0,78.64670698924732,0.3,359.5,165.24193548387098,0.2,5.6000000000000005,1.9411290322580643,12,33,21.8252688172043,2017,Kansas,Kansas City,United States,39.1067,-94.6764,43.0,77.0,62.16451612903226,54.0,91.0,71.28548387096774,0.7,18.4,6.368533774193548
8,9,52106,152572,44348,173341,0,9,2.0,5,25,14.63888888888889,31.19,100.0,72.65474999999999,0.1,359.0,172.18944444444446,0.2,5.5,2.315138888888889,8,32,21.1,2017,Kansas,Kansas City,United States,39.1067,-94.6764,41.0,77.0,58.35,46.0,90.0,69.98,0.7,18.0,7.595600272222222
9,10,35509,108762,27936,140045,0,9,3.0,-7,22,8.19758064516129,32.68,100.0,75.39982526881721,1.4,358.90000000000003,220.2729838709677,0.3,7.800000000000001,3.455107526881721,-3,29,13.446236559139784,2017,Kansas,Kansas City,United States,39.1067,-94.6764,19.0,72.0,46.755645161290325,27.0,84.0,56.20322580645161,1.0,25.6,11.335654978494626
10,11,24701,67363,23729,97508,0,9,4.0,-10,16,1.8333333333333333,31.97,100.0,76.90816666666666,0.1,359.3,179.00083333333333,0.3,8.9,3.1469444444444448,-6,20,6.272222222222222,2017,Kansas,Kansas City,United States,39.1067,-94.6764,14.0,61.0,35.3,21.0,68.0,43.29,1.0,29.2,10.324621211111111
11,12,22176,65871,20014,84821,0,9,3.0,-22,15,-4.807795698924731,30.01,100.0,70.88158602150538,0.2,359.90000000000003,210.04395161290324,0.5,8.9,3.354704301075269,-16,19,0.1505376344086021,2017,Kansas,Kansas City,United States,39.1067,-94.6764,-8.0,59.0,23.34596774193548,3.0,66.0,32.270967741935486,1.6,29.2,11.006248059139786
