,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,26296,61417,20801,96699,0,9,4.0,-20,10,-3.643817204301076,35.9,100.0,78.23274193548387,0.5,359.70000000000005,218.0584677419355,0.3,8.4,3.4053763440860214,-14,14,-0.3481182795698925,2017,Kansas,Olathe,United States,38.8835,-94.8182,-4.0,50.0,25.44112903225806,7.0,57.0,31.373387096774195,1.0,27.6,11.172494924731184
1,2,33666,90469,22614,119555,0,9,4.0,-13,15,0.7857142857142857,27.1,100.0,73.80941964285714,0.2,359.40000000000003,196.75699404761903,0.5,9.3,3.661011904761905,-7,23,5.529761904761905,2017,Kansas,Olathe,United States,38.8835,-94.8182,9.0,59.0,33.41428571428571,19.0,73.0,41.95357142857143,1.6,30.5,12.011194297619047
2,3,49709,111917,43527,173038,0,9,4.0,-12,16,2.6169354838709675,17.78,100.0,71.44844086021506,0.1,359.90000000000003,165.51680107526883,0.4,11.6,4.143951612903226,-5,27,8.12768817204301,2017,Kansas,Olathe,United States,38.8835,-94.8182,10.0,61.0,36.71048387096774,23.0,81.0,46.629838709677415,1.3,38.1,13.595642209677422
3,4,63705,149029,49407,210007,0,9,5.0,-1,18,8.386111111111111,32.910000000000004,100.0,79.37079166666666,1.4,359.6,178.67000000000002,0.5,9.3,3.8847222222222224,1,26,12.7625,2017,Kansas,Olathe,United States,38.8835,-94.8182,30.0,64.0,47.095,34.0,79.0,54.9725,1.6,30.5,12.745152055555556
4,5,68781,197972,50464,248525,0,9,3.0,1,21,12.521505376344086,39.29,100.0,78.58002688172043,0.2,359.8,198.30403225806447,0.5,10.0,3.2666666666666666,3,29,17.068548387096776,2017,Kansas,Olathe,United States,38.8835,-94.8182,34.0,70.0,54.53870967741936,37.0,84.0,62.7233870967742,1.6,32.8,10.717410666666666
5,6,66854,222725,50440,248550,0,9,3.0,5,26,17.89027777777778,29.32,100.0,78.20376388888889,0.0,359.70000000000005,195.98263888888889,0.1,8.0,3.018194444444444,12,32,22.77777777777778,2017,Kansas,Olathe,United States,38.8835,-94.8182,41.0,79.0,64.2025,54.0,90.0,73.0,0.3,26.2,9.90221306111111
6,7,62607,220481,47619,247870,0,9,3.0,13,25,19.663978494623656,32.410000000000004,100.0,73.90760752688172,1.6,357.5,152.6524193548387,0.1,5.6000000000000005,2.276075268817205,15,39,25.647849462365592,2017,Kansas,Olathe,United States,38.8835,-94.8182,55.0,77.0,67.39516129032259,59.0,102.0,78.16612903225807,0.3,18.4,7.467438784946239
7,8,63086,190407,50608,221184,0,9,3.0,6,25,16.884408602150536,29.17,100.0,78.77572580645162,0.1,360.0,158.34126344086022,0.1,5.0,2.020967741935484,12,33,21.532258064516128,2017,Kansas,Olathe,United States,38.8835,-94.8182,43.0,77.0,62.39193548387097,54.0,91.0,70.75806451612902,0.3,16.4,6.630471806451613
8,9,52490,153848,44206,174201,0,9,2.0,5,25,14.768055555555556,31.31,100.0,72.96465277777779,0.2,359.90000000000003,174.69111111111113,0.3,6.0,2.539722222222222,8,32,20.802777777777777,2017,Kansas,Olathe,United States,38.8835,-94.8182,41.0,77.0,58.5825,46.0,90.0,69.445,1.0,19.7,8.332422255555555
9,10,36022,113485,27786,141147,0,9,3.0,-7,22,8.200268817204302,30.84,100.0,75.00854838709678,1.8,359.5,224.5799731182796,0.5,8.200000000000001,3.668010752688172,-4,29,13.275537634408602,2017,Kansas,Olathe,United States,38.8835,-94.8182,19.0,72.0,46.76048387096775,25.0,84.0,55.89596774193548,1.6,26.9,12.034156397849465
10,11,25343,67680,23607,98500,0,8,4.0,-10,15,2.047222222222222,32.6,100.0,76.89918055555556,0.1,360.0,175.5404166666667,0.6000000000000001,9.1,3.204583333333334,-6,20,6.205555555555556,2017,Kansas,Olathe,United States,38.8835,-94.8182,14.0,59.0,35.685,21.0,68.0,43.17,2.0,29.9,10.513725183333335
11,12,22706,65741,19810,85933,0,9,3.0,-22,15,-4.618279569892473,29.31,100.0,70.7692741935484,0.7000000000000001,360.0,213.9349462365592,0.4,8.6,3.4473118279569896,-16,19,0.0954301075268817,2017,Kansas,Olathe,United States,38.8835,-94.8182,-8.0,59.0,23.68709677419355,3.0,66.0,32.17177419354839,1.3,28.2,11.31007853763441
