,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24955,63513,21446,98930,0,12,4.0,-27.9,12.5,-5.269623655913978,42.43,100.0,83.93793010752688,1,359,216.70698924731184,0.3,9.5,3.470295698924731,-20.700000000000003,14.5,-2.764247311827957,2019,Kansas,Overland Park,United States,38.9822,-94.6708,-18.0,54.0,22.51467741935484,-5.0,58.0,27.02435483870968,1.0,31.2,11.385484940860216
1,2,31464,78579,26857,122271,0,8,4.0,-21.3,13.2,-4.925892857142857,52.1,100.0,82.98040178571429,2,358,176.28869047619048,0.3,9.5,3.811458333333333,-17.5,17.900000000000002,-2.3181547619047618,2019,Kansas,Overland Park,United States,38.9822,-94.6708,-6.0,56.0,23.13339285714286,0.0,64.0,27.82732142857143,1.0,31.2,12.504784958333332
2,3,40249,115243,35004,180023,0,9,4.0,-21.3,16.0,0.2470430107526881,41.61,100.0,79.51720430107527,2,360,194.05376344086025,0.6000000000000001,10.1,3.702016129032258,-18.9,18.6,3.793413978494624,2019,Kansas,Overland Park,United States,38.9822,-94.6708,-6.0,61.0,32.44467741935484,-2.0,65.0,38.82814516129032,2.0,33.1,12.145722596774194
3,4,58204,155349,42617,213452,0,9,4.0,-4.800000000000001,20.1,8.857083333333334,34.39,100.0,77.31169444444444,1,358,187.68472222222223,0.5,8.6,3.619722222222223,-2.2,26.200000000000003,13.20152777777778,2019,Kansas,Overland Park,United States,38.9822,-94.6708,23.0,68.0,47.94275,28.0,79.0,55.76275,1.6,28.2,11.87572945555556
4,5,68593,152934,51880,246033,0,9,4.0,3.0,24.6,14.868682795698929,52.120000000000005,100.0,86.06407258064516,2,354,185.1424731182796,0.4,8.6,3.0391129032258064,4.0,28.700000000000003,17.470833333333335,2019,Kansas,Overland Park,United States,38.9822,-94.6708,37.0,76.0,58.76362903225807,39.0,84.0,63.447500000000005,1.3,28.2,9.970843177419354
5,6,70061,201540,45278,250880,0,9,4.0,7.9,26.700000000000003,19.51861111111111,45.54,100.0,85.12456944444445,1,356,195.43472222222223,0.4,6.800000000000001,2.499861111111111,9.5,30.700000000000003,22.402638888888887,2019,Kansas,Overland Park,United States,38.9822,-94.6708,46.0,80.0,67.1335,49.0,87.0,72.32475,1.3,22.3,8.201644327777778
6,7,61900,213489,44906,250186,0,9,2.0,12.9,27.9,21.947983870967743,57.98,100.0,85.78697580645162,0,358,165.33467741935485,0.4,5.6000000000000005,2.2411290322580646,15.0,31.9,24.67647849462365,2019,Kansas,Overland Park,United States,38.9822,-94.6708,55.0,82.0,71.50637096774193,59.0,89.0,76.41766129032257,1.3,18.4,7.352785774193548
7,8,64597,165893,48003,220180,0,9,3.0,14.1,27.6,21.355913978494627,57.1,100.0,87.48095430107527,1,357,173.0188172043011,0.4,5.4,2.1266129032258063,14.3,32.6,23.73131720430108,2019,Kansas,Overland Park,United States,38.9822,-94.6708,57.0,82.0,70.44064516129032,58.0,91.0,74.71637096774194,1.3,17.7,6.977076677419355
8,9,46716,144979,36451,176939,0,9,2.0,11.4,26.1,20.49708333333333,53.34,100.0,86.38254166666667,10,352,170.7236111111111,0.3,6.6000000000000005,2.796527777777778,12.1,31.0,23.09152777777778,2019,Kansas,Overland Park,United States,38.9822,-94.6708,53.0,79.0,68.89474999999999,54.0,88.0,73.56475,1.0,21.7,9.174960194444443
9,10,29964,98669,24636,145349,0,9,2.0,-7.7,24.4,6.701075268817204,38.08,100.0,80.61326612903227,3,358,197.1599462365592,0.5,8.0,3.176209677419355,-6.6000000000000005,29.3,10.242069892473118,2019,Kansas,Overland Park,United States,38.9822,-94.6708,18.0,76.0,44.06193548387097,20.0,85.0,50.435725806451615,1.6,26.2,10.420635758064517
10,11,21045,77069,18405,102776,0,8,3.0,-16.5,13.4,0.3129166666666667,40.43,100.0,81.04747222222223,2,358,194.29861111111111,0.6000000000000001,8.8,3.1868055555555554,-10.6,17.6,3.537361111111111,2019,Kansas,Overland Park,United States,38.9822,-94.6708,2.0,56.0,32.56325,13.0,64.0,38.36725,2.0,28.9,10.455399138888888
11,12,19799,59575,17994,86852,0,9,3.0,-10.0,13.4,-0.4075268817204301,45.49,100.0,86.11922043010752,2,358,213.5833333333333,0.5,8.6,3.4651881720430104,-7.300000000000001,16.400000000000002,1.8306451612903225,2019,Kansas,Overland Park,United States,38.9822,-94.6708,14.0,56.0,31.266451612903225,19.0,62.0,35.29516129032258,1.6,28.2,11.36872796236559
