,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,26104,67426,20967,99071,0,9,4.0,-26.4,11.5,-5.23252688172043,39.69,100.0,81.25803763440861,4,359,222.7701612903226,0.6000000000000001,10.0,3.484543010752688,-19.3,14.1,-2.2661290322580645,2019,Kansas,Topeka,United States,39.0558,-95.6894,-16.0,53.0,22.581451612903223,-3.0,57.0,27.920967741935485,2.0,32.8,11.43222809139785
1,2,30067,80484,26264,121416,0,9,4.0,-20.4,13.4,-5.690327380952381,47.29,100.0,80.43386904761904,2,358,172.02232142857142,0.4,9.1,3.894196428571429,-15.5,18.1,-2.6517857142857144,2019,Kansas,Topeka,United States,39.0558,-95.6894,-5.0,56.0,21.757410714285715,4.0,65.0,27.226785714285715,1.3,29.9,12.776235410714287
2,3,41344,117241,35148,179706,0,9,4.0,-21.6,15.5,0.0663978494623655,38.86,100.0,77.85133064516128,1,359,190.41129032258064,0.4,10.9,3.799462365591398,-19.0,19.9,3.93239247311828,2019,Kansas,Topeka,United States,39.0558,-95.6894,-7.0,60.0,32.119516129032256,-2.0,68.0,39.0783064516129,1.3,35.8,12.465428107526884
3,4,57935,160503,42704,212987,0,9,4.0,-5.1000000000000005,19.1,8.633888888888889,33.57,100.0,74.92248611111111,1,359,196.1375,0.3,9.0,3.783472222222222,-1.2000000000000002,26.6,13.47402777777778,2019,Kansas,Topeka,United States,39.0558,-95.6894,23.0,66.0,47.541,30.0,80.0,56.25325000000001,1.0,29.5,12.412967005555554
4,5,66708,155865,52155,246099,0,9,4.0,2.2,24.4,14.602016129032258,50.48,100.0,84.03021505376344,4,357,191.7298387096774,0.3,8.8,3.073790322580645,4.5,29.8,17.59959677419355,2019,Kansas,Topeka,United States,39.0558,-95.6894,36.0,76.0,58.28362903225806,40.0,86.0,63.6792741935484,1.0,28.9,10.084614241935483
5,6,70982,208484,45750,250469,0,9,3.0,7.5,27.4,19.522777777777776,43.75,100.0,83.413125,4,356,192.9013888888889,0.3,7.1000000000000005,2.63875,10.9,31.8,22.75555555555556,2019,Kansas,Topeka,United States,39.0558,-95.6894,46.0,81.0,67.14099999999999,52.0,89.0,72.96000000000001,1.0,23.3,8.657316549999999
6,7,60022,218556,44328,250520,0,9,2.0,13.4,28.3,21.95174731182796,54.120000000000005,100.0,83.89045698924731,3,358,156.93548387096774,0.3,5.9,2.5388440860215056,15.1,32.5,25.082123655913986,2019,Kansas,Topeka,United States,39.0558,-95.6894,56.0,83.0,71.51314516129032,59.0,90.0,77.14782258064517,1.0,19.4,8.329541231182796
7,8,63179,164521,49164,218996,0,9,4.0,14.1,28.1,21.723655913978494,55.92,100.0,86.69087365591398,1,358,165.11021505376343,0.3,5.4,2.235483870967742,15.0,32.800000000000004,24.26048387096774,2019,Kansas,Topeka,United States,39.0558,-95.6894,57.0,83.0,71.10258064516128,59.0,91.0,75.66887096774192,1.0,17.7,7.334264903225806
8,9,47234,141850,36383,176582,0,9,3.0,11.3,25.8,20.682222222222222,52.29,100.0,85.50529166666666,7,349,174.30833333333334,0.2,6.6000000000000005,3.0790277777777777,12.3,31.8,23.45138888888889,2019,Kansas,Topeka,United States,39.0558,-95.6894,52.0,78.0,69.22800000000001,54.0,89.0,74.2125,0.7,21.7,10.101797494444444
9,10,30624,104382,23861,145592,0,8,2.0,-8.1,24.8,6.079301075268817,36.89,100.0,77.47120967741935,1,359,205.68145161290323,0.4,8.3,3.3716397849462365,-6.4,29.6,10.22258064516129,2019,Kansas,Topeka,United States,39.0558,-95.6894,17.0,77.0,42.94274193548387,20.0,85.0,50.40064516129033,1.3,27.2,11.061810672043013
10,11,20421,78818,17883,102308,0,8,3.0,-15.9,14.9,0.1863888888888889,39.13,100.0,78.78351388888889,1,359,197.8763888888889,0.5,10.0,3.357638888888889,-9.6,18.1,3.845972222222222,2019,Kansas,Topeka,United States,39.0558,-95.6894,3.0,59.0,32.3355,15.0,65.0,38.92275,1.6,32.8,11.015875972222222
11,12,19927,62513,16966,87047,0,9,3.0,-11.0,13.8,-0.8154569892473119,43.32,100.0,83.25483870967741,2,358,218.3333333333333,0.4,10.1,3.5658602150537635,-7.1000000000000005,16.400000000000002,1.905241935483871,2019,Kansas,Topeka,United States,39.0558,-95.6894,12.0,57.0,30.53217741935484,19.0,62.0,35.42943548387097,1.3,33.1,11.699016827956989
