,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23825,52616,22056,103579,0,9,4.0,-10.5,18.3,2.3861559139784947,49.75,100.0,88.15650537634409,0,358,186.1370967741936,0.3,7.5,2.146370967741936,-8.3,19.9,4.27983870967742,2020,Kentucky,Bowling Green,United States,36.9817,-86.4444,13.0,65.0,36.29508064516129,17.0,68.0,39.70370967741936,1.0,24.6,7.041899725806453
1,2,27739,60770,26074,124328,0,9,5.0,-11.4,16.0,2.4718750000000003,54.95,100.0,87.90017857142857,5,354,197.5133928571429,0.2,6.2,2.415029761904762,-7.6,17.7,4.405952380952381,2020,Kentucky,Bowling Green,United States,36.9817,-86.4444,11.0,61.0,36.449375,18.0,64.0,39.93071428571429,0.7,20.3,7.92332624404762
2,3,48613,96011,35712,182869,0,9,4.0,-4.3,22.4,8.887768817204302,54.39,100.0,87.89799731182796,3,359,193.7540322580645,0.3,5.300000000000001,2.2534946236559144,-3.6,25.0,10.936693548387098,2020,Kentucky,Bowling Green,United States,36.9817,-86.4444,24.0,72.0,47.997983870967744,26.0,77.0,51.686048387096776,1.0,17.4,7.39335530107527
3,4,56111,148997,45339,217637,0,9,3.0,-6.6000000000000005,21.200000000000003,8.368472222222222,40.09,100.0,78.137,3,357,220.4138888888889,0.2,6.1000000000000005,1.95625,-0.7000000000000001,26.0,12.479305555555555,2020,Kentucky,Bowling Green,United States,36.9817,-86.4444,20.0,70.0,47.06325,31.0,79.0,54.46275,0.7,20.0,6.41814325
4,5,68497,166161,49286,248857,0,9,3.0,-2.1,24.1,14.411559139784949,39.52,100.0,82.80307795698924,12,359,203.19086021505376,0.3,4.5,1.6658602150537636,1.8,29.700000000000003,17.693548387096776,2020,Kentucky,Bowling Green,United States,36.9817,-86.4444,28.0,75.0,57.94080645161291,35.0,85.0,63.8483870967742,1.0,14.8,5.46542082795699
5,6,67859,195429,52863,246438,0,9,3.0,9.1,26.200000000000003,19.57736111111112,38.12,100.0,80.286,1,360,188.56666666666663,0.1,4.9,1.5743055555555556,10.3,32.1,23.50680555555556,2020,Kentucky,Bowling Green,United States,36.9817,-86.4444,48.0,79.0,67.23925000000001,51.0,90.0,74.31225,0.3,16.1,5.165044638888889
6,7,70189,197809,51705,245701,0,9,3.0,17.2,25.8,22.704032258064515,49.23,100.0,80.73372311827957,3,352,191.3548387096774,0.2,3.6,1.0971774193548387,18.5,33.2,26.58145161290323,2020,Kentucky,Bowling Green,United States,36.9817,-86.4444,63.0,78.0,72.86725806451614,65.0,92.0,79.84661290322582,0.7,11.8,3.599663564516129
7,8,65592,166833,47249,222370,0,9,2.0,14.5,24.9,20.640860215053763,44.62,100.0,81.2771370967742,6,355,183.57123655913972,0.1,4.3,1.199462365591398,16.7,32.5,24.401478494623657,2020,Kentucky,Bowling Green,United States,36.9817,-86.4444,58.0,77.0,69.15354838709678,62.0,90.0,75.92266129032258,0.3,14.1,3.9352441075268825
8,9,53696,138411,42382,180568,0,8,2.0,6.6000000000000005,25.8,16.23111111111111,38.36,100.0,78.85881944444444,5,355,148.39444444444445,0.3,4.6000000000000005,1.3448611111111113,8.0,30.700000000000003,20.42430555555556,2020,Kentucky,Bowling Green,United States,36.9817,-86.4444,44.0,78.0,61.216,46.0,87.0,68.76375000000002,1.0,15.1,4.412274127777779
9,10,31862,99053,29183,147039,0,9,2.0,-5.300000000000001,21.8,10.678897849462366,23.13,100.0,77.74530913978495,2,360,181.0510752688172,0.3,4.1000000000000005,1.4918010752688171,2.9000000000000004,28.0,15.139650537634408,2020,Kentucky,Bowling Green,United States,36.9817,-86.4444,22.0,71.0,51.222016129032255,37.0,82.0,59.251370967741934,1.0,13.5,4.894360639784946
10,11,22803,84382,19110,108525,0,9,2.0,-6.7,20.3,5.686527777777778,32.09,100.0,79.17866666666667,1,355,194.14166666666668,0.1,6.800000000000001,1.7169444444444446,-3.7,25.1,9.533333333333331,2020,Kentucky,Bowling Green,United States,36.9817,-86.4444,20.0,69.0,42.23575,25.0,77.0,49.16,0.3,22.3,5.633020011111111
11,12,22646,58933,19035,94313,0,9,3.0,-14.8,13.0,-0.1013440860215053,46.7,100.0,82.58108870967742,5,358,205.0483870967742,0.2,6.7,1.895295698924732,-8.6,17.400000000000002,2.794758064516129,2020,Kentucky,Bowling Green,United States,36.9817,-86.4444,5.0,55.0,31.81758064516129,17.0,63.0,37.03056451612903,0.7,22.0,6.218161940860217
