,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,27142,47343,23453,94079,0,8,5.0,-19,16,-0.1545698924731182,38.55,100.0,84.49868279569893,0.5,359.5,212.61774193548388,0.2,2.5,0.9141129032258064,-12,19,2.7728494623655915,2017,Kentucky,Covington,United States,39.065,-84.5097,-2.0,61.0,31.721774193548388,10.0,66.0,36.99112903225807,0.7,8.2,2.9990581774193545
1,2,32590,77671,27594,116083,0,9,5.0,-13,16,2.3913690476190474,33.97,100.0,82.99425595238095,0.2,353.3,232.3659226190476,0.3,2.4000000000000004,0.9471726190476192,-7,23,5.793154761904762,2017,Kentucky,Covington,United States,39.065,-84.5097,9.0,61.0,36.30446428571429,19.0,73.0,42.42767857142857,1.0,7.9,3.1075218154761908
2,3,51262,119549,41744,174997,0,9,4.0,-12,17,2.1411290322580645,35.26,100.0,79.61786290322581,0.1,359.20000000000005,202.30618279569896,0.2,2.4000000000000004,0.8266129032258065,-8,23,6.193548387096774,2017,Kentucky,Covington,United States,39.065,-84.5097,10.0,63.0,35.854032258064514,18.0,73.0,43.148387096774194,0.7,7.9,2.711984677419355
3,4,67428,156060,48943,208577,0,9,5.0,-5,23,10.456944444444444,24.69,100.0,82.63820833333334,0.0,356.90000000000003,177.48611111111111,0.0,1.5,0.4768055555555556,-1,26,14.719444444444443,2017,Kentucky,Covington,United States,39.065,-84.5097,23.0,73.0,50.8225,30.0,79.0,58.495,0.0,4.9,1.564322738888889
4,5,73212,171979,57369,244212,0,9,4.0,-3,23,12.974462365591398,34.32,100.0,84.7658064516129,1.1,358.3,205.4577956989248,0.0,1.0,0.3048387096774194,0,28,16.81451612903226,2017,Kentucky,Covington,United States,39.065,-84.5097,27.0,73.0,55.35403225806452,32.0,82.0,62.266129032258064,0.0,3.3,1.0001270322580649
5,6,70373,206475,49205,249985,0,9,3.0,8,25,16.459722222222222,37.94,100.0,80.80730555555556,0.5,359.90000000000003,216.74569444444444,0.0,1.1,0.2744444444444444,10,31,21.320833333333333,2017,Kentucky,Covington,United States,39.065,-84.5097,46.0,77.0,61.6275,50.0,88.0,70.3775,0.0,3.6,0.9004083111111109
6,7,77597,201768,55910,245247,0,9,3.0,11,26,19.23521505376344,37.3,100.0,81.26645161290323,0.1,359.1,197.8508064516129,0.0,0.9,0.251747311827957,13,32,23.94489247311828,2017,Kentucky,Covington,United States,39.065,-84.5097,52.0,79.0,66.6233870967742,55.0,90.0,75.1008064516129,0.0,3.0,0.8259426505376345
7,8,71579,178689,52159,220860,0,9,3.0,5,24,15.193548387096774,21.96,100.0,71.53274193548387,0.5,359.8,165.5274193548387,0.0,0.8,0.2435483870967742,12,34,22.443548387096776,2017,Kentucky,Covington,United States,39.065,-84.5097,41.0,75.0,59.34838709677419,54.0,93.0,72.3983870967742,0.0,2.6,0.7990432903225807
8,9,52758,136815,41210,175666,0,8,2.0,2,21,12.8375,28.22,100.0,73.30680555555556,0.2,359.8,158.1966666666667,0.0,1.0,0.2915277777777778,8,33,19.51944444444445,2017,Kentucky,Covington,United States,39.065,-84.5097,36.0,70.0,55.1075,46.0,91.0,67.13500000000002,0.0,3.3,0.9564559944444444
9,10,35957,98456,27905,140699,0,9,3.0,-5,21,8.62231182795699,26.52,100.0,76.86323924731182,1.0,351.8,201.3557795698925,0.0,1.0,0.3038978494623656,-2,30,14.063172043010752,2017,Kentucky,Covington,United States,39.065,-84.5097,23.0,70.0,47.52016129032258,28.0,86.0,57.31370967741936,0.0,3.3,0.9970402204301076
10,11,25859,64933,23847,97250,0,9,4.0,-12,19,2.575,34.29,100.0,84.03104166666667,0.8,359.40000000000003,175.45041666666668,0.1,1.0,0.3454166666666667,-4,23,5.906944444444444,2017,Kentucky,Covington,United States,39.065,-84.5097,10.0,66.0,36.635,25.0,73.0,42.6325,0.3,3.3,1.1332568166666668
11,12,23036,57682,21579,85405,0,9,4.0,-19,11,-4.075268817204301,37.17,100.0,76.61314516129032,0.3,359.90000000000003,212.34905913978497,0.0,1.6,0.6073924731182796,-13,16,0.0577956989247311,2017,Kentucky,Covington,United States,39.065,-84.5097,-2.0,52.0,24.664516129032258,9.0,61.0,32.104032258064514,0.0,5.2,1.9927575215053763
