,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25620,47256,23052,98829,0,9,5.0,-17,15,1.1975806451612905,43.06,100.0,86.48219086021506,0.2,357.6,213.93736559139785,0.2,7.7,2.881317204301076,-13,18,3.2795698924731185,2017,Kentucky,Lexington,United States,38.0297,-84.4947,1.0,59.0,34.15564516129032,9.0,64.0,37.903225806451616,0.7,25.3,9.453140736559142
1,2,34059,81475,26813,120037,0,9,4.0,-11,17,3.1160714285714284,36.34,100.0,83.90133928571429,1.1,358.1,228.0001488095238,0.4,6.800000000000001,2.640625,-7,22,5.788690476190476,2017,Kentucky,Lexington,United States,38.0297,-84.4947,12.0,63.0,37.60892857142857,19.0,72.0,42.41964285714286,1.3,22.3,8.663468125
2,3,51704,123991,39633,179281,0,9,4.0,-11,17,3.1626344086021505,40.12,100.0,80.37708333333333,0.2,360.0,197.39556451612904,0.2,7.5,2.799327956989248,-6,22,6.533602150537634,2017,Kentucky,Lexington,United States,38.0297,-84.4947,12.0,63.0,37.69274193548387,21.0,72.0,43.76048387096774,0.7,24.6,9.184147134408605
3,4,65532,155094,47480,211331,0,9,4.0,-3,23,11.118055555555555,32.96,100.0,84.17686111111112,1.3,359.20000000000005,178.90694444444443,0.1,7.1000000000000005,2.645694444444445,0,27,14.390277777777778,2017,Kentucky,Lexington,United States,38.0297,-84.4947,27.0,73.0,52.0125,32.0,81.0,57.9025,0.3,23.3,8.680100161111113
4,5,76350,184509,54381,246144,0,9,4.0,-3,22,13.81989247311828,34.35,100.0,85.5323252688172,1.2000000000000002,359.5,215.52943548387097,0.2,7.5,2.310215053763441,1,28,16.79032258064516,2017,Kentucky,Lexington,United States,38.0297,-84.4947,27.0,72.0,56.8758064516129,34.0,82.0,62.22258064516129,0.7,24.6,7.579445956989248
5,6,74864,206649,47841,251011,0,9,3.0,7,23,16.65,42.98,100.0,79.83838888888889,1.1,357.3,208.03819444444449,0.3,5.1000000000000005,1.7443055555555558,10,30,20.966666666666665,2017,Kentucky,Lexington,United States,38.0297,-84.4947,45.0,73.0,61.97,50.0,86.0,69.74,1.0,16.7,5.72278743888889
6,7,79986,198058,54429,246579,0,9,3.0,11,24,19.010752688172044,35.26,100.0,76.89345430107527,1.5,358.3,202.5685483870968,0.3,4.3,1.6904569892473118,13,35,24.18279569892473,2017,Kentucky,Lexington,United States,38.0297,-84.4947,52.0,75.0,66.21935483870968,55.0,95.0,75.52903225806452,1.0,14.1,5.546118908602151
7,8,75415,172835,48615,223270,0,9,4.0,8,24,16.19489247311828,33.45,100.0,73.26727150537634,0.5,359.40000000000003,162.81975806451615,0.2,4.6000000000000005,1.4380376344086023,11,33,22.18010752688172,2017,Kentucky,Lexington,United States,38.0297,-84.4947,46.0,75.0,61.15080645161291,52.0,91.0,71.9241935483871,0.7,15.1,4.717971392473119
8,9,51085,137350,39670,179315,0,9,2.0,3,21,13.626388888888888,30.61,100.0,75.93223611111111,1.3,360.0,163.99041666666668,0.2,5.800000000000001,1.6441666666666666,8,31,18.872222222222224,2017,Kentucky,Lexington,United States,38.0297,-84.4947,37.0,70.0,56.5275,46.0,88.0,65.97,0.7,19.0,5.394247766666666
9,10,37534,110836,26679,146062,0,9,3.0,-3,22,8.94758064516129,30.1,100.0,77.36877688172044,0.0,358.70000000000005,195.8217741935484,0.2,5.5,1.8176075268817204,-3,29,13.619623655913978,2017,Kentucky,Lexington,United States,38.0297,-84.4947,27.0,72.0,48.105645161290326,27.0,84.0,56.51532258064516,0.7,18.0,5.963279478494624
10,11,25105,68207,23506,101872,0,9,3.0,-9,18,3.425,38.84,100.0,84.41152777777778,2.0,359.5,172.94194444444443,0.2,7.800000000000001,2.109722222222222,-4,23,6.156944444444444,2017,Kentucky,Lexington,United States,38.0297,-84.4947,16.0,64.0,38.165,25.0,73.0,43.0825,0.7,25.6,6.921661055555555
11,12,22862,57963,20283,88950,0,9,4.0,-18,11,-3.014784946236559,36.53,100.0,77.71172043010753,0.2,359.8,208.84274193548387,0.2,6.2,2.260887096774194,-13,16,0.3709677419354839,2017,Kentucky,Lexington,United States,38.0297,-84.4947,-0.0,52.0,26.573387096774194,9.0,61.0,32.66774193548387,0.7,20.3,7.417608822580646
