,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23805,59965,22375,100477,0,9,4.0,-25.9,13.8,-2.8501344086021505,40.66,100.0,82.43387096774194,3,359,214.28629032258064,0.3,6.7,2.361559139784946,-16.900000000000002,16.8,-0.0841397849462365,2019,Kentucky,Louisville,United States,38.25,-85.7667,-15.0,57.0,26.86975806451613,2.0,62.0,31.848548387096773,1.0,22.0,7.747897688172042
1,2,25989,60346,25995,119160,0,9,4.0,-12.8,18.1,1.3138392857142858,49.06,100.0,86.68136904761904,4,359,179.13839285714286,0.4,7.2,2.3708333333333336,-9.1,19.200000000000003,3.4492559523809527,2019,Kentucky,Louisville,United States,38.25,-85.7667,9.0,65.0,34.36491071428571,16.0,67.0,38.20866071428571,1.3,23.6,7.778324833333334
2,3,41336,109574,38711,180480,0,9,4.0,-13.9,19.700000000000003,1.7220430107526885,35.67,100.0,81.48322580645161,1,360,198.0120967741936,0.3,7.4,2.2057795698924734,-12.0,22.1,4.908064516129032,2019,Kentucky,Louisville,United States,38.25,-85.7667,7.0,67.0,35.09967741935484,10.0,72.0,40.83451612903226,1.0,24.3,7.2368098440860225
3,4,64126,140207,47969,210852,0,9,4.0,-5.9,20.700000000000003,10.625,39.33,100.0,80.92540277777778,2,357,196.51666666666668,0.4,6.0,1.962638888888889,-4.5,26.3,14.169444444444444,2019,Kentucky,Louisville,United States,38.25,-85.7667,21.0,69.0,51.125,24.0,79.0,57.505,1.3,19.7,6.439104172222223
4,5,73858,157070,54000,243334,0,9,4.0,6.300000000000001,24.8,17.017876344086023,43.78,100.0,83.92737903225806,2,358,217.29166666666663,0.3,4.5,1.7081989247311828,6.300000000000001,29.8,20.08951612903226,2019,Kentucky,Louisville,United States,38.25,-85.7667,43.0,77.0,62.632177419354846,43.0,86.0,68.16112903225806,1.0,14.8,5.604327360215054
5,6,76430,175813,52148,245967,0,9,4.0,7.9,25.6,19.29083333333333,42.42,100.0,83.38379166666667,6,356,194.3138888888889,0.4,4.5,1.5595833333333335,11.0,31.6,22.54458333333333,2019,Kentucky,Louisville,United States,38.25,-85.7667,46.0,78.0,66.7235,52.0,89.0,72.58025,1.3,14.8,5.116743383333334
6,7,69475,211886,51722,245811,0,8,2.0,13.6,26.3,21.969623655913978,35.14,100.0,82.6131317204301,0,358,205.5443548387097,0.3,3.7,1.2053763440860217,15.2,32.4,25.45120967741936,2019,Kentucky,Louisville,United States,38.25,-85.7667,56.0,79.0,71.54532258064516,59.0,90.0,77.81217741935484,1.0,12.1,3.954646924731184
7,8,62401,177808,46631,221955,0,9,3.0,12.1,26.0,19.93534946236559,37.37,100.0,76.19518817204302,3,359,192.7688172043011,0.2,3.8,1.280510752688172,15.0,35.0,24.885618279569893,2019,Kentucky,Louisville,United States,38.25,-85.7667,54.0,79.0,67.88362903225806,59.0,95.0,76.79411290322581,0.7,12.5,4.201150897849463
8,9,49684,159927,36446,179870,0,8,1.0,5.9,22.9,16.234444444444446,22.01,100.0,61.12518055555555,4,357,191.21527777777777,0.2,3.5,1.3561111111111113,13.5,35.7,25.17125,2019,Kentucky,Louisville,United States,38.25,-85.7667,43.0,73.0,61.222,56.0,96.0,77.30825,0.7,11.5,4.449183577777778
9,10,29733,106930,25334,146469,0,9,2.0,-4.1000000000000005,20.200000000000003,9.08978494623656,23.0,100.0,69.46252688172044,2,359,186.5013440860215,0.2,5.5,1.6740591397849462,-1.4,35.7,15.571908602150538,2019,Kentucky,Louisville,United States,38.25,-85.7667,25.0,68.0,48.36161290322581,29.0,96.0,60.02943548387097,0.7,18.0,5.492320188172043
10,11,22823,69535,21360,103773,0,8,3.0,-14.0,15.2,0.7061111111111111,34.44,100.0,79.998625,0,359,190.975,0.3,6.1000000000000005,1.6868055555555554,-8.1,17.400000000000002,4.203194444444445,2019,Kentucky,Louisville,United States,38.25,-85.7667,7.0,59.0,33.271,17.0,63.0,39.56575,1.0,20.0,5.5341391388888885
11,12,20618,48958,18546,87562,0,9,4.0,-10.9,16.900000000000002,2.12728494623656,46.93,100.0,86.1588440860215,4,354,192.6935483870968,0.1,6.2,1.975,-8.0,18.2,4.3852150537634405,2019,Kentucky,Louisville,United States,38.25,-85.7667,12.0,62.0,35.829112903225806,18.0,65.0,39.89338709677419,0.3,20.3,6.479659
