,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23414,49315,22625,100038,0,9,4.0,-13.1,18.3,0.8139784946236559,40.43,100.0,86.09950268817204,1,358,191.369623655914,0.4,7.7,2.1830645161290323,-8.4,19.5,3.075268817204301,2020,Kentucky,Owensboro,United States,37.7727,-87.111,8.0,65.0,33.465161290322584,17.0,67.0,37.53548387096774,1.3,25.3,7.162285387096774
1,2,27789,64313,27422,121060,0,9,4.0,-14.3,14.0,0.9895833333333334,47.1,100.0,86.23008928571429,2,360,205.73511904761904,0.6000000000000001,5.7,2.3696428571428574,-9.6,16.400000000000002,3.218303571428572,2020,Kentucky,Owensboro,United States,37.7727,-87.111,6.0,57.0,33.78125,15.0,62.0,37.79294642857143,2.0,18.7,7.774419071428572
2,3,47160,101878,36264,180678,0,9,4.0,-4.3,22.3,7.727150537634409,48.47,100.0,86.27548387096775,1,358,194.61693548387092,0.3,5.2,2.3068548387096777,-3.6,24.5,10.0872311827957,2020,Kentucky,Owensboro,United States,37.7727,-87.111,24.0,72.0,45.90887096774193,26.0,76.0,50.15701612903226,1.0,17.1,7.568421629032259
3,4,53728,149082,45421,216017,0,9,3.0,-5.300000000000001,21.1,7.801111111111111,38.72,100.0,77.74469444444445,5,359,237.37222222222223,0.3,5.9,2.006388888888889,-1.9,26.1,11.971666666666668,2020,Kentucky,Owensboro,United States,37.7727,-87.111,22.0,70.0,46.042,29.0,79.0,53.54900000000001,1.0,19.4,6.582640922222223
4,5,66393,170968,50647,248025,0,9,3.0,-2.1,24.0,14.116801075268818,39.15,100.0,82.41118279569892,1,359,192.5349462365592,0.2,5.1000000000000005,1.663978494623656,2.1,30.0,17.477016129032258,2020,Kentucky,Owensboro,United States,37.7727,-87.111,28.0,75.0,57.41024193548387,36.0,86.0,63.45862903225806,0.7,16.7,5.459247204301075
5,6,67302,203074,51105,247017,0,9,2.0,9.5,26.0,19.61486111111111,40.91,100.0,80.64925,3,357,195.6458333333333,0.2,5.2,1.5298611111111111,10.4,32.4,23.49319444444445,2020,Kentucky,Owensboro,United States,37.7727,-87.111,49.0,79.0,67.30675,51.0,90.0,74.28775000000002,0.7,17.1,5.019229527777778
6,7,66213,203545,51236,245719,0,9,2.0,16.0,26.6,22.91948924731183,55.64,100.0,82.66073924731184,7,356,190.10887096774192,0.2,3.3000000000000003,1.0314516129032258,18.5,33.1,26.363575268817204,2020,Kentucky,Owensboro,United States,37.7727,-87.111,61.0,80.0,73.25508064516129,65.0,92.0,79.45443548387097,0.7,10.8,3.38402770967742
7,8,63542,167671,48742,221031,0,9,2.0,13.8,26.3,20.59556451612904,53.620000000000005,100.0,84.45018817204301,1,359,172.26612903225808,0.4,3.1,1.17244623655914,14.9,31.700000000000003,23.59489247311828,2020,Kentucky,Owensboro,United States,37.7727,-87.111,57.0,79.0,69.07201612903228,59.0,89.0,74.4708064516129,1.3,10.2,3.846608510752689
8,9,54313,144240,42228,178965,0,8,2.0,5.7,24.6,15.739444444444445,39.3,100.0,78.37822222222222,4,358,168.28472222222223,0.2,4.1000000000000005,1.2716666666666667,7.9,30.0,20.01083333333333,2020,Kentucky,Owensboro,United States,37.7727,-87.111,42.0,76.0,60.331,46.0,86.0,68.0195,0.7,13.5,4.172134866666667
9,10,32475,95837,30687,143130,0,9,2.0,-5.7,21.200000000000003,9.633467741935483,23.55,100.0,77.2606182795699,3,358,188.0900537634409,0.4,4.0,1.4865591397849462,1.6,27.9,14.154704301075268,2020,Kentucky,Owensboro,United States,37.7727,-87.111,22.0,70.0,49.340241935483874,35.0,82.0,57.47846774193548,1.3,13.1,4.877162688172043
10,11,22647,82502,19978,105156,0,9,2.0,-6.9,20.5,5.276527777777778,32.4,100.0,78.66444444444444,1,358,207.12222222222223,0.2,6.1000000000000005,1.9040277777777777,-4.5,24.9,9.214583333333334,2020,Kentucky,Owensboro,United States,37.7727,-87.111,20.0,69.0,41.49775,24.0,77.0,48.58625,0.7,20.0,6.246810494444444
11,12,21287,53363,19470,90695,0,9,3.0,-15.9,12.9,-0.7912634408602152,43.71,100.0,81.21118279569893,4,359,211.73387096774192,0.4,6.0,1.937231182795699,-8.8,17.1,2.3346774193548385,2020,Kentucky,Owensboro,United States,37.7727,-87.111,3.0,55.0,30.57572580645161,16.0,63.0,36.20241935483871,1.3,19.7,6.355745553763441
