,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,32571,80673,25084,128415,0,9,3.0,-3.7,21.4,10.686827956989248,37.94,100.0,87.41474462365592,1,357,149.7513440860215,0.2,8.3,3.0795698924731187,-1.1,24.5,12.951344086021503,2020,Louisiana,Lafayette,United States,30.2213,-92.0188,25.0,71.0,51.23629032258064,30.0,76.0,55.31241935483871,0.7,27.2,10.103576086021508
1,2,36079,84468,29858,142903,0,9,4.0,-3.7,22.200000000000003,10.866071428571429,39.9,100.0,87.34970238095238,1,358,176.01339285714286,0.6000000000000001,8.200000000000001,3.3587797619047617,-0.4,24.5,13.13482142857143,2020,Louisiana,Lafayette,United States,30.2213,-92.0188,25.0,72.0,51.558928571428574,31.0,76.0,55.642678571428576,2.0,26.9,11.01961899404762
2,3,63156,131078,40599,195361,0,9,4.0,3.8,23.4,17.69193548387097,44.16,100.0,88.6770564516129,5,356,161.3938172043011,0.4,6.5,3.088037634408602,4.9,28.200000000000003,19.803629032258065,2020,Louisiana,Lafayette,United States,30.2213,-92.0188,39.0,74.0,63.84548387096775,41.0,83.0,67.64653225806452,1.3,21.3,10.131357392473118
3,4,62076,169769,49699,220229,0,9,4.0,3.9,24.4,16.482499999999998,38.38,100.0,82.10554166666667,2,359,151.63055555555556,0.5,8.700000000000001,2.96125,7.300000000000001,28.4,19.99569444444444,2020,Louisiana,Lafayette,United States,30.2213,-92.0188,39.0,76.0,61.6685,45.0,83.0,67.99224999999998,1.6,28.5,9.71538745
4,5,70437,188983,48866,247603,0,9,3.0,10.2,25.200000000000003,19.963575268817205,41.25,100.0,83.78387096774193,5,351,155.11693548387098,0.5,6.5,2.7626344086021506,12.5,30.1,23.133736559139784,2020,Louisiana,Lafayette,United States,30.2213,-92.0188,50.0,77.0,67.93443548387097,54.0,86.0,73.64072580645161,1.6,21.3,9.06376147311828
5,6,71395,184660,53658,241228,0,9,3.0,17.0,26.6,22.605972222222224,45.43,100.0,81.095125,3,357,157.6,0.3,6.9,2.5161111111111114,17.7,32.800000000000004,26.453333333333337,2020,Louisiana,Lafayette,United States,30.2213,-92.0188,63.0,80.0,72.69075000000001,64.0,91.0,79.61600000000001,1.0,22.6,8.254957977777778
6,7,74897,181801,56221,240908,0,9,3.0,21.9,27.200000000000003,25.089112903225807,59.06,100.0,87.29197580645162,11,353,195.46370967741936,0.3,6.9,2.412903225806452,22.0,33.2,27.56478494623656,2020,Louisiana,Lafayette,United States,30.2213,-92.0188,71.0,81.0,77.16040322580645,72.0,92.0,81.61661290322581,1.0,22.6,7.916349419354839
7,8,62815,190952,47226,227509,0,9,2.0,17.2,27.5,23.80698924731183,39.57,100.0,79.64901881720431,2,359,197.74193548387092,0.2,14.3,2.248252688172044,20.6,34.1,28.023790322580645,2020,Louisiana,Lafayette,United States,30.2213,-92.0188,63.0,82.0,74.8525806451613,69.0,93.0,82.44282258064516,0.7,46.9,7.376157349462368
8,9,50001,147275,44335,191889,0,9,2.0,10.2,27.1,22.07027777777778,42.91,100.0,84.1661388888889,2,359,122.33055555555556,0.5,7.800000000000001,2.833888888888889,14.5,32.7,25.169722222222223,2020,Louisiana,Lafayette,United States,30.2213,-92.0188,50.0,81.0,71.7265,58.0,91.0,77.3055,1.6,25.6,9.297536022222223
9,10,38452,138616,34332,165841,0,9,1.0,6.7,25.700000000000003,17.68185483870968,42.21,100.0,84.83873655913979,1,359,127.80913978494624,0.4,12.5,2.863037634408602,7.300000000000001,29.200000000000003,20.595161290322583,2020,Louisiana,Lafayette,United States,30.2213,-92.0188,44.0,78.0,63.82733870967742,45.0,85.0,69.07129032258065,1.3,41.0,9.393168392473118
10,11,27731,107034,24345,130750,0,8,1.0,-1.2000000000000002,22.9,13.57,34.410000000000004,100.0,83.52951388888889,1,359,105.49722222222222,0.4,6.9,2.624722222222222,1.8,27.700000000000003,16.747083333333332,2020,Louisiana,Lafayette,United States,30.2213,-92.0188,30.0,73.0,56.426,35.0,82.0,62.14475,1.3,22.6,8.611293655555555
11,12,26380,84821,22883,120328,0,9,2.0,-4.3,20.5,8.443817204301075,39.26,100.0,86.76862903225806,1,359,194.63306451612905,0.7000000000000001,8.0,2.9431451612903228,-0.2,22.4,10.790188172043012,2020,Louisiana,Lafayette,United States,30.2213,-92.0188,24.0,69.0,47.19887096774194,32.0,72.0,51.42233870967742,2.3,26.2,9.655988370967744
