,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,30988,74920,25571,127998,0,9,3.0,-2.8000000000000003,21.1,10.88266129032258,39.64,100.0,87.51459677419355,2,355,150.1720430107527,0.4,7.5,2.715456989247312,0.5,23.5,13.111424731182796,2020,Louisiana,Lake Charles,United States,30.2147,-93.2086,27.0,70.0,51.58879032258065,33.0,74.0,55.60056451612903,1.3,24.6,8.908979908602152
1,2,33100,80003,29888,142811,0,9,4.0,-2.9000000000000004,21.3,10.65029761904762,43.66,100.0,86.77553571428572,1,358,173.8407738095238,0.2,6.4,2.9083333333333337,0.6000000000000001,23.700000000000003,13.036011904761908,2020,Louisiana,Lake Charles,United States,30.2147,-93.2086,27.0,70.0,51.17053571428572,33.0,75.0,55.46482142857144,0.7,21.0,9.541776333333337
2,3,63323,118722,40613,195071,0,8,4.0,4.4,23.4,17.796236559139786,41.12,100.0,89.02099462365591,7,357,160.41397849462365,0.7000000000000001,5.5,2.868279569892473,6.2,28.3,19.85403225806452,2020,Louisiana,Lake Charles,United States,30.2147,-93.2086,40.0,74.0,64.03322580645161,43.0,83.0,67.73725806451614,2.3,18.0,9.410366344086022
3,4,60745,161090,50505,219614,0,9,3.0,4.2,24.1,16.834861111111113,40.43,100.0,82.111625,3,360,145.96666666666667,0.3,7.6,2.8890277777777778,8.1,28.200000000000003,20.337777777777777,2020,Louisiana,Lake Charles,United States,30.2147,-93.2086,40.0,75.0,62.30275,47.0,83.0,68.608,1.0,24.9,9.478437894444443
4,5,72415,183358,48779,247150,0,9,3.0,10.6,25.0,20.21680107526882,43.51,100.0,83.17787634408603,6,339,156.68951612903226,0.5,5.9,2.756317204301076,13.5,30.4,23.51854838709677,2020,Louisiana,Lake Charles,United States,30.2147,-93.2086,51.0,77.0,68.39024193548389,56.0,87.0,74.33338709677419,1.6,19.4,9.043035736559142
5,6,69492,183211,52734,241107,0,9,3.0,15.3,26.3,22.695972222222224,38.07,100.0,79.34304166666666,4,359,150.06805555555556,0.3,5.300000000000001,2.5036111111111112,18.8,33.0,26.97875,2020,Louisiana,Lake Charles,United States,30.2147,-93.2086,60.0,79.0,72.85275000000001,66.0,91.0,80.56175,1.0,17.4,8.213947477777777
6,7,78420,182438,56737,240329,0,9,3.0,20.1,26.9,25.01693548387097,42.38,100.0,84.43084677419355,4,340,185.75940860215053,0.3,6.9,2.475537634408602,22.9,34.800000000000004,28.12768817204301,2020,Louisiana,Lake Charles,United States,30.2147,-93.2086,68.0,80.0,77.03048387096774,73.0,95.0,82.62983870967741,1.0,22.6,8.121842892473119
7,8,65086,189409,48409,226654,0,9,2.0,14.5,27.700000000000003,23.854301075268825,30.04,100.0,77.35029569892474,5,359,171.6760752688172,0.2,11.7,2.17244623655914,21.700000000000003,35.7,28.70483870967742,2020,Louisiana,Lake Charles,United States,30.2147,-93.2086,58.0,82.0,74.93774193548388,71.0,96.0,83.66870967741936,0.7,38.4,7.127448510752689
8,9,54716,141874,44059,191725,0,8,2.0,10.2,26.8,22.22736111111111,38.72,100.0,82.89904166666666,1,359,112.20555555555556,0.3,7.4,2.701805555555556,15.1,32.800000000000004,25.625694444444445,2020,Louisiana,Lake Charles,United States,30.2147,-93.2086,50.0,80.0,72.00925000000001,59.0,91.0,78.12625,1.0,24.3,8.86419173888889
9,10,41151,128031,34738,165384,0,9,1.0,6.300000000000001,25.700000000000003,17.885080645161292,42.25,100.0,85.1873252688172,1,357,120.49059139784946,0.2,9.9,2.661827956989248,7.9,29.5,20.73010752688172,2020,Louisiana,Lake Charles,United States,30.2147,-93.2086,43.0,78.0,64.19314516129032,46.0,85.0,69.3141935483871,0.7,32.5,8.733031634408604
10,11,28320,108780,24549,130587,0,8,1.0,-1.1,22.6,13.921527777777778,38.62,100.0,83.82840277777777,4,356,107.80972222222222,0.3,6.0,2.486111111111111,2.6,27.200000000000003,16.986805555555556,2020,Louisiana,Lake Charles,United States,30.2147,-93.2086,30.0,73.0,57.05875,37.0,81.0,62.57625,1.0,19.7,8.156532777777779
11,12,25564,84663,23694,119455,0,8,2.0,-4.1000000000000005,20.200000000000003,9.101747311827957,40.94,100.0,86.90557795698925,0,359,190.9556451612904,0.3,6.800000000000001,2.7291666666666665,0.9,21.4,11.41236559139785,2020,Louisiana,Lake Charles,United States,30.2147,-93.2086,25.0,68.0,48.38314516129032,34.0,71.0,52.54225806451613,1.0,22.3,8.953959166666666
