,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,32199,83531,23301,129887,0,9,3.0,-1.3,20.9,11.658198924731185,42.97,100.0,86.1374059139785,0,359,151.45430107526883,0.3,7.9,3.5680107526881724,2.5,22.9,14.141263440860216,2020,Louisiana,New Orleans,United States,29.9518,-90.0746,30.0,70.0,52.98475806451613,36.0,73.0,57.45427419354839,1.0,25.9,11.706072397849464
1,2,35993,93430,26163,144884,0,11,3.0,-1.6,20.700000000000003,11.565327380952382,36.51,100.0,84.35145833333334,0,358,175.29315476190476,0.2,8.200000000000001,3.844494047619048,4.4,23.3,14.398809523809524,2020,Louisiana,New Orleans,United States,29.9518,-90.0746,29.0,69.0,52.81758928571429,40.0,74.0,57.91785714285714,0.7,26.9,12.613169851190476
2,3,63347,148971,35407,198602,0,8,3.0,2.8000000000000003,23.700000000000003,18.088575268817205,42.21,100.0,86.01731182795699,2,359,166.33467741935485,0.4,7.5,3.44744623655914,8.6,27.9,20.698252688172044,2020,Louisiana,New Orleans,United States,29.9518,-90.0746,37.0,75.0,64.55943548387097,47.0,82.0,69.25685483870967,1.3,24.6,11.31051951075269
3,4,59733,177395,49205,220551,0,9,3.0,7.2,24.4,17.04125,40.81,100.0,77.81123611111111,3,359,156.99583333333334,0.4,9.2,3.641111111111111,12.2,27.5,21.38152777777778,2020,Louisiana,New Orleans,United States,29.9518,-90.0746,45.0,76.0,62.67425,54.0,82.0,70.48675,1.3,30.2,11.945902977777775
4,5,68313,205741,46721,248646,0,9,2.0,10.5,24.9,19.89865591397849,42.67,100.0,78.68450268817205,3,357,151.16801075268816,0.2,7.6,3.3783602150537635,15.1,29.9,24.111021505376343,2020,Louisiana,New Orleans,United States,29.9518,-90.0746,51.0,77.0,67.81758064516129,59.0,86.0,75.39983870967743,0.7,24.9,11.08385932795699
5,6,66409,175685,51338,241808,0,9,3.0,17.7,27.3,23.07875,48.99,100.0,79.373125,1,356,149.73472222222222,0.5,10.6,3.2252777777777784,21.3,31.200000000000003,27.184722222222224,2020,Louisiana,New Orleans,United States,29.9518,-90.0746,64.0,81.0,73.54175000000001,70.0,88.0,80.9325,1.6,34.8,10.581620344444444
6,7,77581,162128,56106,240376,0,9,4.0,21.700000000000003,28.200000000000003,25.348655913978497,64.49,100.0,85.83030913978494,12,346,201.58602150537635,0.3,6.6000000000000005,3.123790322580645,24.4,32.800000000000004,28.035483870967745,2020,Louisiana,New Orleans,United States,29.9518,-90.0746,71.0,83.0,77.62758064516129,76.0,91.0,82.46387096774194,1.0,21.7,10.248656241935484
7,8,65471,172352,45758,227755,0,9,2.0,18.0,27.5,24.52983870967742,49.64,100.0,79.45173387096774,1,359,200.21236559139783,0.3,9.0,2.646370967741936,24.0,32.300000000000004,28.65860215053764,2020,Louisiana,New Orleans,United States,29.9518,-90.0746,64.0,82.0,76.15370967741936,75.0,90.0,83.58548387096775,1.0,29.5,8.682319725806453
8,9,52449,131482,40241,193584,0,9,3.0,10.0,27.5,22.89611111111111,40.09,100.0,83.57333333333334,1,358,138.7375,0.2,10.4,3.9390277777777776,17.0,31.6,26.07611111111111,2020,Louisiana,New Orleans,United States,29.9518,-90.0746,50.0,82.0,73.213,63.0,89.0,78.937,0.7,34.1,12.923319894444443
9,10,39048,137334,29838,168867,0,9,1.0,8.1,25.5,19.051344086021505,44.26,100.0,82.90869623655914,0,359,127.18413978494624,0.4,13.0,3.701881720430108,11.4,29.1,22.35698924731183,2020,Louisiana,New Orleans,United States,29.9518,-90.0746,47.0,78.0,66.2924193548387,53.0,84.0,72.2425806451613,1.3,42.7,12.145281623655915
10,11,28978,104298,22292,132318,0,8,1.0,1.1,23.0,15.373194444444444,42.16,100.0,84.43115277777778,0,360,102.81388888888888,0.4,7.800000000000001,3.4347222222222222,6.0,26.4,18.288055555555555,2020,Louisiana,New Orleans,United States,29.9518,-90.0746,34.0,73.0,59.67175,43.0,80.0,64.9185,1.3,25.6,11.268774055555555
11,12,26722,93409,20681,122342,0,9,2.0,-4.5,18.9,8.964650537634409,34.22,100.0,82.17573924731182,3,358,185.83198924731184,0.2,8.6,3.290188172043011,3.0,20.6,12.187231182795696,2020,Louisiana,New Orleans,United States,29.9518,-90.0746,24.0,66.0,48.13637096774194,37.0,69.0,53.93701612903225,0.7,28.2,10.794580962365592
