,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24135,65781,22982,120100,0,9,3.0,-4.9,21.4,6.989247311827957,34.68,100.0,86.83478494623657,2,359,176.34408602150538,0.1,2.2,0.7044354838709678,-3.1,23.200000000000003,9.365591397849462,2020,Louisiana,Shreveport,United States,32.5147,-93.7472,23.0,71.0,44.58064516129032,26.0,74.0,48.85806451612903,0.3,7.2,2.311140112903226
1,2,27484,79521,24922,138399,0,9,3.0,-4.800000000000001,20.8,6.801190476190477,39.04,100.0,86.36412202380953,3,360,190.4196428571429,0.3,1.9,0.7739583333333334,-3.7,23.4,9.285565476190476,2020,Louisiana,Shreveport,United States,32.5147,-93.7472,23.0,69.0,44.24214285714286,25.0,74.0,48.714017857142856,1.0,6.2,2.539233458333334
2,3,47763,94687,36817,191352,0,9,5.0,2.3000000000000003,22.4,15.080510752688172,39.9,100.0,88.59017473118278,4,356,163.2983870967742,0.1,2.0,0.7541666666666667,3.6,29.200000000000003,17.20981182795699,2020,Louisiana,Shreveport,United States,32.5147,-93.7472,36.0,72.0,59.14491935483871,38.0,85.0,62.97766129032259,0.3,6.6,2.474300166666666
3,4,56449,153180,45005,220077,0,9,3.0,2.7,24.5,14.49986111111111,42.23,100.0,84.05365277777777,2,357,167.77083333333334,0.1,2.0,0.7002777777777779,3.9,30.3,17.63638888888889,2020,Louisiana,Shreveport,United States,32.5147,-93.7472,37.0,76.0,58.09975,39.0,87.0,63.74550000000001,0.3,6.6,2.2974993444444447
4,5,64392,194912,47282,248452,0,9,3.0,7.2,25.5,18.56948924731183,47.42,100.0,84.04102150537634,1,355,158.72177419354838,0.1,1.7000000000000002,0.7309139784946237,9.1,31.200000000000003,21.72822580645161,2020,Louisiana,Shreveport,United States,32.5147,-93.7472,45.0,78.0,65.4250806451613,48.0,88.0,71.1108064516129,0.3,5.6,2.398011817204301
5,6,71454,204079,50384,244004,0,9,2.0,13.2,27.1,22.24708333333333,46.63,100.0,82.62133333333334,9,354,152.17638888888888,0.1,1.6,0.6368055555555555,15.8,33.9,25.85111111111111,2020,Louisiana,Shreveport,United States,32.5147,-93.7472,56.0,81.0,72.04475,60.0,93.0,78.532,0.3,5.2,2.0892571388888888
6,7,70641,198428,53540,242739,0,9,2.0,19.6,27.9,24.298252688172045,36.89,100.0,81.99840053763441,31,355,174.4798387096774,0.1,1.3,0.5380376344086022,21.8,37.0,28.153629032258063,2020,Louisiana,Shreveport,United States,32.5147,-93.7472,67.0,82.0,75.73685483870969,71.0,99.0,82.67653225806451,0.3,4.3,1.7652153924731184
7,8,62103,192330,48170,226293,0,9,2.0,11.8,27.700000000000003,21.74798387096774,24.76,100.0,73.39432795698924,0,358,159.6760752688172,0.0,2.9000000000000004,0.5943548387096775,19.0,38.3,27.81465053763441,2020,Louisiana,Shreveport,United States,32.5147,-93.7472,53.0,82.0,71.14637096774193,66.0,101.0,82.06637096774193,0.0,9.5,1.9499831290322585
8,9,55174,140339,45308,187068,0,9,2.0,8.700000000000001,27.0,20.501527777777778,42.5,100.0,84.04741666666666,0,358,129.6486111111111,0.1,1.6,0.6736111111111112,10.1,33.300000000000004,23.739027777777785,2020,Louisiana,Shreveport,United States,32.5147,-93.7472,48.0,81.0,68.90275,50.0,92.0,74.73025000000001,0.3,5.2,2.210010277777778
9,10,34699,120258,31157,160973,0,8,1.0,3.0,23.9,14.425537634408602,44.34,100.0,84.2341129032258,1,357,138.48252688172042,0.1,1.7000000000000002,0.67997311827957,3.3000000000000003,30.3,17.480913978494627,2020,Louisiana,Shreveport,United States,32.5147,-93.7472,37.0,75.0,57.965967741935486,38.0,87.0,63.465645161290325,0.3,5.6,2.230883005376344
10,11,25121,102024,21956,124108,0,8,1.0,-6.6000000000000005,21.700000000000003,10.32638888888889,30.95,100.0,81.14468055555555,2,354,146.35694444444445,0.2,1.5,0.6581944444444445,-1.6,26.700000000000003,14.03,2020,Louisiana,Shreveport,United States,32.5147,-93.7472,20.0,71.0,50.587500000000006,29.0,80.0,57.254,0.7,4.9,2.159430661111111
11,12,20749,78506,20188,111896,0,9,2.0,-9.1,19.5,5.081586021505377,30.69,100.0,83.59370967741935,4,350,209.5255376344086,0.2,2.0,0.7381720430107528,-2.8000000000000003,22.3,8.082795698924732,2020,Louisiana,Shreveport,United States,32.5147,-93.7472,16.0,67.0,41.14685483870968,27.0,72.0,46.549032258064514,0.7,6.6,2.421824365591398
