,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22488,57797,19930,81466,0,9,4.0,-15,10,-1.978494623655914,34.63,100.0,85.32141129032257,0.4,359.3,222.02916666666667,0.2,2.5,1.0219086021505377,-13,13,0.4838709677419355,2017,Massachusetts,Boston,United States,42.3581,-71.0636,5.0,50.0,28.438709677419357,9.0,55.0,32.87096774193548,0.7,8.2,3.35271861827957
1,2,29460,80459,26941,107757,0,9,4.0,-14,12,-1.6011904761904765,47.14,100.0,86.37793154761906,0.3,359.70000000000005,233.3389880952381,0.1,2.9000000000000004,1.140625,-13,16,0.4806547619047619,2017,Massachusetts,Boston,United States,42.3581,-71.0636,7.0,54.0,29.117857142857144,9.0,61.0,32.86517857142857,0.3,9.5,3.742208125
2,3,39277,120899,38607,171813,0,9,4.0,-17,11,-3.991935483870968,25.54,100.0,76.68752688172043,0.0,358.70000000000005,229.9907258064516,0.1,3.2,1.2036290322580645,-13,13,-0.1827956989247312,2017,Massachusetts,Boston,United States,42.3581,-71.0636,1.0,52.0,24.814516129032256,9.0,55.0,31.670967741935485,0.3,10.5,3.948914274193548
3,4,56283,136371,46132,203967,0,9,4.0,-2,17,5.572222222222222,37.71,100.0,88.072875,0.1,359.3,189.29722222222225,0.0,1.6,0.5850000000000001,-2,23,8.291666666666666,2017,Massachusetts,Boston,United States,42.3581,-71.0636,28.0,63.0,42.03,28.0,73.0,46.925,0.0,5.2,1.9192914000000003
4,5,72419,151511,49972,245075,0,9,4.0,0,20,8.797043010752688,42.16,100.0,87.04930107526881,0.5,358.8,185.4495967741936,0.0,1.2000000000000002,0.4399193548387097,2,26,11.788978494623656,2017,Massachusetts,Boston,United States,42.3581,-71.0636,32.0,68.0,47.83467741935484,36.0,79.0,53.22016129032258,0.0,3.9,1.4433050161290324
5,6,71860,188943,49823,247565,0,8,3.0,6,23,14.372222222222222,50.57,100.0,85.77840277777777,1.7000000000000002,359.6,211.8452777777778,0.0,1.2000000000000002,0.3940277777777777,8,29,17.67222222222222,2017,Massachusetts,Boston,United States,42.3581,-71.0636,43.0,73.0,57.870000000000005,46.0,84.0,63.81,0.0,3.9,1.292742094444444
6,7,71855,190080,51635,244080,0,8,4.0,11,23,16.837365591397848,41.55,100.0,85.11206989247312,0.5,359.1,186.99247311827955,0.0,1.1,0.3626344086021505,13,29,20.31989247311828,2017,Massachusetts,Boston,United States,42.3581,-71.0636,52.0,73.0,62.30725806451613,55.0,84.0,68.5758064516129,0.0,3.6,1.1897454731182795
7,8,66827,178942,48066,215575,0,8,3.0,8,22,15.418010752688172,37.43,100.0,78.9671370967742,0.5,359.6,211.4360215053764,0.0,1.0,0.3676075268817204,12,29,20.33870967741936,2017,Massachusetts,Boston,United States,42.3581,-71.0636,46.0,72.0,59.75241935483871,54.0,84.0,68.60967741935485,0.0,3.3,1.2060614784946235
8,9,46172,123196,37300,166904,0,8,3.0,3,20,14.051388888888887,32.46,100.0,82.01805555555555,2.1,359.90000000000003,185.67125,0.0,1.2000000000000002,0.4584722222222223,8,29,18.24305555555556,2017,Massachusetts,Boston,United States,42.3581,-71.0636,37.0,68.0,57.2925,46.0,84.0,64.8375,0.0,3.9,1.5041740055555557
9,10,32194,101089,25382,127478,0,9,3.0,-2,21,10.565860215053764,30.89,100.0,81.83125,2.1,355.6,210.84610215053763,0.1,1.9,0.544489247311828,4,25,14.705645161290322,2017,Massachusetts,Boston,United States,42.3581,-71.0636,28.0,70.0,51.01854838709677,39.0,77.0,58.47016129032258,0.3,6.2,1.7863821021505375
10,11,22565,62552,19222,85731,0,9,4.0,-12,16,1.7763888888888888,38.07,100.0,81.81877777777778,0.6000000000000001,358.6,196.0090277777778,0.1,1.4,0.6708333333333334,-4,20,5.141666666666667,2017,Massachusetts,Boston,United States,42.3581,-71.0636,10.0,61.0,35.1975,25.0,68.0,41.255,0.3,4.6,2.2008968333333336
11,12,20374,51657,20399,71780,0,9,5.0,-18,13,-4.412634408602151,47.31,100.0,81.35916666666667,0.2,357.70000000000005,234.86774193548388,0.1,1.5,0.7868279569892472,-17,13,-1.663978494623656,2017,Massachusetts,Boston,United States,42.3581,-71.0636,-0.0,55.0,24.057258064516127,1.0,55.0,29.00483870967742,0.3,4.9,2.581456634408602
