,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21166,59650,16864,85628,0,9,4.0,-20.700000000000003,13.5,-5.478629032258064,43.21,100.0,84.49274193548386,2,358,233.41801075268816,0.3,3.0,1.3181451612903226,-20.5,13.7,-3.0983870967741938,2018,Massachusetts,Cambridge,United States,42.3652,-71.105,-5.0,56.0,22.13846774193549,-5.0,57.0,26.42290322580645,1.0,9.8,4.324623370967742
1,2,27460,67776,19348,108569,0,9,4.0,-16.5,15.1,-0.8773809523809524,39.3,100.0,85.88910714285714,7,359,228.30505952380952,0.3,2.4000000000000004,1.174404761904762,-13.7,17.400000000000002,1.3748511904761904,2018,Massachusetts,Cambridge,United States,42.3652,-71.105,2.0,59.0,30.420714285714286,7.0,63.0,34.47473214285714,1.0,7.9,3.8530341190476194
2,3,44321,117227,27877,175367,0,9,4.0,-13.8,10.4,-1.266935483870968,38.93,100.0,83.23934139784946,1,359,182.58736559139783,0.1,4.2,1.4967741935483874,-10.6,14.3,1.4486559139784945,2018,Massachusetts,Cambridge,United States,42.3652,-71.105,7.0,51.0,29.719516129032257,13.0,58.0,34.60758064516129,0.3,13.8,4.910676645161291
3,4,50498,128300,42833,209015,0,9,3.0,-8.700000000000001,12.8,2.1840277777777777,30.26,100.0,79.93048611111111,0,356,217.40277777777777,0.1,2.2,0.8069444444444445,-3.4000000000000004,19.200000000000003,5.757083333333334,2018,Massachusetts,Cambridge,United States,42.3652,-71.105,16.0,55.0,35.93125,26.0,67.0,42.362750000000005,0.3,7.2,2.647455611111111
4,5,61149,172600,44794,246904,0,9,4.0,2.3000000000000003,20.3,11.614247311827956,40.05,100.0,81.5526747311828,4,358,181.4731182795699,0.1,1.3,0.5047043010752689,4.9,28.0,15.11760752688172,2018,Massachusetts,Cambridge,United States,42.3652,-71.105,36.0,69.0,52.90564516129032,41.0,82.0,59.211693548387096,0.3,4.3,1.655854059139785
5,6,67426,173227,42999,252685,0,9,3.0,5.7,22.3,14.39388888888889,39.9,100.0,80.13216666666668,0,354,191.5305555555556,0.1,1.1,0.5140277777777779,8.5,30.9,18.26763888888889,2018,Massachusetts,Cambridge,United States,42.3652,-71.105,42.0,72.0,57.909000000000006,47.0,88.0,64.88175000000001,0.3,3.6,1.6864428944444447
6,7,59470,211047,44497,248440,0,9,2.0,8.0,24.8,18.35241935483871,36.61,100.0,77.26858870967742,5,357,192.7029569892473,0.0,1.1,0.4568548387096774,13.5,32.5,23.12338709677419,2018,Massachusetts,Cambridge,United States,42.3652,-71.105,46.0,77.0,65.03435483870967,56.0,90.0,73.62209677419355,0.0,3.6,1.498867629032258
7,8,56074,158124,44887,214885,0,9,2.0,10.4,23.9,19.65483870967742,36.73,100.0,81.04225806451613,4,348,188.2083333333333,0.1,1.1,0.4997311827956989,14.7,34.2,23.5627688172043,2018,Massachusetts,Cambridge,United States,42.3652,-71.105,51.0,75.0,67.37870967741935,58.0,94.0,74.41298387096774,0.3,3.6,1.6395380537634408
8,9,46198,105315,29824,171041,0,9,3.0,5.800000000000001,23.3,15.615277777777775,43.81,100.0,81.15752777777777,2,358,165.51527777777778,0.0,1.4,0.6262500000000001,9.7,33.2,19.30208333333333,2018,Massachusetts,Cambridge,United States,42.3652,-71.105,42.0,74.0,60.1075,49.0,92.0,66.74374999999999,0.0,4.6,2.0546260500000004
9,10,28407,75288,22291,130808,0,9,3.0,-5.6000000000000005,20.9,8.028763440860216,38.26,100.0,83.20334677419355,5,357,216.16129032258064,0.1,2.3000000000000003,0.8178763440860215,-1.1,25.8,11.033467741935484,2018,Massachusetts,Cambridge,United States,42.3652,-71.105,22.0,70.0,46.45177419354839,30.0,78.0,51.86024193548387,0.3,7.5,2.683321424731183
10,11,19134,48180,16429,87929,0,9,3.0,-13.9,17.3,1.687361111111111,41.11,100.0,84.93923611111111,3,352,217.9958333333333,0.1,2.1,0.951527777777778,-9.9,17.900000000000002,4.186111111111111,2018,Massachusetts,Cambridge,United States,42.3652,-71.105,7.0,63.0,35.03725,14.0,64.0,39.535,0.3,6.9,3.121810394444445
11,12,15621,55800,13539,73203,0,9,3.0,-17.6,14.4,-2.131451612903226,44.83,100.0,83.6532123655914,3,358,242.0483870967742,0.1,1.9,0.9081989247311828,-16.1,14.5,0.4776881720430107,2018,Massachusetts,Cambridge,United States,42.3652,-71.105,0.0,58.0,28.163387096774198,3.0,58.0,32.85983870967742,0.3,6.2,2.979655360215054
