,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,20757,60487,16780,83774,0,9,4.0,-17.2,14.6,-2.9513440860215057,36.79,100.0,84.81513440860215,3,356,240.93951612903223,0.1,2.2,0.956451612903226,-13.3,16.3,-0.5633064516129033,2020,Massachusetts,Lowell,United States,42.6394,-71.3147,1.0,58.0,26.68758064516129,8.0,61.0,30.986048387096773,0.3,7.2,3.13796470967742
1,2,25571,70700,21025,108194,0,9,4.0,-20.8,7.5,-3.1703869047619047,43.79,100.0,85.83708333333333,5,358,230.45386904761904,0.1,2.6,1.0334821428571428,-17.7,10.9,-0.9461309523809524,2020,Massachusetts,Lowell,United States,42.6394,-71.3147,-5.0,46.0,26.293303571428574,0.0,52.0,30.296964285714285,0.3,8.5,3.3906895535714283
2,3,35505,120659,27383,172578,0,9,3.0,-11.7,14.1,0.0654569892473118,35.160000000000004,100.0,80.11559139784946,2,359,195.06317204301075,0.1,2.2,1.0237903225806453,-8.9,16.5,3.565188172043011,2020,Massachusetts,Lowell,United States,42.6394,-71.3147,11.0,57.0,32.11782258064516,16.0,62.0,38.41733870967742,0.3,7.2,3.358892241935484
3,4,53616,121934,39991,210974,0,9,3.0,-8.0,14.3,2.048888888888889,31.79,100.0,79.43841666666667,3,357,198.63611111111112,0.1,1.8,0.8170833333333334,-2.8000000000000003,17.2,5.76875,2020,Massachusetts,Lowell,United States,42.6394,-71.3147,18.0,58.0,35.688,27.0,63.0,42.38375,0.3,5.9,2.6807196833333333
4,5,63094,202463,40939,254236,0,8,2.0,-6.1000000000000005,20.4,7.863575268817204,34.08,100.0,75.7930376344086,10,354,213.31182795698925,0.1,1.5,0.5012096774193548,0.4,26.6,12.548924731182796,2020,Massachusetts,Lowell,United States,42.6394,-71.3147,21.0,69.0,46.15443548387097,33.0,80.0,54.58806451612904,0.3,4.9,1.6443887580645162
5,6,66803,188639,43174,251777,0,9,2.0,1.9,21.9,15.094305555555556,36.45,100.0,76.9096111111111,5,356,196.24027777777772,0.0,1.0,0.335,4.9,31.6,19.81305555555556,2020,Massachusetts,Lowell,United States,42.6394,-71.3147,35.0,71.0,59.16975,41.0,89.0,67.6635,0.0,3.3,1.0990814
6,7,69178,190550,45733,246798,0,9,2.0,13.1,24.3,18.644892473118283,32.49,100.0,74.15055107526882,1,354,191.2379032258065,0.1,0.8,0.3724462365591398,14.8,35.300000000000004,24.196908602150536,2020,Massachusetts,Lowell,United States,42.6394,-71.3147,56.0,76.0,65.5608064516129,59.0,96.0,75.55443548387098,0.3,2.6,1.221936510752688
7,8,58970,164666,40899,218983,0,9,3.0,4.1000000000000005,23.8,15.971774193548388,27.4,100.0,67.2545564516129,2,355,199.24059139784947,0.0,1.4,0.4068548387096774,12.3,34.6,23.287768817204302,2020,Massachusetts,Lowell,United States,42.6394,-71.3147,39.0,75.0,60.7491935483871,54.0,94.0,73.91798387096775,0.0,4.6,1.334825629032258
8,9,47764,135787,33791,170355,0,8,2.0,-2.9000000000000004,22.700000000000003,11.611527777777775,23.34,100.0,68.41740277777778,1,358,181.99722222222223,0.0,1.3,0.4936111111111111,6.2,31.5,18.42180555555556,2020,Massachusetts,Lowell,United States,42.6394,-71.3147,27.0,73.0,52.90075,43.0,89.0,65.15925000000001,0.0,4.3,1.6194590777777778
9,10,28904,83249,22851,129463,0,8,2.0,-6.300000000000001,17.400000000000002,7.41236559139785,27.93,100.0,77.61741935483872,4,356,195.18817204301075,0.1,1.3,0.5924731182795699,-5.4,24.700000000000003,11.78266129032258,2020,Massachusetts,Lowell,United States,42.6394,-71.3147,21.0,63.0,45.34225806451613,22.0,76.0,53.20879032258064,0.3,4.3,1.943809505376344
10,11,19765,55637,15759,86278,0,9,3.0,-10.9,17.400000000000002,4.13625,41.68,100.0,81.379875,4,356,229.29722222222225,0.1,1.5,0.6459722222222223,-5.4,21.9,7.418472222222222,2020,Massachusetts,Lowell,United States,42.6394,-71.3147,12.0,63.0,39.44525,22.0,71.0,45.35325,0.3,4.9,2.119331505555556
11,12,20368,45703,15453,72466,0,9,4.0,-15.0,15.7,-1.7513440860215057,44.0,100.0,85.00694892473118,1,358,237.1438172043011,0.2,1.7000000000000002,0.8045698924731183,-11.9,16.0,0.6506720430107528,2020,Massachusetts,Lowell,United States,42.6394,-71.3147,5.0,60.0,28.84758064516129,11.0,61.0,33.171209677419355,0.7,5.6,2.6396650860215054
