,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21380,63121,17161,86814,0,9,5.0,-29.0,13.4,-7.62741935483871,36.94,100.0,81.3574059139785,2,358,230.8400537634409,0.1,1.0,0.4067204301075269,-24.200000000000003,13.6,-4.780913978494624,2018,Massachusetts,Springfield,United States,42.1124,-72.5475,-20.0,56.0,18.27064516129032,-12.0,56.0,23.394354838709678,0.3,3.3,1.3343846559139785
1,2,27570,68245,20858,109583,0,9,4.0,-18.2,17.3,-1.925,36.36,100.0,86.65251488095238,2,358,221.92261904761904,0.1,1.1,0.4619047619047619,-15.1,20.3,0.1849702380952381,2018,Massachusetts,Springfield,United States,42.1124,-72.5475,-1.0,63.0,28.535,5.0,69.0,32.332946428571425,0.3,3.6,1.515435619047619
2,3,45860,114011,28175,175554,0,9,4.0,-15.7,9.9,-2.091129032258064,33.43,100.0,82.55334677419356,1,359,214.0779569892473,0.1,1.5,0.4733870967741935,-12.3,14.4,0.789247311827957,2018,Massachusetts,Springfield,United States,42.1124,-72.5475,4.0,50.0,28.23596774193549,10.0,58.0,33.420645161290324,0.3,4.9,1.5531073225806449
3,4,50591,126308,43389,210633,0,9,4.0,-9.7,15.5,1.4572222222222222,23.17,100.0,78.938,4,355,227.09583333333333,0.0,1.0,0.1379166666666666,-4.5,20.200000000000003,5.292777777777778,2018,Massachusetts,Springfield,United States,42.1124,-72.5475,15.0,60.0,34.623,24.0,68.0,41.527,0.0,3.3,0.4524825166666664
4,5,62955,164270,44855,246838,0,9,4.0,4.1000000000000005,21.8,12.43319892473118,37.07,100.0,78.90654569892473,4,358,196.8185483870968,0.0,0.8,0.0314516129032258,4.7,29.6,16.593951612903226,2018,Massachusetts,Springfield,United States,42.1124,-72.5475,39.0,71.0,54.379758064516125,40.0,85.0,61.86911290322581,0.0,2.6,0.1031877096774193
5,6,69121,173570,43217,253121,0,9,3.0,6.7,23.6,14.416944444444445,33.9,100.0,76.38426388888888,2,359,211.61527777777772,0.0,0.8,0.0340277777777777,8.5,31.4,19.247222222222224,2018,Massachusetts,Springfield,United States,42.1124,-72.5475,44.0,74.0,57.950500000000005,47.0,89.0,66.64500000000001,0.0,2.6,0.1116396944444441
6,7,61654,205055,44493,249329,0,9,2.0,6.7,26.0,18.49489247311828,31.09,100.0,75.51229838709678,5,360,203.489247311828,0.0,0.6000000000000001,0.0338709677419354,12.4,38.2,23.910483870967745,2018,Massachusetts,Springfield,United States,42.1124,-72.5475,44.0,79.0,65.29080645161291,54.0,101.0,75.03887096774194,0.0,2.0,0.1111252258064513
7,8,59879,156271,45746,215400,0,9,3.0,9.5,25.3,19.93790322580645,41.92,100.0,82.55903225806452,7,352,197.55913978494624,0.0,0.7000000000000001,0.0236559139784946,13.4,33.9,23.504838709677426,2018,Massachusetts,Springfield,United States,42.1124,-72.5475,49.0,78.0,67.88822580645162,56.0,93.0,74.30870967741936,0.0,2.3,0.0776112688172042
8,9,46944,100114,30538,171262,0,9,3.0,5.2,24.1,15.730833333333337,43.59,100.0,81.57062499999999,2,357,164.8111111111111,0.0,0.6000000000000001,0.0319444444444444,7.0,34.0,19.404444444444444,2018,Massachusetts,Springfield,United States,42.1124,-72.5475,41.0,75.0,60.31550000000001,45.0,93.0,66.928,0.0,2.0,0.1048046111111109
9,10,33096,76125,23346,131570,0,9,3.0,-8.6,22.0,7.659139784946237,32.53,100.0,83.21739247311828,3,357,223.30645161290323,0.0,0.7000000000000001,0.0315860215053763,-3.2,26.9,10.72217741935484,2018,Massachusetts,Springfield,United States,42.1124,-72.5475,17.0,72.0,45.78645161290323,26.0,80.0,51.29991935483871,0.0,2.3,0.1036286827956987
10,11,22836,49100,17555,89181,0,9,4.0,-18.3,18.2,0.2068055555555555,34.78,100.0,85.29479166666667,3,353,219.54444444444445,0.0,1.0,0.0523611111111111,-14.1,18.9,2.637083333333333,2018,Massachusetts,Springfield,United States,42.1124,-72.5475,-1.0,65.0,32.37225,7.0,66.0,36.74675,0.0,3.3,0.1717884277777777
11,12,17244,49660,14327,73805,0,9,4.0,-22.6,14.3,-2.833870967741936,40.95,100.0,85.64400537634408,1,355,229.747311827957,0.0,0.8,0.1130376344086021,-18.8,14.4,-0.558736559139785,2018,Massachusetts,Springfield,United States,42.1124,-72.5475,-9.0,58.0,26.89903225806452,-2.0,58.0,30.994274193548385,0.0,2.6,0.3708583924731181
