,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23905,56287,20476,83146,0,9,5.0,-19,11,-3.295698924731183,31.16,100.0,85.56629032258064,0.3,359.40000000000003,218.09220430107527,0.1,1.0,0.3547043010752688,-17,12,-1.178763440860215,2017,Massachusetts,Worcester,United States,42.2667,-71.8,-2.0,52.0,26.06774193548387,1.0,54.0,29.878225806451614,0.3,3.3,1.163728059139785
1,2,30187,83272,27455,109601,0,9,4.0,-19,13,-2.8735119047619047,44.81,100.0,86.37061011904763,0.6000000000000001,359.5,228.6456845238095,0.0,1.4,0.4875,-17,17,-0.9836309523809524,2017,Massachusetts,Worcester,United States,42.2667,-71.8,-2.0,55.0,26.82767857142857,1.0,63.0,30.22946428571429,0.0,4.6,1.5994095
2,3,40661,125255,41306,175009,0,9,4.0,-20,13,-5.161290322580645,20.7,100.0,75.99815860215054,0.4,357.0,227.9879032258065,0.0,1.4,0.4846774193548387,-15,13,-1.278225806451613,2017,Massachusetts,Worcester,United States,42.2667,-71.8,-4.0,55.0,22.70967741935484,5.0,55.0,29.699193548387097,0.0,4.6,1.5901490645161291
3,4,59464,140144,46484,205638,0,9,4.0,-4,17,5.458333333333333,32.94,100.0,86.40611111111112,0.5,359.90000000000003,201.4455555555556,0.0,0.9,0.1268055555555555,-3,25,8.454166666666667,2017,Massachusetts,Worcester,United States,42.2667,-71.8,25.0,63.0,41.825,27.0,77.0,47.2175,0.0,3.0,0.4160287388888887
4,5,74681,144208,49648,246599,0,9,5.0,0,21,8.490591397849462,34.97,100.0,84.40413978494624,0.7000000000000001,359.20000000000005,203.8870967741936,0.0,0.8,0.0243279569892473,1,29,11.961021505376344,2017,Massachusetts,Worcester,United States,42.2667,-71.8,32.0,70.0,47.28306451612903,34.0,84.0,53.52983870967742,0.0,2.6,0.0798161344086021
5,6,73279,189959,50393,248894,0,9,3.0,6,24,14.219444444444443,46.66,100.0,84.16972222222222,0.1,359.70000000000005,220.24375,0.0,0.7000000000000001,0.0222222222222222,7,30,17.819444444444443,2017,Massachusetts,Worcester,United States,42.2667,-71.8,43.0,75.0,57.595,45.0,86.0,64.07499999999999,0.0,2.3,0.0729075555555554
6,7,68265,190570,51690,245841,0,9,3.0,9,24,16.513440860215052,40.59,100.0,83.78373655913978,1.0,359.20000000000005,207.57123655913972,0.0,0.7000000000000001,0.027016129032258,12,30,20.23521505376344,2017,Massachusetts,Worcester,United States,42.2667,-71.8,48.0,75.0,61.72419354838709,54.0,86.0,68.42338709677419,0.0,2.3,0.0886355967741933
7,8,66786,178276,48327,217312,0,8,3.0,6,22,14.64516129032258,32.09,100.0,77.79342741935484,0.8,359.40000000000003,222.87217741935484,0.0,0.8,0.0508064516129032,10,30,19.846774193548388,2017,Massachusetts,Worcester,United States,42.2667,-71.8,43.0,72.0,58.36129032258064,50.0,86.0,67.72419354838709,0.0,2.6,0.1666878387096773
8,9,47969,130489,36994,168672,0,9,3.0,1,20,13.2375,27.54,100.0,78.94059722222222,0.2,360.0,191.52597222222224,0.0,0.7000000000000001,0.0440277777777777,6,32,18.15,2017,Massachusetts,Worcester,United States,42.2667,-71.8,34.0,68.0,55.8275,43.0,90.0,64.67,0.0,2.3,0.1444480944444442
9,10,31982,99614,24908,128958,0,9,3.0,-4,21,9.44758064516129,26.74,100.0,79.57502688172043,1.8,357.8,214.79879032258063,0.0,1.0,0.0620967741935483,2,26,14.086021505376344,2017,Massachusetts,Worcester,United States,42.2667,-71.8,25.0,70.0,49.00564516129032,36.0,79.0,57.35483870967742,0.0,3.3,0.203729580645161
10,11,21900,63525,19213,86704,0,9,3.0,-16,15,0.3222222222222222,27.96,100.0,80.21738888888889,2.8000000000000003,359.8,198.02625,0.0,0.8,0.0344444444444444,-6,20,3.806944444444445,2017,Massachusetts,Worcester,United States,42.2667,-71.8,3.0,59.0,32.58,21.0,68.0,38.8525,0.0,2.6,0.1130067111111109
11,12,21306,50589,20718,72770,0,9,4.0,-25,13,-6.211021505376344,41.73,100.0,79.11040322580645,2.5,359.70000000000005,223.96129032258065,0.0,0.9,0.1301075268817204,-21,13,-3.2916666666666665,2017,Massachusetts,Worcester,United States,42.2667,-71.8,-13.0,55.0,20.82016129032258,-6.0,55.0,26.075,0.0,3.0,0.4268619784946235
