,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25598,60923,20021,97144,0,9,4.0,-20.4,13.6,-2.9659946236559143,49.23,100.0,82.28307795698925,2,356,221.6532258064516,0.5,9.4,3.249059139784946,-16.1,14.2,-0.2190860215053763,2019,Maryland,Baltimore,United States,39.2833,-76.6167,-5.0,56.0,26.661209677419357,3.0,58.0,31.60564516129032,1.6,30.8,10.659643188172042
1,2,31771,80309,23541,118994,0,9,4.0,-15.6,13.9,-0.8388392857142858,52.77,100.0,84.40815476190475,2,359,198.6770833333333,0.4,9.2,2.7666666666666666,-11.7,17.5,1.6324404761904765,2019,Maryland,Baltimore,United States,39.2833,-76.6167,4.0,57.0,30.490089285714287,11.0,64.0,34.93839285714286,1.3,30.2,9.076990666666669
2,3,46613,127180,35013,179212,0,9,3.0,-12.6,17.8,1.203225806451613,40.32,100.0,80.31552419354838,1,356,199.80645161290323,0.4,7.5,3.011693548387097,-8.8,20.9,4.544623655913979,2019,Maryland,Baltimore,United States,39.2833,-76.6167,9.0,64.0,34.1658064516129,16.0,70.0,40.18032258064516,1.3,24.6,9.880884661290322
3,4,61260,147812,44680,210121,0,9,4.0,-5.9,20.1,9.851666666666668,38.78,100.0,78.92668055555555,3,358,211.61388888888888,0.4,8.5,3.0091666666666663,-2.3000000000000003,24.3,13.784583333333332,2019,Maryland,Baltimore,United States,39.2833,-76.6167,21.0,68.0,49.733,28.0,76.0,56.81225,1.3,27.9,9.872594366666666
4,5,64885,158028,52353,242784,0,9,4.0,6.4,24.6,15.939516129032258,43.85,100.0,82.72227150537634,4,358,200.6236559139785,0.3,5.5,2.419220430107527,6.5,29.5,19.23561827956989,2019,Maryland,Baltimore,United States,39.2833,-76.6167,44.0,76.0,60.69112903225806,44.0,85.0,66.62411290322581,1.0,18.0,7.937075155913979
5,6,72517,193047,49023,248526,0,9,4.0,6.300000000000001,24.5,18.221666666666668,42.75,100.0,78.81272222222222,6,355,215.74722222222223,0.5,6.5,2.343888888888889,9.3,32.4,22.446666666666665,2019,Maryland,Baltimore,United States,39.2833,-76.6167,43.0,76.0,64.799,49.0,90.0,72.404,1.6,21.3,7.689924422222222
6,7,64644,202183,50883,245906,0,9,2.0,14.2,26.1,20.719623655913978,31.65,100.0,73.19399193548388,2,359,222.34408602150532,0.3,5.0,1.6553763440860216,17.2,35.4,26.464516129032265,2019,Maryland,Baltimore,United States,39.2833,-76.6167,58.0,79.0,69.29532258064516,63.0,96.0,79.63612903225808,1.0,16.4,5.431024924731183
7,8,64723,169856,48587,220638,0,9,3.0,9.9,24.4,18.5244623655914,30.03,100.0,67.25248655913978,2,353,176.75537634408602,0.3,4.2,1.7331989247311828,15.8,35.4,25.84543010752688,2019,Maryland,Baltimore,United States,39.2833,-76.6167,50.0,76.0,65.34403225806452,60.0,96.0,78.5217741935484,1.0,13.8,5.686348360215054
8,9,49185,135592,37213,177381,0,8,2.0,2.3000000000000003,23.200000000000003,15.325,24.51,100.0,63.3375,4,359,178.72222222222223,0.3,4.6000000000000005,2.035,11.6,35.800000000000004,23.695694444444445,2019,Maryland,Baltimore,United States,39.2833,-76.6167,36.0,74.0,59.585,53.0,96.0,74.65225000000001,1.0,15.1,6.6765094000000005
9,10,31444,94072,24647,141284,0,9,3.0,-0.6000000000000001,21.6,10.100672043010752,22.22,100.0,68.23075268817205,2,355,176.52956989247312,0.4,8.700000000000001,2.724462365591398,4.800000000000001,35.300000000000004,16.800537634408602,2019,Maryland,Baltimore,United States,39.2833,-76.6167,31.0,71.0,50.18120967741935,41.0,96.0,62.240967741935485,1.3,28.5,8.938525107526882
10,11,25506,76457,18332,101220,0,9,3.0,-11.0,11.2,0.2425,27.46,100.0,71.21158333333334,1,358,226.25972222222225,0.4,8.1,2.543888888888889,-4.5,17.8,5.553194444444444,2019,Maryland,Baltimore,United States,39.2833,-76.6167,12.0,52.0,32.4365,24.0,64.0,41.99575,1.3,26.6,8.346092422222222
11,12,19576,50071,17171,83576,0,9,4.0,-14.0,15.5,0.3954301075268817,43.13,100.0,84.2552688172043,2,358,209.372311827957,0.4,6.2,2.388709677419355,-8.4,16.5,2.981854838709677,2019,Maryland,Baltimore,United States,39.2833,-76.6167,7.0,60.0,32.711774193548386,17.0,62.0,37.36733870967742,1.3,20.3,7.836974258064516
