,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,26541,62871,20498,98459,0,9,4.0,-19.4,14.1,-2.494489247311828,46.64,100.0,82.72836021505377,2,360,219.6706989247312,0.4,9.9,3.308198924731183,-14.8,14.5,0.2030913978494624,2019,Maryland,Bowie,United States,38.9435,-76.7303,-3.0,57.0,27.509919354838708,5.0,58.0,32.365564516129034,1.3,32.5,10.853671360215056
1,2,30499,76644,23865,119238,0,8,4.0,-14.1,14.4,-0.2647321428571428,51.55,100.0,84.84471726190476,1,356,187.10863095238096,0.3,9.3,2.7754464285714286,-10.0,17.8,2.1630952380952384,2019,Maryland,Bowie,United States,38.9435,-76.7303,7.0,58.0,31.523482142857144,14.0,64.0,35.89357142857143,1.0,30.5,9.105795660714286
2,3,44693,127433,35132,179933,0,9,3.0,-12.2,18.1,1.715994623655914,41.2,100.0,80.6450806451613,3,356,195.80376344086025,0.3,7.7,3.117741935483871,-7.5,21.0,5.032123655913979,2019,Maryland,Bowie,United States,38.9435,-76.7303,10.0,65.0,35.08879032258064,18.0,70.0,41.057822580645166,1.0,25.3,10.228812451612905
3,4,62012,147928,44719,210802,0,9,4.0,-5.300000000000001,20.200000000000003,10.284583333333334,38.87,100.0,79.61602777777777,4,351,204.6708333333333,0.4,8.700000000000001,3.064722222222222,-2.1,24.700000000000003,14.103611111111112,2019,Maryland,Bowie,United States,38.9435,-76.7303,22.0,68.0,50.51225,28.0,76.0,57.3865,1.3,28.5,10.054863255555556
4,5,67397,167877,52713,243288,0,9,3.0,6.6000000000000005,24.9,16.463440860215055,45.08,100.0,83.27754032258065,5,356,199.4489247311828,0.3,5.7,2.4947580645161294,6.6000000000000005,29.8,19.66424731182796,2019,Maryland,Bowie,United States,38.9435,-76.7303,44.0,77.0,61.6341935483871,44.0,86.0,67.39564516129033,1.0,18.7,8.184902048387098
5,6,71970,192516,50037,248603,0,9,4.0,6.800000000000001,24.6,18.48555555555556,43.77,100.0,79.09879166666666,5,359,217.01944444444445,0.3,7.0,2.48625,9.7,32.300000000000004,22.664444444444445,2019,Maryland,Bowie,United States,38.9435,-76.7303,44.0,76.0,65.274,49.0,90.0,72.79599999999999,1.0,23.0,8.15698845
6,7,61953,204808,50713,246660,0,9,2.0,13.5,26.0,20.659274193548388,29.8,100.0,72.36751344086022,1,358,219.91801075268816,0.3,6.300000000000001,1.7493279569892473,17.6,35.7,26.658198924731185,2019,Maryland,Bowie,United States,38.9435,-76.7303,56.0,79.0,69.1866935483871,64.0,96.0,79.98475806451614,1.0,20.7,5.739265134408602
7,8,65073,174363,48680,221615,0,9,3.0,8.8,24.4,18.62137096774193,27.94,100.0,66.66915322580645,1,358,183.364247311828,0.2,4.7,1.841263440860215,16.400000000000002,35.9,26.14502688172044,2019,Maryland,Bowie,United States,38.9435,-76.7303,48.0,76.0,65.51846774193548,62.0,97.0,79.06104838709679,0.7,15.4,6.040890747311828
8,9,47675,141933,38485,178034,0,8,2.0,2.1,23.6,15.783888888888889,24.1,100.0,63.56029166666667,0,359,172.20555555555555,0.1,5.1000000000000005,2.165555555555556,11.9,36.0,24.06972222222222,2019,Maryland,Bowie,United States,38.9435,-76.7303,36.0,74.0,60.411,53.0,97.0,75.3255,0.3,16.7,7.104841288888891
9,10,32073,96698,25213,142499,0,8,3.0,-0.7000000000000001,21.9,10.385887096774194,21.71,100.0,68.09622311827958,5,357,174.8561827956989,0.3,9.4,2.892204301075269,5.2,35.6,17.153225806451612,2019,Maryland,Bowie,United States,38.9435,-76.7303,31.0,71.0,50.69459677419355,41.0,96.0,62.8758064516129,1.0,30.8,9.488859559139788
10,11,25093,76413,18665,102636,0,9,3.0,-11.0,11.7,0.4576388888888889,28.64,100.0,70.58526388888889,4,358,226.55277777777772,0.3,8.4,2.7372222222222224,-4.4,18.1,5.920416666666666,2019,Maryland,Bowie,United States,38.9435,-76.7303,12.0,53.0,32.82375,24.0,65.0,42.65675,1.0,27.6,8.980388155555556
11,12,19890,51677,17348,85039,0,9,4.0,-13.0,16.8,0.8487903225806451,42.91,100.0,84.31905913978494,3,358,208.08467741935485,0.1,6.4,2.473521505376344,-7.300000000000001,17.5,3.459543010752688,2019,Maryland,Bowie,United States,38.9435,-76.7303,9.0,62.0,33.527822580645164,19.0,64.0,38.22717741935484,0.3,21.0,8.115228295698925
