,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24210,59422,18505,95417,0,9,4.0,-12.1,17.7,-1.0955645161290324,42.85,100.0,81.2333870967742,5,357,226.30913978494624,0.3,6.6000000000000005,2.164381720430108,-10.2,18.5,2.004032258064516,2020,Maryland,Frederick,United States,39.4142,-77.4109,10.0,64.0,30.02798387096774,14.0,65.0,35.60725806451613,1.0,21.7,7.100990123655916
1,2,27583,63398,22453,117289,0,9,4.0,-11.8,13.2,0.0931547619047619,35.56,100.0,79.21913690476191,0,359,229.17261904761904,0.4,7.6,2.2129464285714286,-6.4,16.3,3.6886904761904766,2020,Maryland,Frederick,United States,39.4142,-77.4109,11.0,56.0,32.167678571428574,20.0,61.0,38.63964285714286,1.3,24.9,7.260323160714286
2,3,43952,105669,33792,177070,0,9,4.0,-7.800000000000001,19.200000000000003,4.378091397849462,32.13,100.0,78.31393817204301,4,355,200.44086021505376,0.2,5.5,2.151478494623656,-4.0,24.3,8.378091397849463,2020,Maryland,Frederick,United States,39.4142,-77.4109,18.0,67.0,39.88056451612904,25.0,76.0,47.08056451612903,0.7,18.0,7.058656704301075
3,4,58512,135946,43711,214214,0,9,3.0,-7.300000000000001,19.3,5.328333333333333,30.5,100.0,74.60138888888889,4,358,228.29444444444445,0.3,6.7,2.362638888888889,-1.1,23.8,10.15638888888889,2020,Maryland,Frederick,United States,39.4142,-77.4109,19.0,67.0,41.591,30.0,75.0,50.2815,1.0,22.0,7.751440172222223
4,5,70956,167219,48919,250550,0,8,4.0,-6.4,22.9,10.636559139784946,36.92,100.0,76.20045698924731,4,354,206.5201612903226,0.2,5.300000000000001,1.993413978494624,-1.2000000000000002,27.8,15.26478494623656,2020,Maryland,Frederick,United States,39.4142,-77.4109,20.0,73.0,51.145806451612906,30.0,82.0,59.47661290322581,0.7,17.4,6.540072317204302
5,6,71281,195167,47970,249099,0,9,3.0,4.7,24.200000000000003,16.605694444444445,35.4,100.0,71.31343055555556,1,356,200.92638888888888,0.2,3.8,1.563611111111111,7.4,33.0,22.69875,2020,Maryland,Frederick,United States,39.4142,-77.4109,40.0,76.0,61.89025,45.0,91.0,72.85775000000001,0.7,12.5,5.129957877777778
6,7,62582,212237,48531,247539,0,9,2.0,11.2,24.4,18.72459677419355,21.37,100.0,60.52611559139785,4,358,210.7284946236559,0.2,3.9,1.331451612903226,19.5,37.7,28.22822580645161,2020,Maryland,Frederick,United States,39.4142,-77.4109,52.0,76.0,65.7042741935484,67.0,100.0,82.8108064516129,0.7,12.8,4.368279709677419
7,8,64018,167827,46105,219788,0,9,3.0,11.7,24.4,19.008467741935487,32.28,100.0,71.75147849462365,9,351,191.0483870967742,0.2,4.5,1.3970430107526883,16.0,35.0,25.15483870967742,2020,Maryland,Frederick,United States,39.4142,-77.4109,53.0,76.0,66.21524193548387,61.0,95.0,77.27870967741936,0.7,14.8,4.58347459139785
8,9,49341,133801,39274,176286,0,9,3.0,-2.7,25.200000000000003,13.570555555555558,21.38,100.0,71.66055555555555,4,358,177.2513888888889,0.2,3.7,1.4402777777777778,5.1000000000000005,30.4,19.614722222222223,2020,Maryland,Frederick,United States,39.4142,-77.4109,27.0,77.0,56.42700000000001,41.0,87.0,67.3065,0.7,12.1,4.725320944444444
9,10,32714,99452,25354,139727,0,8,2.0,-1.6,18.4,9.321236559139784,28.39,100.0,75.83127688172043,4,357,212.3494623655914,0.2,4.5,1.527284946236559,1.6,27.700000000000003,14.1625,2020,Maryland,Frederick,United States,39.4142,-77.4109,29.0,65.0,48.778225806451616,35.0,82.0,57.4925,0.7,14.8,5.010777543010752
10,11,20314,72441,17876,98982,0,8,2.0,-6.1000000000000005,20.8,5.582361111111111,37.5,100.0,79.49490277777778,1,353,226.11388888888888,0.3,5.6000000000000005,1.825,-2.7,23.200000000000003,9.297777777777778,2020,Maryland,Frederick,United States,39.4142,-77.4109,21.0,69.0,42.04825,27.0,74.0,48.736,1.0,18.4,5.987533
11,12,20429,59100,18136,85260,0,9,4.0,-12.4,14.9,-1.6157258064516131,45.17,100.0,84.56755376344087,3,358,239.0967741935484,0.3,6.6000000000000005,1.933870967741936,-11.2,15.1,0.8560483870967741,2020,Maryland,Frederick,United States,39.4142,-77.4109,10.0,59.0,29.09169354838709,12.0,59.0,33.54088709677419,1.0,21.7,6.3447212258064525
