,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,26371,69750,18622,98059,0,8,3.0,-21.1,17.5,-5.670430107526882,37.34,100.0,74.21051075268818,7,356,225.44489247311827,0.5,7.4,2.8193548387096774,-17.0,19.6,-1.3618279569892473,2018,Maryland,Gaithersburg,United States,39.1319,-77.2264,-6.0,64.0,21.793225806451613,1.0,67.0,29.548709677419357,1.6,24.3,9.249852129032258
1,2,25965,58332,23698,116473,0,9,5.0,-16.1,18.9,1.2995535714285715,36.35,100.0,85.11011904761905,5,357,211.5967261904762,0.4,7.1000000000000005,2.5086309523809525,-10.2,24.1,3.798511904761905,2018,Maryland,Gaithersburg,United States,39.1319,-77.2264,3.0,66.0,34.33919642857143,14.0,75.0,38.83732142857143,1.3,23.3,8.230416773809525
2,3,43502,123813,33305,181283,0,8,3.0,-8.0,16.6,-1.0642473118279572,35.11,100.0,77.1339247311828,4,358,226.46908602150532,0.7000000000000001,10.9,3.147983870967742,-5.4,21.9,2.9814516129032262,2018,Maryland,Gaithersburg,United States,39.1319,-77.2264,18.0,62.0,30.08435483870968,22.0,71.0,37.36661290322581,2.3,35.8,10.328031403225806
3,4,54926,138562,46449,213942,0,9,3.0,-7.7,17.3,4.668611111111111,33.46,100.0,74.28397222222222,1,354,213.15972222222223,0.4,8.1,2.743055555555556,-2.6,26.200000000000003,9.539444444444444,2018,Maryland,Gaithersburg,United States,39.1319,-77.2264,18.0,63.0,40.4035,27.0,79.0,49.171,1.3,26.6,8.99952638888889
4,5,64146,157455,52912,242011,0,9,4.0,5.1000000000000005,23.9,16.966397849462364,35.81,100.0,84.41440860215053,4,355,179.31989247311827,0.4,6.0,1.8665322580645165,5.4,29.3,20.03198924731183,2018,Maryland,Gaithersburg,United States,39.1319,-77.2264,41.0,75.0,62.53951612903226,42.0,85.0,68.0575806451613,1.3,19.7,6.1237936935483885
5,6,71466,164956,53761,245718,0,9,4.0,10.8,26.1,18.782222222222224,49.35,100.0,83.6612638888889,3,359,190.7861111111111,0.3,5.2,1.769861111111111,10.9,31.3,21.96138888888889,2018,Maryland,Gaithersburg,United States,39.1319,-77.2264,51.0,79.0,65.808,52.0,88.0,71.5305,1.0,17.1,5.806631127777778
6,7,65432,191328,49146,248851,0,9,3.0,10.6,26.200000000000003,19.73024193548387,35.69,100.0,78.47293010752688,3,357,185.69086021505376,0.2,5.4,1.6791666666666667,13.4,33.5,24.250537634408605,2018,Maryland,Gaithersburg,United States,39.1319,-77.2264,51.0,79.0,67.51443548387097,56.0,92.0,75.65096774193549,0.7,17.7,5.509077166666667
7,8,65314,175223,52165,217728,0,9,3.0,13.0,25.5,21.2244623655914,49.23,100.0,84.76795698924731,5,356,220.4784946236559,0.3,3.7,1.5188172043010753,14.0,32.300000000000004,24.20645161290323,2018,Maryland,Gaithersburg,United States,39.1319,-77.2264,55.0,78.0,70.20403225806453,57.0,90.0,75.57161290322581,1.0,12.1,4.982996236559139
8,9,45404,96060,36997,173971,0,9,4.0,11.6,24.0,19.73555555555556,56.25,100.0,88.82165277777779,1,356,142.10694444444445,0.3,4.9,1.9070833333333328,11.6,32.4,21.857222222222223,2018,Maryland,Gaithersburg,United States,39.1319,-77.2264,53.0,75.0,67.524,53.0,90.0,71.343,1.0,16.1,6.256835283333333
9,10,36978,101625,24214,142391,0,9,3.0,-0.9,24.1,11.055913978494624,47.64,100.0,84.44474462365591,7,358,230.49059139784947,0.3,5.800000000000001,2.045161290322581,-0.7000000000000001,29.0,13.880913978494624,2018,Maryland,Gaithersburg,United States,39.1319,-77.2264,30.0,75.0,51.90064516129033,31.0,84.0,56.98564516129032,1.0,19.0,6.709846967741936
10,11,24565,59513,19139,100283,0,9,4.0,-11.2,18.5,2.1422222222222222,45.12,100.0,85.66406944444444,3,359,215.0375,0.5,6.4,2.280277777777778,-5.5,21.3,4.518472222222223,2018,Maryland,Gaithersburg,United States,39.1319,-77.2264,12.0,65.0,35.856,22.0,70.0,40.13325,1.6,21.0,7.481226544444445
11,12,20578,52139,17430,84607,0,8,4.0,-15.0,14.3,0.5530913978494624,54.71,100.0,88.05905913978495,2,357,219.07930107526883,0.4,5.7,1.9868279569892475,-11.1,16.8,2.448252688172043,2018,Maryland,Gaithersburg,United States,39.1319,-77.2264,5.0,58.0,32.99556451612903,12.0,62.0,36.40685483870968,1.3,18.7,6.518464634408603
