,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,27228,54603,22317,93714,0,9,5.0,-16,11,-0.9986559139784946,39.85,100.0,82.58422043010754,0.2,360.0,210.1518817204301,0.5,11.0,3.130510752688172,-11,15,1.7661290322580645,2017,Maryland,Rockville,United States,39.0836,-77.1483,3.0,52.0,30.20241935483871,12.0,59.0,35.17903225806452,1.6,36.1,10.270704897849464
1,2,35043,84551,24965,116523,0,9,4.0,-11,15,1.2976190476190477,37.49,100.0,78.99197916666667,0.2,359.5,236.83988095238087,0.6000000000000001,10.4,3.213244047619048,-6,22,4.888392857142857,2017,Maryland,Rockville,United States,39.0836,-77.1483,12.0,59.0,34.33571428571429,21.0,72.0,40.79910714285714,2.0,34.1,10.542139601190478
2,3,49493,134876,42304,177659,0,9,4.0,-14,16,0.3198924731182795,29.0,100.0,75.0950940860215,0.0,359.70000000000005,213.7690860215054,0.4,8.6,3.598790322580645,-8,22,4.67741935483871,2017,Maryland,Rockville,United States,39.0836,-77.1483,7.0,61.0,32.575806451612905,18.0,72.0,40.41935483870968,1.3,28.2,11.807055241935483
3,4,60860,150848,46429,208695,0,9,4.0,-2,21,10.094444444444443,36.6,100.0,80.81493055555555,0.2,359.90000000000003,189.37902777777776,0.5,7.7,2.941666666666667,0,30,14.091666666666669,2017,Maryland,Rockville,United States,39.0836,-77.1483,28.0,70.0,50.17,32.0,86.0,57.36500000000001,1.6,25.3,9.651137666666669
4,5,72158,158629,53757,246200,0,9,4.0,-2,23,12.005376344086022,34.39,100.0,81.66670698924732,4.5,358.70000000000005,197.3028225806452,0.1,6.4,2.9278225806451617,3,30,15.91263440860215,2017,Maryland,Rockville,United States,39.0836,-77.1483,28.0,73.0,53.60967741935484,37.0,86.0,60.64274193548387,0.3,21.0,9.605717435483871
5,6,74121,211687,51706,248212,0,9,3.0,6,23,15.747222222222222,27.37,100.0,69.97477777777779,6.4,357.3,222.35569444444445,0.1,6.1000000000000005,2.4844444444444447,10,34,22.64027777777778,2017,Maryland,Rockville,United States,39.0836,-77.1483,43.0,73.0,60.345,50.0,93.0,72.7525,0.3,20.0,8.151064711111111
6,7,80631,194221,55964,244136,0,9,4.0,12,24,19.001344086021504,33.36,100.0,72.61345430107528,0.4,359.90000000000003,209.96895161290325,0.2,5.5,2.0163978494623658,14,36,25.306451612903224,2017,Maryland,Rockville,United States,39.0836,-77.1483,54.0,75.0,66.20241935483871,57.0,97.0,77.5516129032258,0.7,18.0,6.615478720430108
7,8,70015,172255,49276,220317,0,9,4.0,11,25,17.451612903225808,41.19,100.0,78.12733870967742,0.1,359.0,192.8475806451613,0.2,5.9,1.9043010752688168,13,32,22.27822580645161,2017,Maryland,Rockville,United States,39.0836,-77.1483,52.0,77.0,63.41290322580646,55.0,90.0,72.1008064516129,0.7,19.4,6.247707139784946
8,9,54722,137893,38474,177051,0,8,2.0,4,20,13.941666666666666,29.71,100.0,73.02379166666667,0.0,359.6,168.5288888888889,0.3,5.7,2.2259722222222225,9,32,19.8875,2017,Maryland,Rockville,United States,39.0836,-77.1483,39.0,68.0,57.095,48.0,90.0,67.7975,1.0,18.7,7.303058705555556
9,10,33845,111589,26277,140505,0,8,2.0,-2,23,10.07258064516129,26.58,100.0,74.53155913978495,0.1,359.90000000000003,188.6423387096774,0.2,8.3,2.5266129032258067,3,29,15.603494623655914,2017,Maryland,Rockville,United States,39.0836,-77.1483,28.0,73.0,50.13064516129032,37.0,84.0,60.086290322580645,0.7,27.2,8.289412677419355
10,11,28342,75344,22001,98205,0,9,3.0,-11,16,2.656944444444445,33.86,100.0,81.267875,0.7000000000000001,359.40000000000003,197.02472222222224,0.2,8.0,2.65375,-6,23,6.005555555555556,2017,Maryland,Rockville,United States,39.0836,-77.1483,12.0,61.0,36.7825,21.0,73.0,42.81,0.7,26.2,8.70652915
11,12,23656,58872,20994,83971,0,9,4.0,-16,13,-3.131720430107527,34.68,100.0,75.15219086021506,0.6000000000000001,357.8,224.33911290322584,0.2,7.6,2.674596774193549,-10,15,0.8198924731182796,2017,Maryland,Rockville,United States,39.0836,-77.1483,3.0,55.0,26.36290322580645,14.0,59.0,33.475806451612904,0.7,24.9,8.774924080645164
