,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21994,57278,17199,79452,0,8,5.0,-29.1,7.7,-10.075806451612904,48.3,100.0,84.5665053763441,2,359,227.3413978494624,0.2,1.9,0.8143817204301077,-27.200000000000003,7.7,-7.859811827956989,2018,Maine,Auburn,United States,44.0938,-70.2311,-20.0,46.0,13.863548387096774,-17.0,46.0,17.85233870967742,0.7,6.2,2.6718561236559144
1,2,29819,73638,23044,104440,0,9,4.0,-22.5,14.1,-4.559077380952381,45.43,100.0,87.5097619047619,5,354,220.8645833333333,0.2,2.2,0.8697916666666666,-18.2,14.8,-2.6729166666666666,2018,Maine,Auburn,United States,44.0938,-70.2311,-8.0,57.0,23.793660714285718,-1.0,59.0,27.18875,0.7,7.2,2.8536472916666664
2,3,46071,132704,30439,172610,0,9,4.0,-20.0,7.800000000000001,-3.2778225806451617,40.66,100.0,83.1359811827957,2,360,177.2298387096774,0.2,2.5,1.155645161290323,-16.900000000000002,12.9,-0.571505376344086,2018,Maine,Auburn,United States,44.0938,-70.2311,-4.0,46.0,26.099919354838708,2.0,55.0,30.971290322580646,0.7,8.2,3.791486870967743
3,4,56209,131022,41164,209265,0,9,4.0,-12.1,11.7,0.4822222222222223,26.06,100.0,78.98254166666666,3,359,212.44722222222225,0.1,1.6,0.5994444444444444,-5.300000000000001,18.6,4.249583333333334,2018,Maine,Auburn,United States,44.0938,-70.2311,10.0,53.0,32.868,22.0,65.0,39.64925,0.3,5.2,1.966681311111111
4,5,60993,185133,42448,249444,0,8,3.0,-1.7000000000000002,18.6,9.473521505376343,30.15,100.0,78.08189516129032,9,354,190.6008064516129,0.1,1.1,0.3887096774193548,2.8000000000000003,24.9,13.81008064516129,2018,Maine,Auburn,United States,44.0938,-70.2311,29.0,65.0,49.05233870967741,37.0,77.0,56.85814516129032,0.3,3.6,1.275294258064516
5,6,62751,180418,39733,255726,0,8,3.0,4.7,23.5,12.989166666666668,39.09,100.0,79.46805555555555,2,358,201.0833333333333,0.0,0.8,0.3597222222222222,7.0,28.3,17.07402777777778,2018,Maine,Auburn,United States,44.0938,-70.2311,40.0,74.0,55.3805,45.0,83.0,62.73325,0.0,2.6,1.1801910555555557
6,7,59542,196759,42501,249750,0,9,2.0,8.700000000000001,25.0,17.62674731182796,35.7,100.0,80.08576612903225,4,357,193.79032258064515,0.0,1.0,0.3600806451612903,11.4,35.6,21.726209677419355,2018,Maine,Auburn,United States,44.0938,-70.2311,48.0,77.0,63.72814516129033,53.0,96.0,71.10717741935484,0.0,3.3,1.1813669838709675
7,8,55925,160300,40568,215947,0,9,3.0,9.4,24.1,18.10806451612904,41.35,100.0,80.96766129032258,4,354,186.9879032258065,0.1,0.9,0.3479838709677419,12.6,31.6,22.0244623655914,2018,Maine,Auburn,United States,44.0938,-70.2311,49.0,75.0,64.59451612903226,55.0,89.0,71.64403225806453,0.3,3.0,1.1416794032258064
8,9,44910,124505,27672,169407,0,9,3.0,-5.0,23.3,13.058611111111112,29.04,100.0,78.37931944444445,0,359,173.6027777777778,0.0,1.0,0.3995833333333333,5.6000000000000005,31.5,17.41763888888889,2018,Maine,Auburn,United States,44.0938,-70.2311,23.0,74.0,55.5055,42.0,89.0,63.35175000000001,0.0,3.3,1.3109689833333331
9,10,26761,73842,21622,125383,0,8,3.0,-9.3,21.200000000000003,4.270026881720431,32.9,100.0,80.05349462365592,2,358,203.69758064516128,0.1,1.2000000000000002,0.4920698924731183,-2.1,27.6,7.869623655913978,2018,Maine,Auburn,United States,44.0938,-70.2311,15.0,70.0,39.686048387096776,28.0,82.0,46.16532258064516,0.3,3.9,1.6144025860215054
10,11,19394,49627,17345,82587,0,9,4.0,-19.1,12.5,-2.343472222222222,46.13,100.0,86.87180555555555,2,359,216.2083333333333,0.0,1.2000000000000002,0.4747222222222222,-16.400000000000002,13.5,-0.2773611111111111,2018,Maine,Auburn,United States,44.0938,-70.2311,-2.0,54.0,27.78175,2.0,56.0,31.50075,0.0,3.9,1.5574876555555557
11,12,16072,54500,14150,68061,0,9,3.0,-25.9,9.7,-6.983064516129032,42.6,100.0,83.41318548387098,1,357,235.3185483870968,0.0,1.1,0.4702956989247312,-24.0,9.7,-4.4625,2018,Maine,Auburn,United States,44.0938,-70.2311,-15.0,49.0,19.43048387096774,-11.0,49.0,23.9675,0.0,3.6,1.542964940860215
