,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,19632,52573,17040,76518,0,8,5.0,-30.8,10.1,-10.52513440860215,47.46,100.0,83.83528225806451,3,359,218.8494623655914,0.1,1.3,0.2973118279569893,-28.5,10.1,-8.190456989247311,2018,Maine,Bangor,United States,44.8036,-68.7703,-23.0,50.0,13.054758064516127,-19.0,50.0,17.25717741935484,0.3,4.3,0.9754325376344088
1,2,28542,66114,22790,102322,0,9,5.0,-23.8,7.1000000000000005,-5.193303571428571,43.06,100.0,87.25627976190476,1,354,214.63541666666663,0.1,1.1,0.3778273809523809,-19.1,9.7,-3.2566964285714284,2018,Maine,Bangor,United States,44.8036,-68.7703,-11.0,45.0,22.65205357142857,-2.0,49.0,26.13794642857143,0.3,3.6,1.2395911845238092
2,3,43948,122984,30332,170217,0,9,4.0,-18.4,7.7,-3.193010752688172,35.92,100.0,83.82854838709677,2,357,161.02822580645162,0.1,0.9,0.4641129032258064,-15.4,11.8,-0.578494623655914,2018,Maine,Bangor,United States,44.8036,-68.7703,-1.0,46.0,26.25258064516129,4.0,53.0,30.958709677419357,0.3,3.0,1.5226801774193546
3,4,57931,141635,41982,209449,0,9,4.0,-11.9,12.1,0.3531944444444445,30.27,100.0,79.18323611111111,1,359,217.71527777777777,0.0,0.8,0.2234722222222222,-5.7,18.6,4.097083333333334,2018,Maine,Bangor,United States,44.8036,-68.7703,11.0,54.0,32.63575,22.0,65.0,39.37475,0.0,2.6,0.7331766055555555
4,5,60508,193729,42880,249320,0,8,3.0,-3.0,19.5,8.55228494623656,33.03,100.0,79.15258064516128,3,359,197.95430107526883,0.0,1.0,0.1666666666666666,-0.2,25.200000000000003,12.681048387096777,2018,Maine,Bangor,United States,44.8036,-68.7703,27.0,67.0,47.3941129032258,32.0,77.0,54.8258870967742,0.0,3.3,0.5468066666666664
5,6,59450,186369,39790,255895,0,9,3.0,3.2,22.4,12.044444444444444,40.25,100.0,80.43083333333333,1,357,204.11666666666667,0.0,0.8,0.1481944444444444,5.9,28.9,15.910972222222222,2018,Maine,Bangor,United States,44.8036,-68.7703,38.0,72.0,53.68,43.0,84.0,60.63975,0.0,2.6,0.486202261111111
6,7,61075,200268,42922,249020,0,8,2.0,8.8,24.9,17.411155913978494,44.21,100.0,82.46174731182796,4,358,205.3010752688172,0.0,0.9,0.1545698924731182,10.6,30.700000000000003,20.89731182795699,2018,Maine,Bangor,United States,44.8036,-68.7703,48.0,77.0,63.340080645161294,51.0,87.0,69.61516129032259,0.0,3.0,0.5071190860215051
7,8,58908,160620,41431,214577,0,9,3.0,9.8,24.1,17.603360215053762,45.53,100.0,83.18177419354838,2,358,187.6518817204301,0.0,0.8,0.1450268817204301,11.6,30.9,20.980913978494627,2018,Maine,Bangor,United States,44.8036,-68.7703,50.0,75.0,63.686048387096776,53.0,88.0,69.76564516129034,0.0,2.6,0.4758099946236558
8,9,41907,128206,27228,168222,0,9,3.0,-5.7,22.6,12.154861111111112,25.66,100.0,78.76658333333333,2,358,172.13194444444446,0.0,1.0,0.2158333333333333,3.7,30.5,16.404166666666665,2018,Maine,Bangor,United States,44.8036,-68.7703,22.0,73.0,53.87875,39.0,87.0,61.5275,0.0,3.3,0.7081146333333332
9,10,28344,65889,20625,123395,0,9,3.0,-8.9,19.700000000000003,3.5245967741935487,32.86,100.0,81.1865188172043,4,358,197.7768817204301,0.0,0.9,0.202016129032258,-2.9000000000000004,24.8,6.908198924731183,2018,Maine,Bangor,United States,44.8036,-68.7703,16.0,67.0,38.34427419354839,27.0,77.0,44.43475806451613,0.0,3.0,0.6627825967741933
10,11,18440,47593,16716,80151,0,9,4.0,-18.4,14.9,-2.589166666666667,36.75,100.0,86.39488888888889,3,357,200.4597222222222,0.0,1.0,0.2327777777777777,-15.0,14.9,-0.4377777777777777,2018,Maine,Bangor,United States,44.8036,-68.7703,-1.0,59.0,27.3395,5.0,59.0,31.212,0.0,3.3,0.7637066444444441
11,12,16569,48726,13932,65154,0,9,4.0,-25.1,11.3,-7.981182795698925,42.41,100.0,85.32966397849462,2,356,240.56989247311827,0.0,1.2000000000000002,0.2541666666666667,-23.1,11.3,-5.792204301075269,2018,Maine,Bangor,United States,44.8036,-68.7703,-13.0,52.0,17.633870967741935,-10.0,52.0,21.57403225806452,0.0,3.9,0.8338801666666668
