,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23402,55999,20400,78763,0,9,4.0,-23,8,-5.678763440860215,35.61,100.0,85.74985215053763,1.6,358.40000000000003,217.4604838709677,0.1,2.0,0.8247311827956989,-21,8,-3.85752688172043,2017,Maine,Lewiston,United States,44.0975,-70.1925,-9.0,46.0,21.77822580645161,-6.0,46.0,25.056451612903224,0.3,6.6,2.705811053763441
1,2,30329,71365,28690,104926,0,9,5.0,-23,8,-5.901785714285714,54.58,100.0,86.86694940476191,0.3,360.0,219.9497023809524,0.1,3.0,1.0492559523809524,-19,8,-4.261904761904762,2017,Maine,Lewiston,United States,44.0975,-70.1925,-9.0,46.0,21.376785714285717,-2.0,46.0,24.32857142857143,0.3,9.8,3.442440898809524
2,3,43310,122539,39353,173580,0,8,4.0,-23,9,-6.595430107526882,29.1,100.0,76.67350806451613,1.0,359.8,230.46975806451613,0.1,3.1,1.10497311827957,-17,9,-3.044354838709677,2017,Maine,Lewiston,United States,44.0975,-70.1925,-9.0,48.0,20.12822580645161,1.0,48.0,26.52016129032258,0.3,10.2,3.625240005376344
3,4,58928,130343,47711,205717,0,9,4.0,-4,18,3.9791666666666665,37.6,100.0,87.67777777777778,3.3000000000000003,358.8,186.0183333333333,0.1,1.3,0.5622222222222223,-3,23,6.555555555555555,2017,Maine,Lewiston,United States,44.0975,-70.1925,25.0,64.0,39.1625,27.0,73.0,43.8,0.3,4.3,1.844561155555556
4,5,71069,146942,47296,246987,0,9,5.0,-1,21,7.529569892473118,30.81,100.0,86.48131720430108,1.0,359.90000000000003,184.7936827956989,0.0,0.9,0.4067204301075269,1,27,10.580645161290322,2017,Maine,Lewiston,United States,44.0975,-70.1925,30.0,70.0,45.553225806451614,34.0,81.0,51.04516129032258,0.0,3.0,1.3343846559139785
5,6,77899,178158,49089,249727,0,9,4.0,6,24,13.5375,42.89,100.0,85.84333333333333,1.5,356.0,210.30277777777772,0.0,0.8,0.3769444444444444,7,29,16.752777777777776,2017,Maine,Lewiston,United States,44.0975,-70.1925,43.0,75.0,56.3675,45.0,84.0,62.155,0.0,2.6,1.2366944111111111
6,7,70131,200295,46629,247744,0,8,3.0,8,22,15.80510752688172,44.51,100.0,85.07631720430108,0.6000000000000001,358.90000000000003,192.4032258064516,0.0,1.0,0.3595430107526882,11,28,19.190860215053764,2017,Maine,Lewiston,United States,44.0975,-70.1925,46.0,72.0,60.4491935483871,52.0,82.0,66.54354838709678,0.0,3.3,1.1796030913978497
7,8,64111,179760,46105,215946,0,9,3.0,7,21,14.297043010752688,36.72,100.0,80.96905913978495,0.2,359.0,208.51075268817203,0.1,1.0,0.3850806451612903,10,29,18.68010752688172,2017,Maine,Lewiston,United States,44.0975,-70.1925,45.0,70.0,57.73467741935484,50.0,84.0,65.6241935483871,0.3,3.3,1.2633879838709676
8,9,46685,130667,39121,162458,0,9,3.0,1,21,13.08611111111111,37.22,100.0,81.60005555555556,0.6000000000000001,359.90000000000003,197.20694444444445,0.0,1.1,0.3870833333333333,6,31,17.23611111111111,2017,Maine,Lewiston,United States,44.0975,-70.1925,34.0,70.0,55.555,43.0,88.0,63.025,0.0,3.6,1.269958483333333
9,10,28099,95858,24525,122108,0,9,3.0,-3,20,8.969086021505376,33.63,100.0,83.2147446236559,0.1,359.40000000000003,201.21666666666667,0.0,1.5,0.4731182795698925,2,24,12.702956989247312,2017,Maine,Lewiston,United States,44.0975,-70.1925,27.0,68.0,48.14435483870968,36.0,75.0,54.86532258064516,0.0,4.9,1.552225376344086
10,11,21894,55207,18826,79643,0,9,4.0,-14,15,-1.0652777777777778,36.3,100.0,80.82691666666666,0.0,359.0,203.58263888888888,0.0,1.1,0.5148611111111112,-6,18,2.1319444444444446,2017,Maine,Lewiston,United States,44.0975,-70.1925,7.0,59.0,30.0825,21.0,64.0,35.8375,0.0,3.6,1.6891769277777782
11,12,19642,48645,19683,66222,0,9,5.0,-30,9,-8.655913978494624,52.94,100.0,83.04485215053764,0.2,359.1,233.56922043010752,0.1,1.2000000000000002,0.5202956989247313,-28,9,-6.540322580645161,2017,Maine,Lewiston,United States,44.0975,-70.1925,-22.0,48.0,16.419354838709676,-18.0,48.0,20.22741935483871,0.3,3.9,1.707006940860215
