,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21049,54687,18374,80577,0,9,4.0,-15.3,11.8,-3.538306451612903,43.63,100.0,85.98961021505377,1,359,238.16801075268816,0.3,6.4,3.102822580645161,-14.6,12.3,-1.4115591397849463,2020,Maine,Portland,United States,43.6592,-70.2565,4.0,53.0,25.631048387096776,6.0,54.0,29.4591935483871,1.0,21.0,10.17986443548387
1,2,26312,70645,24509,106914,0,9,4.0,-19.0,5.1000000000000005,-3.853422619047619,53.5,100.0,85.31674107142857,1,356,225.6145833333333,0.4,7.7,3.1312500000000005,-17.5,7.6,-1.6282738095238096,2020,Maine,Portland,United States,43.6592,-70.2565,-2.0,41.0,25.063839285714288,0.0,46.0,29.069107142857145,1.3,25.3,10.27313025
2,3,34749,120751,28717,169281,0,9,3.0,-13.2,12.3,-0.7458333333333333,31.26,100.0,79.58840053763441,1,358,186.9220430107527,0.4,6.800000000000001,3.1126344086021507,-8.4,13.0,2.696774193548387,2020,Maine,Portland,United States,43.6592,-70.2565,8.0,54.0,30.6575,17.0,55.0,36.85419354838709,1.3,22.3,10.21205547311828
3,4,53420,129817,38215,210903,0,9,4.0,-7.800000000000001,12.0,1.645277777777778,37.41,100.0,79.50683333333333,3,358,190.2875,0.6000000000000001,7.7,2.892361111111111,-0.4,12.9,5.2001388888888895,2020,Maine,Portland,United States,43.6592,-70.2565,18.0,54.0,34.9615,31.0,55.0,41.36025,2.0,25.3,9.489374027777778
4,5,58259,211248,40511,252961,0,8,2.0,-5.0,19.200000000000003,7.253225806451613,44.08,100.0,78.13458333333332,4,355,217.95430107526883,0.4,6.1000000000000005,2.231048387096774,1.4,23.0,11.253225806451612,2020,Maine,Portland,United States,43.6592,-70.2565,23.0,67.0,45.0558064516129,35.0,73.0,52.2558064516129,1.3,20.0,7.319712790322581
5,6,64327,180677,42817,251595,0,9,2.0,2.5,21.1,14.539861111111112,47.19,100.0,82.68054166666667,1,353,191.12222222222223,0.3,4.2,1.5911111111111114,6.0,27.9,17.785416666666666,2020,Maine,Portland,United States,43.6592,-70.2565,36.0,70.0,58.17175,43.0,82.0,64.01375,1.0,13.8,5.220180977777779
6,7,66328,185922,43218,246817,0,8,2.0,12.7,23.4,18.77903225806452,53.93,100.0,84.83725806451612,11,356,183.4233870967742,0.2,3.6,1.618010752688172,14.8,29.200000000000003,21.64502688172043,2020,Maine,Portland,United States,43.6592,-70.2565,55.0,74.0,65.80225806451614,59.0,85.0,70.96104838709678,0.7,11.8,5.308434397849462
7,8,57149,171744,37795,218277,0,9,2.0,6.800000000000001,23.1,16.67956989247312,40.26,100.0,77.40900537634408,2,359,196.09543010752688,0.1,6.5,1.8870967741935485,12.3,28.9,21.157258064516128,2020,Maine,Portland,United States,43.6592,-70.2565,44.0,74.0,62.02322580645161,54.0,84.0,70.08306451612904,0.3,21.3,6.191262580645161
8,9,44796,136510,33704,167228,0,8,2.0,-1.1,20.9,12.0075,31.6,100.0,75.23515277777777,2,358,177.99444444444444,0.3,5.7,2.17625,6.6000000000000005,26.3,16.909027777777776,2020,Maine,Portland,United States,43.6592,-70.2565,30.0,70.0,53.6135,44.0,79.0,62.43625,1.0,18.7,7.13992805
9,10,29682,79150,23668,124849,0,8,3.0,-5.9,15.5,7.152688172043011,37.86,100.0,80.33201612903227,1,359,193.33736559139783,0.1,5.9,2.400940860215054,-1.6,21.4,10.694489247311829,2020,Maine,Portland,United States,43.6592,-70.2565,21.0,60.0,44.87483870967742,29.0,71.0,51.25008064516129,0.3,19.4,7.8771028118279585
10,11,19279,50938,16339,81797,0,9,3.0,-9.3,16.0,3.7929166666666654,48.620000000000005,100.0,82.90533333333335,5,355,232.2111111111111,0.5,7.4,2.806805555555556,-3.4000000000000004,18.1,6.659583333333334,2020,Maine,Portland,United States,43.6592,-70.2565,15.0,61.0,38.82725,26.0,65.0,43.98725,1.6,24.3,9.20867993888889
11,12,17657,42506,15600,68085,0,9,4.0,-13.4,13.1,-1.452016129032258,52.71,100.0,84.71391129032259,1,360,224.3494623655914,0.6000000000000001,7.5,3.3263440860215057,-10.1,13.4,0.9153225806451613,2020,Maine,Portland,United States,43.6592,-70.2565,8.0,56.0,29.386370967741936,14.0,56.0,33.64758064516129,2.0,24.6,10.913202731182796
