,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23925,52330,17744,81204,0,9,5.0,-20.0,9.2,-6.386559139784946,53.32,100.0,87.72279569892473,1,359,231.1706989247312,0.7000000000000001,7.800000000000001,3.69247311827957,-20.0,9.2,-4.565188172043011,2018,Maine,South Portland,United States,43.6317,-70.2728,-4.0,49.0,20.504193548387097,-4.0,49.0,23.78266129032258,2.3,25.6,12.114413505376344
1,2,31425,70367,22550,105363,0,9,4.0,-16.1,13.4,-2.395982142857143,39.71,100.0,86.07133928571429,8,354,230.0967261904762,0.3,6.0,3.0282738095238093,-14.5,13.9,-0.2569940476190476,2018,Maine,South Portland,United States,43.6317,-70.2728,3.0,56.0,27.68723214285714,6.0,57.0,31.537410714285716,1.0,19.7,9.935281845238094
2,3,48670,123447,30243,173145,0,9,4.0,-14.4,7.7,-1.9525537634408603,46.94,100.0,82.90935483870967,2,359,177.19489247311827,0.5,7.800000000000001,3.689516129032258,-12.3,11.7,0.7610215053763442,2018,Maine,South Portland,United States,43.6317,-70.2728,6.0,46.0,28.48540322580645,10.0,53.0,33.36983870967742,1.6,25.6,12.104712096774191
3,4,49095,128585,41143,207505,0,8,3.0,-9.7,9.7,1.31875,35.52,100.0,80.11969444444445,3,359,206.7625,0.3,6.300000000000001,2.5193055555555555,-3.4000000000000004,14.9,4.725138888888889,2018,Maine,South Portland,United States,43.6317,-70.2728,15.0,49.0,34.37375,26.0,59.0,40.50525,1.0,20.7,8.26543843888889
4,5,64160,181259,43125,248180,0,9,4.0,1.3,17.2,9.861290322580643,40.89,100.0,81.90012096774194,3,356,183.04301075268816,0.3,5.1000000000000005,1.7673387096774196,5.1000000000000005,23.1,13.163978494623656,2018,Maine,South Portland,United States,43.6317,-70.2728,34.0,63.0,49.75032258064516,41.0,74.0,55.69516129032258,1.0,16.7,5.798355532258065
5,6,62821,178551,40737,254165,0,9,3.0,6.1000000000000005,21.4,13.262083333333337,45.5,100.0,82.64054166666666,1,355,191.075,0.2,4.1000000000000005,1.7631944444444445,8.1,25.1,16.473333333333336,2018,Maine,South Portland,United States,43.6317,-70.2728,43.0,71.0,55.871750000000006,47.0,77.0,61.652,0.7,13.5,5.784758861111111
6,7,60370,194856,43587,248601,0,9,2.0,10.0,23.700000000000003,17.90416666666667,49.53,100.0,84.24586021505377,3,358,190.6048387096774,0.2,3.5,1.5391129032258066,13.0,29.4,20.91733870967742,2018,Maine,South Portland,United States,43.6317,-70.2728,50.0,75.0,64.2275,55.0,85.0,69.65120967741936,0.7,11.5,5.049583177419356
7,8,55828,163126,41575,215232,0,9,3.0,11.0,23.200000000000003,18.70013440860215,50.13,100.0,84.23971774193548,7,354,179.73655913978496,0.3,3.0,1.616397849462366,15.0,29.1,21.73024193548387,2018,Maine,South Portland,United States,43.6317,-70.2728,52.0,74.0,65.66024193548387,59.0,84.0,71.11443548387098,1.0,9.8,5.303142720430109
8,9,48125,118869,28580,169406,0,9,4.0,-0.4,22.700000000000003,14.11138888888889,38.62,100.0,81.02768055555556,2,357,164.10972222222222,0.2,5.2,1.8913888888888888,8.9,28.6,17.71902777777778,2018,Maine,South Portland,United States,43.6317,-70.2728,31.0,73.0,57.4005,48.0,83.0,63.89425,0.7,17.1,6.2053443222222215
9,10,25996,71505,22025,126344,0,9,3.0,-6.1000000000000005,19.8,6.139247311827957,40.09,100.0,80.62665322580645,3,357,216.30376344086025,0.2,7.9,2.7419354838709675,0.2,24.6,9.545564516129032,2018,Maine,South Portland,United States,43.6317,-70.2728,21.0,68.0,43.05064516129032,32.0,76.0,49.182016129032256,0.7,25.9,8.995851612903225
10,11,20470,47024,17884,83801,0,9,4.0,-13.0,13.4,0.3147222222222222,42.63,100.0,85.96095833333334,1,360,222.22222222222223,0.3,6.5,3.2175,-12.1,13.4,2.5597222222222222,2018,Maine,South Portland,United States,43.6317,-70.2728,9.0,56.0,32.5665,10.0,56.0,36.6075,1.0,21.3,10.5561027
11,12,16542,52432,13708,68718,0,9,4.0,-18.0,10.8,-3.9333333333333336,48.13,100.0,81.8343682795699,1,359,235.9811827956989,0.3,5.800000000000001,2.8946236559139784,-18.0,10.8,-1.101209677419355,2018,Maine,South Portland,United States,43.6317,-70.2728,-0.0,51.0,24.92,-0.0,51.0,30.01782258064516,1.0,19.0,9.496797075268816
