,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,20662,53711,18641,86663,0,9,5.0,-23.3,8.9,-8.163575268817205,47.72,100.0,80.34474462365591,3,357,218.7688172043011,0.6000000000000001,9.7,4.67741935483871,-21.5,9.1,-5.211290322580646,2019,Michigan,Detroit,United States,42.3329,-83.0478,-10.0,48.0,17.30556451612903,-7.0,48.0,22.61967741935484,2.0,31.8,15.345864516129032
1,2,27742,62473,23483,110585,0,9,5.0,-22.6,10.4,-6.385416666666667,46.32,100.0,79.93587797619048,2,357,194.7767857142857,0.4,13.5,4.665178571428571,-18.4,10.4,-3.2721726190476192,2019,Michigan,Detroit,United States,42.3329,-83.0478,-9.0,51.0,20.50625,-1.0,51.0,26.110089285714285,1.3,44.3,15.305704464285713
2,3,42704,113446,32428,174322,0,9,4.0,-16.7,14.7,-4.129973118279571,35.27,100.0,75.03998655913979,6,357,219.9583333333333,0.4,11.6,3.8858870967741934,-14.0,16.0,0.0740591397849462,2019,Michigan,Detroit,United States,42.3329,-83.0478,2.0,58.0,24.56604838709677,7.0,61.0,32.1333064516129,1.3,38.1,12.748973822580645
3,4,57859,129124,44733,207452,0,8,4.0,-8.1,15.3,3.719444444444445,37.98,100.0,78.32402777777779,1,355,178.94027777777777,0.3,8.700000000000001,4.06875,-5.9,18.5,7.606111111111112,2019,Michigan,Detroit,United States,42.3329,-83.0478,17.0,60.0,38.695,21.0,65.0,45.691,1.0,28.5,13.348917749999998
4,5,74368,134506,49994,245349,0,9,4.0,1.8,20.5,9.918682795698924,43.97,100.0,81.2254435483871,2,358,164.0255376344086,0.5,7.6,3.1461021505376348,3.6,24.200000000000003,13.3619623655914,2019,Michigan,Detroit,United States,42.3329,-83.0478,35.0,69.0,49.85362903225806,38.0,76.0,56.051532258064526,1.6,24.9,10.321857779569893
5,6,65513,175548,48109,251441,0,9,4.0,4.4,22.200000000000003,14.637916666666667,45.35,100.0,79.86348611111111,0,359,183.90416666666667,0.3,7.7,2.816527777777778,6.2,28.700000000000003,18.480833333333333,2019,Michigan,Detroit,United States,42.3329,-83.0478,40.0,72.0,58.34825,43.0,84.0,65.2655,1.0,25.3,9.240576994444446
6,7,73569,193127,51432,246249,0,9,3.0,12.4,26.9,19.783870967741937,47.81,100.0,80.81075268817204,1,360,196.26075268817203,0.4,5.1000000000000005,2.4563172043010755,14.6,31.4,23.5252688172043,2019,Michigan,Detroit,United States,42.3329,-83.0478,54.0,80.0,67.6109677419355,58.0,89.0,74.34548387096774,1.3,16.7,8.05878373655914
7,8,62024,177923,41009,221915,0,9,2.0,10.4,23.8,17.144892473118283,44.26,100.0,75.64594086021506,1,358,183.93010752688173,0.5,6.4,2.5150537634408603,13.8,29.200000000000003,22.049462365591395,2019,Michigan,Detroit,United States,42.3329,-83.0478,51.0,75.0,62.86080645161291,57.0,85.0,71.68903225806451,1.6,21.0,8.251488989247312
8,9,47778,114881,34809,170245,0,9,3.0,7.0,23.3,16.128194444444446,40.44,100.0,80.54619444444445,5,355,182.4930555555556,0.2,7.5,2.77375,12.9,28.6,19.90041666666667,2019,Michigan,Detroit,United States,42.3329,-83.0478,45.0,74.0,61.030750000000005,55.0,83.0,67.82075,0.7,24.6,9.10022995
9,10,31060,82982,24138,132363,0,8,3.0,-1.0,21.700000000000003,8.640725806451613,43.19,100.0,81.5278494623656,6,356,193.8172043010753,0.3,10.2,3.622715053763441,2.2,27.700000000000003,12.010752688172044,2019,Michigan,Detroit,United States,42.3329,-83.0478,30.0,71.0,47.5533064516129,36.0,82.0,53.61935483870968,1.0,33.5,11.885548456989248
10,11,26350,50769,19523,89639,0,9,4.0,-11.5,8.6,-0.9841666666666667,48.76,100.0,82.94693055555555,1,357,213.41944444444445,0.4,10.9,3.636388888888889,-10.1,12.1,1.7451388888888888,2019,Michigan,Detroit,United States,42.3329,-83.0478,11.0,47.0,30.2285,14.0,54.0,35.14125,1.3,35.8,11.930410122222222
11,12,20925,37236,16597,72301,0,9,4.0,-14.9,10.7,-1.7263440860215056,51.26,100.0,85.65864247311828,6,356,223.5174731182796,0.5,10.4,3.948387096774194,-10.9,11.3,0.5127688172043011,2019,Michigan,Detroit,United States,42.3329,-83.0478,5.0,51.0,28.89258064516129,12.0,52.0,32.92298387096774,1.6,34.1,12.954026322580646
