,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25798,44002,20591,82631,0,9,5.0,-15.5,5.5,-4.37486559139785,60.63,100.0,87.38694892473119,0,359,212.7956989247312,0.5,9.3,3.5530913978494625,-13.6,6.0,-2.5130376344086023,2020,Michigan,Grand Rapids,United States,42.9655,-85.6702,4.0,42.0,24.12524193548387,8.0,43.0,27.47653225806452,1.6,30.5,11.65712438172043
1,2,32930,76064,23393,110876,0,8,4.0,-16.900000000000002,3.7,-6.148065476190476,55.18,100.0,82.58904761904762,2,358,196.2366071428572,0.3,8.6,4.072172619047619,-14.9,7.4,-3.5154761904761904,2020,Michigan,Grand Rapids,United States,42.9655,-85.6702,2.0,39.0,20.933482142857144,5.0,45.0,25.67214285714286,1.0,28.2,13.360146815476188
2,3,40897,93068,31389,169112,0,9,4.0,-9.7,14.4,-0.0408602150537634,47.1,100.0,83.2188440860215,1,357,190.01075268817203,0.4,9.6,3.685618279569893,-6.6000000000000005,14.4,2.7360215053763444,2020,Michigan,Grand Rapids,United States,42.9655,-85.6702,15.0,58.0,31.926451612903225,20.0,58.0,36.92483870967742,1.3,31.5,12.091923876344088
3,4,56581,128570,42860,210615,0,9,3.0,-8.4,16.1,2.3506944444444446,40.51,100.0,79.3182361111111,1,357,194.13472222222225,0.4,9.8,3.179027777777778,-4.1000000000000005,20.3,6.005972222222223,2020,Michigan,Grand Rapids,United States,42.9655,-85.6702,17.0,61.0,36.23125,25.0,69.0,42.81075,1.3,32.2,10.429881494444444
4,5,59367,185024,42984,251598,0,9,3.0,-6.6000000000000005,23.6,8.973252688172044,38.91,100.0,80.07342741935483,1,356,183.92741935483872,0.3,7.0,3.078494623655914,-3.5,28.5,12.69717741935484,2020,Michigan,Grand Rapids,United States,42.9655,-85.6702,20.0,74.0,48.15185483870968,26.0,83.0,54.85491935483872,1.0,23.0,10.100048301075269
5,6,62486,218998,41993,254683,0,9,2.0,2.2,24.700000000000003,15.48597222222222,48.09,100.0,78.59700000000001,1,355,188.88333333333333,0.2,8.700000000000001,2.5900000000000003,5.1000000000000005,29.5,19.63277777777778,2020,Michigan,Grand Rapids,United States,42.9655,-85.6702,36.0,76.0,59.87474999999999,41.0,85.0,67.339,0.7,28.5,8.497375600000002
6,7,67638,209638,41140,250875,0,9,2.0,13.0,25.4,19.46989247311828,51.46,100.0,80.28606182795698,3,358,202.9220430107527,0.1,5.7,2.062903225806452,13.0,31.0,23.336021505376344,2020,Michigan,Grand Rapids,United States,42.9655,-85.6702,55.0,78.0,67.0458064516129,55.0,88.0,74.00483870967741,0.3,18.7,6.76805541935484
7,8,57209,187619,39218,220804,0,9,2.0,9.3,24.8,17.15309139784946,45.44,100.0,77.87736559139785,4,357,203.24327956989248,0.3,6.0,2.1694892473118284,10.6,29.8,21.53279569892473,2020,Michigan,Grand Rapids,United States,42.9655,-85.6702,49.0,77.0,62.87556451612903,51.0,86.0,70.75903225806451,1.0,19.7,7.117747102150539
8,9,44760,123798,40719,166815,0,8,2.0,0.0,21.1,11.986944444444443,37.52,100.0,78.86047222222223,5,357,184.3375,0.4,7.7,2.825277777777778,2.9000000000000004,27.4,16.111805555555556,2020,Michigan,Grand Rapids,United States,42.9655,-85.6702,32.0,70.0,53.5765,37.0,81.0,61.00125,1.3,25.3,9.269284344444443
9,10,31132,71851,26446,127827,0,9,3.0,-5.300000000000001,17.8,4.900537634408602,37.89,100.0,79.04076612903226,4,358,206.06586021505376,0.2,7.300000000000001,3.083467741935484,-4.0,24.3,8.70470430107527,2020,Michigan,Grand Rapids,United States,42.9655,-85.6702,22.0,64.0,40.82096774193548,25.0,76.0,47.66846774193549,0.7,24.0,10.116364306451612
10,11,20565,53261,17043,85425,0,8,3.0,-6.9,17.7,2.1794444444444445,36.95,100.0,78.9525,5,354,225.75416666666663,0.4,10.6,3.6841666666666666,-4.2,23.4,5.8613888888888885,2020,Michigan,Grand Rapids,United States,42.9655,-85.6702,20.0,64.0,35.923,24.0,74.0,42.5505,1.3,34.8,12.087161366666669
11,12,17525,30884,16488,70719,0,9,4.0,-12.7,6.800000000000001,-3.7971774193548384,46.78,100.0,83.06252688172043,2,357,214.252688172043,0.2,8.6,3.292741935483871,-10.1,9.7,-1.1610215053763442,2020,Michigan,Grand Rapids,United States,42.9655,-85.6702,9.0,44.0,25.16508064516129,14.0,49.0,29.91016129032258,0.7,28.2,10.802959451612905
