,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25907,43516,20008,83715,0,9,5.0,-20.5,9.3,-4.719489247311828,56.03,100.0,87.78260752688172,1,357,217.6061827956989,0.4,9.2,3.7052419354838713,-18.9,9.3,-2.913978494623656,2020,Michigan,Lansing,United States,42.7336,-84.5539,-5.0,49.0,23.50491935483871,-2.0,49.0,26.75483870967742,1.3,30.2,12.156305951612904
1,2,29915,74164,23831,111386,0,9,4.0,-20.1,4.7,-6.107440476190476,56.28,100.0,83.40269345238096,0,359,207.10863095238096,0.5,9.2,4.165922619047619,-17.0,9.4,-3.5931547619047617,2020,Michigan,Lansing,United States,42.7336,-84.5539,-4.0,40.0,21.006607142857145,1.0,49.0,25.53232142857143,1.6,30.2,13.66772556547619
2,3,42689,89612,31057,170126,0,9,4.0,-11.2,13.9,0.1370967741935483,44.85,100.0,83.03858870967741,1,359,185.2983870967742,0.4,10.2,3.762903225806452,-9.0,14.0,2.972983870967742,2020,Michigan,Lansing,United States,42.7336,-84.5539,12.0,57.0,32.24677419354839,16.0,57.0,37.351370967741936,1.3,33.5,12.34548341935484
3,4,57133,128877,43368,211157,0,9,3.0,-8.1,16.5,2.2759722222222223,38.41,100.0,79.09825,5,357,198.4055555555556,0.3,10.5,3.3398611111111114,-4.6000000000000005,20.3,6.009722222222222,2020,Michigan,Lansing,United States,42.7336,-84.5539,17.0,62.0,36.09675,24.0,69.0,42.8175,1.0,34.4,10.957549927777778
4,5,63150,171668,44570,251231,0,9,3.0,-7.0,22.700000000000003,8.926344086021505,35.730000000000004,100.0,79.28284946236559,2,359,192.83198924731184,0.6000000000000001,7.300000000000001,3.2623655913978498,-4.0,28.5,12.818817204301077,2020,Michigan,Lansing,United States,42.7336,-84.5539,19.0,73.0,48.06741935483871,25.0,83.0,55.07387096774194,2.0,24.0,10.703299526881722
5,6,63255,219105,41241,255245,0,9,2.0,2.9000000000000004,25.200000000000003,15.391666666666667,46.2,100.0,77.37090277777779,5,354,187.9305555555556,0.2,8.3,2.6025,5.300000000000001,29.1,19.826527777777777,2020,Michigan,Lansing,United States,42.7336,-84.5539,37.0,77.0,59.705,42.0,84.0,67.68775,0.7,27.2,8.5383861
6,7,65630,206091,41958,251034,0,9,2.0,13.7,25.6,19.41922043010753,52.56,100.0,80.13478494623656,1,359,204.63306451612905,0.3,5.800000000000001,2.0858870967741936,13.7,30.9,23.344489247311827,2020,Michigan,Lansing,United States,42.7336,-84.5539,57.0,78.0,66.95459677419356,57.0,88.0,74.0200806451613,1.0,19.0,6.843461822580645
7,8,54368,183061,39156,221415,0,9,2.0,9.4,24.3,16.776881720430108,41.53,100.0,76.35944892473118,0,360,207.68145161290323,0.4,6.0,2.228494623655914,10.1,31.3,21.59489247311828,2020,Michigan,Lansing,United States,42.7336,-84.5539,49.0,76.0,62.1983870967742,50.0,88.0,70.8708064516129,1.3,19.7,7.311334301075269
8,9,44991,127215,40263,168088,0,9,2.0,0.7000000000000001,21.6,11.824166666666668,34.46,100.0,78.2835,2,356,179.35,0.7000000000000001,7.300000000000001,2.8156944444444445,2.4000000000000004,28.5,16.170833333333334,2020,Michigan,Lansing,United States,42.7336,-84.5539,33.0,71.0,53.2835,36.0,83.0,61.1075,2.3,24.0,9.237842961111111
9,10,31440,75424,25880,129075,0,8,3.0,-6.0,19.3,4.751612903225807,31.37,100.0,78.59094086021506,1,359,205.78360215053763,0.4,7.1000000000000005,3.140456989247312,-4.3,25.3,8.751612903225807,2020,Michigan,Lansing,United States,42.7336,-84.5539,21.0,67.0,40.55290322580645,24.0,78.0,47.75290322580645,1.3,23.3,10.303336908602152
10,11,20531,55214,17095,86541,0,8,3.0,-8.0,17.5,1.7816666666666665,32.19,100.0,79.09188888888889,3,359,226.42777777777772,0.7000000000000001,11.1,3.818333333333334,-5.1000000000000005,24.1,5.488611111111111,2020,Michigan,Lansing,United States,42.7336,-84.5539,18.0,64.0,35.207,23.0,75.0,41.8795,2.3,36.4,12.527340733333334
11,12,19497,33283,16617,72087,0,9,4.0,-12.6,9.1,-3.910618279569893,47.55,100.0,83.33512096774194,1,358,219.33602150537635,0.4,9.0,3.6232526881720433,-7.7,9.9,-1.2967741935483872,2020,Michigan,Lansing,United States,42.7336,-84.5539,9.0,48.0,24.960887096774197,18.0,50.0,29.6658064516129,1.3,29.5,11.887312349462366
