,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23402,56231,20260,84688,0,8,5.0,-25.700000000000003,9.5,-8.12217741935484,50.75,100.0,80.5850806451613,1,358,233.8790322580645,0.4,10.2,4.645430107526882,-23.1,10.2,-5.209274193548388,2018,Michigan,Sterling Heights,United States,42.5803,-83.0303,-14.0,49.0,17.38008064516129,-10.0,50.0,22.6233064516129,1.3,33.5,15.240912913978494
1,2,28661,67922,23776,108720,0,8,5.0,-17.6,15.9,-4.797023809523809,45.26,100.0,82.67785714285715,3,355,211.4389880952381,0.2,10.1,4.053422619047619,-15.0,16.8,-2.0992559523809526,2018,Michigan,Sterling Heights,United States,42.5803,-83.0303,0.0,61.0,23.365357142857142,5.0,62.0,28.221339285714286,0.7,33.1,13.29863106547619
2,3,40212,126248,30397,174813,0,9,3.0,-11.9,10.2,-4.249731182795699,39.03,100.0,76.28311827956989,2,358,185.6129032258065,0.5,10.7,4.02983870967742,-7.800000000000001,11.6,-0.2669354838709677,2018,Michigan,Sterling Heights,United States,42.5803,-83.0303,11.0,50.0,24.350483870967743,18.0,53.0,31.519516129032255,1.6,35.1,13.221256032258063
3,4,57761,143308,47727,211285,0,9,4.0,-10.5,12.2,-0.5561111111111111,33.55,100.0,74.99511111111111,7,356,212.1930555555556,0.4,11.1,3.489444444444445,-6.0,20.1,3.942361111111111,2018,Michigan,Sterling Heights,United States,42.5803,-83.0303,13.0,54.0,30.999,21.0,68.0,39.09625,1.3,36.4,11.448308911111113
4,5,66375,174067,48987,244225,0,9,4.0,1.1,22.5,12.89247311827957,41.95,100.0,78.79052419354839,5,356,169.98387096774192,0.1,12.2,2.9618279569892474,4.4,31.200000000000003,16.993817204301074,2018,Michigan,Sterling Heights,United States,42.5803,-83.0303,34.0,72.0,55.20645161290322,40.0,88.0,62.58887096774193,0.3,40.0,9.717283634408602
5,6,71563,173163,48691,249715,0,8,3.0,7.7,25.3,16.012222222222224,45.03,100.0,80.39847222222222,4,355,162.13888888888889,0.5,7.0,2.827638888888889,7.7,31.4,19.77111111111111,2018,Michigan,Sterling Heights,United States,42.5803,-83.0303,46.0,78.0,60.822,46.0,89.0,67.588,1.6,23.0,9.277030772222222
6,7,67080,196406,47128,250018,0,9,2.0,9.9,25.8,18.008198924731182,45.42,100.0,76.8781317204301,1,355,179.08602150537635,0.2,5.9,2.225537634408602,11.8,31.1,22.65685483870968,2018,Michigan,Sterling Heights,United States,42.5803,-83.0303,50.0,78.0,64.41475806451612,53.0,88.0,72.78233870967742,0.7,19.4,7.301632892473118
7,8,67981,161035,51651,214563,0,9,3.0,11.0,24.200000000000003,18.968413978494624,43.06,100.0,79.62331989247312,10,352,204.5752688172043,0.1,6.1000000000000005,2.4075268817204303,13.1,31.8,23.07674731182796,2018,Michigan,Sterling Heights,United States,42.5803,-83.0303,52.0,76.0,66.14314516129033,56.0,89.0,73.53814516129032,0.3,20.0,7.898710494623656
8,9,46537,111016,32653,171082,0,9,3.0,3.5,23.9,15.883194444444444,42.4,100.0,81.12240277777778,4,358,152.82777777777778,0.1,8.5,2.775,5.800000000000001,32.0,19.52513888888889,2018,Michigan,Sterling Heights,United States,42.5803,-83.0303,38.0,75.0,60.58975,42.0,90.0,67.14525,0.3,27.9,9.104331
9,10,31634,74371,24258,130355,0,9,3.0,-4.6000000000000005,22.700000000000003,7.042069892473118,34.69,100.0,81.474811827957,6,357,212.41801075268816,0.5,8.0,3.5635752688172047,-1.9,27.8,10.40255376344086,2018,Michigan,Sterling Heights,United States,42.5803,-83.0303,24.0,73.0,44.67572580645161,29.0,82.0,50.72459677419355,1.6,26.2,11.691520284946238
10,11,25160,39429,20242,87991,0,9,5.0,-12.4,10.8,-1.304027777777778,49.27,100.0,83.09475,3,356,216.14027777777773,0.3,9.6,3.706805555555556,-7.9,11.8,1.3894444444444445,2018,Michigan,Sterling Heights,United States,42.5803,-83.0303,10.0,51.0,29.65275,18.0,53.0,34.501,1.0,31.5,12.16143593888889
11,12,17114,35104,16482,71807,0,9,4.0,-20.9,9.2,-2.7112903225806453,52.82,100.0,86.41209677419354,2,357,230.01075268817203,0.4,7.9,3.170698924731183,-17.400000000000002,11.2,-0.6076612903225806,2018,Michigan,Sterling Heights,United States,42.5803,-83.0303,-6.0,49.0,27.11967741935484,1.0,52.0,30.906209677419355,1.3,25.9,10.402555860215054
