,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25356,39466,22973,81038,0,9,5.0,-17,9,-4.419354838709677,47.72,100.0,83.07801075268817,0.4,357.90000000000003,217.84220430107527,0.4,12.9,3.8995967741935487,-13,10,-1.8844086021505373,2017,Michigan,Warren,United States,42.5214,-83.0202,1.0,48.0,24.045161290322586,9.0,50.0,28.608064516129037,1.3,42.3,12.793953080645162
1,2,29266,75656,24796,107241,0,9,4.0,-14,14,-2.3169642857142856,44.76,100.0,80.87316964285715,2.3000000000000003,359.40000000000003,231.445386904762,0.3,10.5,4.412053571428571,-12,18,0.8184523809523809,2017,Michigan,Warren,United States,42.5214,-83.0202,7.0,57.0,27.829464285714288,10.0,64.0,33.473214285714285,1.0,34.4,14.475241839285712
2,3,45539,109713,43132,167003,0,9,4.0,-16,14,-2.907258064516129,32.63,100.0,76.47868279569893,0.4,360.0,205.92903225806447,0.3,14.9,4.549731182795699,-9,20,1.168010752688172,2017,Michigan,Warren,United States,42.5214,-83.0202,3.0,57.0,26.766935483870967,16.0,68.0,34.10241935483871,1.0,48.9,14.926940053763442
3,4,55943,140295,49523,203607,0,9,5.0,-4,18,5.894444444444445,36.63,100.0,82.00508333333333,0.4,359.1,189.6988888888889,0.1,11.6,4.03125,-2,24,9.806944444444444,2017,Michigan,Warren,United States,42.5214,-83.0202,25.0,64.0,42.61,28.0,75.0,49.6525,0.3,38.1,13.22588625
4,5,70632,178620,51206,247350,0,9,4.0,-2,19,8.39516129032258,38.93,100.0,81.17334677419355,0.5,359.40000000000003,186.4377688172044,0.2,9.3,3.583870967741936,0,27,12.654569892473118,2017,Michigan,Warren,United States,42.5214,-83.0202,28.0,66.0,47.11129032258064,32.0,81.0,54.778225806451616,0.7,30.5,11.758107225806452
5,6,79643,196420,51609,248892,0,8,3.0,8,23,15.075,46.87,100.0,82.90919444444445,0.2,359.6,223.1013888888889,0.3,6.9,3.122361111111111,8,29,19.04722222222222,2017,Michigan,Warren,United States,42.5214,-83.0202,46.0,73.0,59.135,46.0,84.0,66.285,1.0,22.6,10.243967227777778
6,7,74254,204687,51021,247813,0,9,3.0,10,24,17.350806451612904,45.49,100.0,82.6143817204301,0.3,359.90000000000003,206.325,0.2,5.800000000000001,2.290860215053764,12,30,21.40994623655914,2017,Michigan,Warren,United States,42.5214,-83.0202,50.0,75.0,63.23145161290323,54.0,86.0,70.53790322580645,0.7,19.0,7.515945827956991
7,8,73873,170857,54044,215372,0,9,3.0,6,23,15.276881720430108,34.75,100.0,79.74256720430108,0.1,359.70000000000005,203.4120967741936,0.3,7.1000000000000005,2.347849462365592,11,29,20.026881720430108,2017,Michigan,Warren,United States,42.5214,-83.0202,43.0,73.0,59.4983870967742,52.0,84.0,68.04838709677419,1.0,23.3,7.7029184301075295
8,9,52339,136758,41004,167013,0,9,3.0,4,21,13.343055555555557,36.2,100.0,80.09329166666666,1.0,359.3,176.84847222222223,0.2,6.800000000000001,2.2744444444444447,7,32,18.011111111111113,2017,Michigan,Warren,United States,42.5214,-83.0202,39.0,70.0,56.0175,45.0,90.0,64.42,0.7,22.3,7.462088311111112
9,10,31797,87624,29133,126783,0,9,4.0,-1,19,8.565860215053764,34.24,100.0,82.43360215053764,0.9,359.90000000000003,205.65443548387097,0.4,8.5,3.460215053763441,0,27,12.533602150537634,2017,Michigan,Warren,United States,42.5214,-83.0202,30.0,66.0,47.41854838709678,32.0,81.0,54.560483870967744,1.3,27.9,11.352411956989249
10,11,22900,51797,21163,84740,0,9,5.0,-13,16,0.1361111111111111,40.27,100.0,83.75945833333333,0.3,359.6,218.41708333333327,0.2,8.200000000000001,3.623888888888889,-5,16,2.9652777777777777,2017,Michigan,Warren,United States,42.5214,-83.0202,9.0,61.0,32.245,23.0,61.0,37.3375,0.7,26.9,11.889399622222223
11,12,21553,45043,21971,71900,0,9,5.0,-21,9,-6.673387096774194,44.25,100.0,78.37408602150538,1.8,359.8,235.57325268817203,0.4,9.8,3.85739247311828,-18,11,-3.4986559139784945,2017,Michigan,Warren,United States,42.5214,-83.0202,-6.0,48.0,19.98790322580645,-0.0,52.0,25.70241935483871,1.3,32.2,12.655487521505378
