,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,20092,56857,16552,76974,0,9,4.0,-30.200000000000003,1.5,-13.264650537634408,53.16,100.0,79.74735215053764,3,357,222.3548387096774,0.3,8.200000000000001,3.4919354838709675,-26.0,4.3,-10.386021505376345,2018,Minnesota,Bloomington,United States,44.8336,-93.31,-22.0,35.0,8.123629032258066,-15.0,40.0,13.30516129032258,1.0,26.9,11.456481612903223
1,2,25136,87034,20980,105507,0,8,4.0,-26.5,1.1,-13.405059523809523,49.75,100.0,77.7232886904762,1,358,214.76934523809524,0.4,10.8,3.22202380952381,-23.9,7.0,-10.149702380952382,2018,Minnesota,Bloomington,United States,44.8336,-93.31,-16.0,34.0,7.870892857142856,-11.0,45.0,13.730535714285711,1.3,35.4,10.570944595238096
2,3,42410,125069,33345,169215,0,9,3.0,-15.4,3.3000000000000003,-4.890456989247312,33.87,100.0,73.83219086021505,3,359,184.9583333333333,0.3,10.6,3.068279569892473,-12.3,11.9,-0.4591397849462366,2018,Minnesota,Bloomington,United States,44.8336,-93.31,4.0,38.0,23.19717741935484,10.0,53.0,31.173548387096773,1.0,34.8,10.06653434408602
3,4,57288,175020,48241,212448,0,9,3.0,-17.900000000000002,15.0,-3.0331944444444447,30.8,100.0,70.56391666666667,0,359,186.45,0.3,8.3,2.714166666666667,-15.0,25.9,2.341666666666667,2018,Minnesota,Bloomington,United States,44.8336,-93.31,-0.0,59.0,26.54025,5.0,79.0,36.215,1.0,27.2,8.904746566666667
4,5,65028,176664,47769,242849,0,9,4.0,-1.9,23.6,12.473924731182796,32.51,100.0,71.79368279569893,2,357,177.0241935483871,0.3,4.9,1.913978494623656,4.6000000000000005,34.5,18.315994623655914,2018,Minnesota,Bloomington,United States,44.8336,-93.31,29.0,74.0,54.45306451612903,40.0,94.0,64.96879032258065,1.0,16.1,6.279457204301076
5,6,72854,151536,49254,246545,0,9,4.0,7.4,26.5,17.264861111111113,35.87,100.0,79.283125,2,357,158.22083333333333,0.5,5.2,2.120833333333333,9.7,33.0,21.33625,2018,Minnesota,Bloomington,United States,44.8336,-93.31,45.0,80.0,63.07675,49.0,91.0,70.40525,1.6,17.1,6.958114833333332
6,7,56622,193108,43210,249506,0,9,2.0,9.7,25.5,17.088709677419356,41.85,100.0,74.14069892473118,1,358,202.3252688172043,0.4,5.5,1.781989247311828,10.4,31.6,22.34932795698925,2018,Minnesota,Bloomington,United States,44.8336,-93.31,49.0,78.0,62.75967741935485,51.0,89.0,72.22879032258065,1.3,18.0,5.846421602150538
7,8,64021,149193,57858,207916,0,9,3.0,7.9,24.6,16.941666666666666,30.44,100.0,75.64887096774194,3,360,195.5,0.3,3.9,1.6600806451612906,9.8,32.800000000000004,22.02741935483872,2018,Minnesota,Bloomington,United States,44.8336,-93.31,46.0,76.0,62.495000000000005,50.0,91.0,71.64935483870968,1.0,12.8,5.4464589838709685
8,9,37652,112031,32472,164697,0,9,3.0,-3.1,23.700000000000003,12.889583333333333,36.67,100.0,78.16516666666666,3,357,170.09166666666667,0.3,5.2,2.031944444444445,-0.2,32.300000000000004,17.147777777777776,2018,Minnesota,Bloomington,United States,44.8336,-93.31,26.0,75.0,55.20125,32.0,90.0,62.866,1.0,17.1,6.6664846111111125
9,10,25767,69634,20672,124107,0,8,3.0,-8.8,22.700000000000003,2.6438172043010755,37.76,100.0,80.38053763440861,5,359,213.3467741935484,0.4,6.5,2.232258064516129,-4.1000000000000005,24.9,6.088709677419355,2018,Minnesota,Bloomington,United States,44.8336,-93.31,16.0,73.0,36.758870967741935,25.0,77.0,42.95967741935484,1.3,21.3,7.323681548387097
10,11,21107,43509,17458,79976,0,8,4.0,-17.0,3.8,-6.6601388888888895,49.46,100.0,78.97416666666666,2,360,218.24166666666667,0.4,5.300000000000001,2.487638888888889,-13.9,9.8,-3.3754166666666667,2018,Minnesota,Bloomington,United States,44.8336,-93.31,1.0,39.0,20.01175,7.0,50.0,25.92425,1.3,17.4,8.161545172222223
11,12,17913,35099,14842,64386,0,8,4.0,-29.4,2.0,-7.701209677419355,56.11,100.0,85.09889784946236,2,360,203.2258064516129,0.3,7.300000000000001,2.5321236559139786,-26.0,4.4,-5.525806451612903,2018,Minnesota,Bloomington,United States,44.8336,-93.31,-21.0,36.0,18.13782258064516,-15.0,40.0,22.05354838709677,1.0,24.0,8.307492575268817
