,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,19899,45839,14955,69151,0,9,5.0,-30.6,0.2,-14.699327956989247,67.03,100.0,87.53973118279569,0,359,243.5510752688172,0.8,7.4,3.681989247311828,-30.6,1.7000000000000002,-13.040725806451617,2018,Minnesota,Duluth,United States,46.8,-92.1,-23.0,32.0,5.541209677419353,-23.0,35.0,8.52669354838709,2.6,24.3,12.080017602150535
1,2,26261,73806,19220,98740,0,8,5.0,-29.9,-0.7000000000000001,-15.279613095238094,63.86,100.0,84.03184523809524,3,356,229.8184523809524,0.7000000000000001,8.0,3.723809523809524,-28.6,0.7000000000000001,-13.11889880952381,2018,Minnesota,Duluth,United States,46.8,-92.1,-22.0,31.0,4.496696428571429,-19.0,33.0,8.385982142857141,2.3,26.2,12.217223238095238
2,3,42546,124702,30019,164304,0,8,4.0,-17.5,1.7000000000000002,-6.729435483870968,42.17,100.0,80.10583333333334,1,357,183.8763440860215,0.6000000000000001,9.9,3.313037634408602,-16.1,6.6000000000000005,-3.593548387096774,2018,Minnesota,Duluth,United States,46.8,-92.1,0.0,35.0,19.887016129032254,3.0,44.0,25.53161290322581,2.0,32.5,10.86954639247312
3,4,55396,155870,41188,210470,0,9,3.0,-17.400000000000002,15.7,-4.3625,34.88,100.0,71.608875,1,359,201.9875,0.4,9.0,3.18,-13.8,19.3,0.6138888888888889,2018,Minnesota,Duluth,United States,46.8,-92.1,1.0,60.0,24.1475,7.0,67.0,33.105,1.3,29.5,10.4330712
4,5,64059,188422,44375,244391,0,9,4.0,-4.2,21.4,8.84247311827957,35.88,100.0,75.50024193548387,2,359,182.0228494623656,0.4,6.2,2.310752688172044,0.4,28.200000000000003,13.629704301075268,2018,Minnesota,Duluth,United States,46.8,-92.1,24.0,71.0,47.91645161290322,33.0,83.0,56.53346774193548,1.3,20.3,7.581209849462367
5,6,69695,169148,44941,250479,0,9,4.0,0.4,24.9,12.53888888888889,39.02,100.0,81.94570833333334,2,356,142.63611111111112,0.3,5.7,2.4568055555555555,4.2,28.0,15.954027777777778,2018,Minnesota,Duluth,United States,46.8,-92.1,33.0,77.0,54.57,40.0,82.0,60.71725,1.0,18.7,8.060385938888889
6,7,60297,196192,39910,250935,0,9,2.0,8.4,23.6,15.311155913978494,38.01,100.0,74.73049731182796,2,356,226.3763440860215,0.4,5.6000000000000005,2.224193548387097,10.9,29.3,20.425,2018,Minnesota,Duluth,United States,46.8,-92.1,47.0,74.0,59.56008064516129,52.0,85.0,68.765,1.3,18.4,7.297223161290324
7,8,59527,147463,55937,206467,0,9,3.0,6.6000000000000005,22.1,14.858870967741936,28.88,100.0,75.3529435483871,1,358,191.65860215053763,0.4,4.5,2.094758064516129,8.5,31.0,19.990860215053765,2018,Minnesota,Duluth,United States,46.8,-92.1,44.0,72.0,58.74596774193549,47.0,88.0,67.98354838709677,1.3,14.8,6.872566048387097
8,9,42764,99706,29596,161579,0,9,3.0,-6.7,21.700000000000003,10.543472222222222,31.46,100.0,77.65195833333334,7,356,193.9388888888889,0.5,7.300000000000001,2.9345833333333333,-1.5,28.6,14.883611111111112,2018,Minnesota,Duluth,United States,46.8,-92.1,20.0,71.0,50.97825,29.0,83.0,58.7905,1.6,24.0,9.627898383333331
9,10,24245,55792,20126,117134,0,9,4.0,-8.4,16.5,1.5315860215053765,42.63,100.0,84.8058870967742,7,352,211.2258064516129,0.4,8.1,3.17755376344086,-3.2,17.2,4.0814516129032254,2018,Minnesota,Duluth,United States,46.8,-92.1,17.0,62.0,34.75685483870968,26.0,63.0,39.34661290322581,1.3,26.6,10.42504548924731
10,11,22910,39866,16272,73066,0,8,5.0,-17.7,2.3000000000000003,-7.498888888888889,49.95,100.0,83.06766666666667,4,356,231.23611111111111,0.3,6.2,2.953055555555556,-15.8,6.1000000000000005,-4.958611111111112,2018,Minnesota,Duluth,United States,46.8,-92.1,0.0,36.0,18.502,4.0,43.0,23.0745,1.0,20.3,9.688502788888892
11,12,18328,32412,13090,56784,0,9,4.0,-26.4,0.7000000000000001,-8.506182795698924,67.46000000000001,100.0,88.8107123655914,1,360,211.91129032258064,0.5,6.9,3.0190860215053767,-24.8,2.1,-6.934274193548387,2018,Minnesota,Duluth,United States,46.8,-92.1,-16.0,33.0,16.688870967741934,-13.0,36.0,19.5183064516129,1.6,22.6,9.9051381827957
