,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,17004,53165,15682,76320,0,8,3.0,-42.400000000000006,1.6,-15.85456989247312,49.94,100.0,78.37977150537635,3,358,208.8481182795699,0.3,9.3,3.114247311827957,-37.3,2.3000000000000003,-12.845967741935484,2019,Minnesota,Minneapolis,United States,44.9833,-93.2667,-44.0,35.0,3.461774193548383,-35.0,36.0,8.87725806451613,1.0,30.5,10.217347150537634
1,2,28191,78838,24544,104008,0,9,5.0,-35.7,1.0,-14.264880952380953,61.28,100.0,84.21933035714285,3,354,187.16071428571428,0.3,10.3,2.9395833333333337,-32.300000000000004,2.7,-12.141815476190477,2019,Minnesota,Minneapolis,United States,44.9833,-93.2667,-32.0,34.0,6.323214285714286,-26.0,37.0,10.14473214285714,1.0,33.8,9.644302583333335
2,3,40440,141423,31665,169313,0,8,3.0,-33.300000000000004,11.0,-6.737634408602151,31.52,100.0,80.9297311827957,1,360,233.2876344086021,0.5,6.7,2.755241935483871,-30.3,17.3,-3.605779569892473,2019,Minnesota,Minneapolis,United States,44.9833,-93.2667,-28.0,52.0,19.872258064516128,-23.0,63.0,25.509596774193547,1.6,22.0,9.039507951612904
3,4,54152,123982,46206,204391,0,9,4.0,-7.0,16.400000000000002,2.754583333333333,37.72,100.0,79.27161111111111,3,358,170.6652777777778,0.4,9.3,2.6218055555555555,-5.7,23.5,6.532222222222222,2019,Minnesota,Minneapolis,United States,44.9833,-93.2667,19.0,62.0,36.95825,22.0,74.0,43.758,1.3,30.5,8.601724538888888
4,5,63556,158308,47454,247210,0,9,4.0,0.0,22.4,7.446236559139785,33.55,100.0,77.31264784946237,1,359,165.93010752688173,0.2,6.1000000000000005,2.1766129032258066,0.0,28.1,11.821102150537634,2019,Minnesota,Minneapolis,United States,44.9833,-93.2667,32.0,72.0,45.403225806451616,32.0,83.0,53.27798387096775,0.7,20.0,7.141118677419355
5,6,66896,180572,44563,251182,0,9,3.0,4.1000000000000005,26.8,15.06375,38.07,100.0,79.78659722222223,2,359,179.95416666666668,0.2,4.3,1.7022222222222223,5.9,30.5,19.03777777777778,2019,Minnesota,Minneapolis,United States,44.9833,-93.2667,39.0,80.0,59.11475,43.0,87.0,66.268,0.7,14.1,5.584718755555556
6,7,67642,180127,44303,247684,0,9,3.0,10.8,29.200000000000003,18.90470430107527,51.28,100.0,81.60252688172042,2,358,174.99462365591398,0.1,4.3,1.533467741935484,12.0,31.8,22.493951612903224,2019,Minnesota,Minneapolis,United States,44.9833,-93.2667,51.0,85.0,66.02846774193549,54.0,89.0,72.4891129032258,0.3,14.1,5.031062306451614
7,8,55100,168874,37509,219016,0,9,2.0,8.3,24.700000000000003,15.50483870967742,45.96,100.0,77.97469086021505,3,356,213.41666666666663,0.3,4.800000000000001,1.564516129032258,9.2,29.4,19.81639784946237,2019,Minnesota,Minneapolis,United States,44.9833,-93.2667,47.0,76.0,59.90870967741935,49.0,85.0,67.66951612903227,1.0,15.7,5.132927096774194
8,9,41334,102041,31746,164304,0,9,3.0,3.8,25.0,14.758611111111112,47.55,100.0,83.9852638888889,2,353,199.39027777777773,0.6000000000000001,4.5,2.048888888888889,6.0,29.0,17.748472222222222,2019,Minnesota,Minneapolis,United States,44.9833,-93.2667,39.0,77.0,58.5655,43.0,84.0,63.94725,2.0,14.8,6.722076622222223
9,10,26031,71820,21981,124244,0,9,3.0,-9.0,15.9,2.7241935483870967,44.78,100.0,80.69688172043011,10,358,220.244623655914,0.4,6.0,2.3434139784946235,-5.7,21.0,6.068951612903226,2019,Minnesota,Minneapolis,United States,44.9833,-93.2667,16.0,61.0,36.90354838709678,22.0,70.0,42.92411290322581,1.3,19.7,7.6883663172043
10,11,21792,43055,16067,80336,0,9,4.0,-20.0,3.0,-4.972916666666666,41.34,100.0,82.83456944444444,2,360,224.375,0.2,7.4,2.3911111111111114,-15.2,6.2,-2.267638888888889,2019,Minnesota,Minneapolis,United States,44.9833,-93.2667,-4.0,37.0,23.04875,5.0,43.0,27.91825,0.7,24.3,7.844852977777779
11,12,18929,48919,16056,64243,0,9,4.0,-32.9,0.9,-9.101075268817205,57.16,100.0,88.84002688172042,2,359,213.7298387096774,0.3,6.2,2.3848118279569896,-29.0,1.7000000000000002,-7.575268817204301,2019,Minnesota,Minneapolis,United States,44.9833,-93.2667,-27.0,34.0,15.618064516129031,-20.0,35.0,18.36451612903226,1.0,20.3,7.8241860376344095
