,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23749,43767,19680,82064,0,8,5.0,-17.8,10.9,-5.950672043010753,45.63,100.0,86.29360215053764,2,355,232.00806451612905,0.3,4.7,2.372849462365592,-17.8,11.4,-3.950403225806451,2018,Minnesota,Rochester,United States,43.1656,-77.6114,-0.0,52.0,21.288790322580645,-0.0,53.0,24.88927419354839,1.0,15.4,7.784939430107529
1,2,28503,48182,23691,106001,0,9,5.0,-14.3,13.9,-2.5373511904761905,54.9,100.0,84.693125,5,336,221.55357142857144,0.3,4.4,2.1936011904761905,-10.5,14.6,-0.2135416666666666,2018,Minnesota,Rochester,United States,43.1656,-77.6114,6.0,57.0,27.432767857142856,13.0,58.0,31.615625,1.0,14.4,7.196854529761905
2,3,44103,108536,32575,174788,0,9,4.0,-11.2,8.0,-3.4045698924731185,49.14,100.0,82.74905913978495,1,359,220.38440860215053,0.1,3.7,1.7850806451612906,-7.9,8.5,-0.7344086021505377,2018,Minnesota,Rochester,United States,43.1656,-77.6114,12.0,46.0,25.871774193548383,18.0,47.0,30.678064516129037,0.3,12.1,5.856563983870968
3,4,53389,112452,48918,208650,0,9,4.0,-9.5,11.2,-0.1630555555555555,38.41,100.0,79.28004166666666,4,355,225.0861111111111,0.2,4.6000000000000005,1.3734722222222224,-4.6000000000000005,16.8,3.355555555555556,2018,Minnesota,Rochester,United States,43.1656,-77.6114,15.0,52.0,31.7065,24.0,62.0,38.04,0.7,15.1,4.5061426055555565
4,5,67436,189991,46792,244944,0,8,3.0,-0.6000000000000001,20.6,11.23736559139785,40.26,100.0,80.94532258064515,8,357,188.7970430107527,0.1,2.9000000000000004,0.6862903225806452,3.3000000000000003,26.5,14.767204301075273,2018,Minnesota,Rochester,United States,43.1656,-77.6114,31.0,69.0,52.227258064516136,38.0,80.0,58.580967741935495,0.3,9.5,2.251608741935484
5,6,65561,181266,44031,252706,0,9,3.0,5.800000000000001,22.8,13.22125,32.33,100.0,75.32743055555555,2,359,199.86944444444444,0.1,1.9,0.6638888888888889,8.8,29.200000000000003,18.126527777777778,2018,Minnesota,Rochester,United States,43.1656,-77.6114,42.0,73.0,55.79825,48.0,85.0,64.62774999999999,0.3,6.2,2.178113222222222
6,7,59296,209457,44117,250530,0,9,3.0,8.0,24.200000000000003,16.974327956989246,32.67,100.0,69.28470430107527,1,356,192.8938172043011,0.1,2.1,0.7528225806451613,15.1,33.300000000000004,23.62956989247312,2018,Minnesota,Rochester,United States,43.1656,-77.6114,46.0,76.0,62.55379032258064,59.0,92.0,74.53322580645161,0.3,6.9,2.469890435483871
7,8,66005,152151,50168,213036,0,9,3.0,12.0,23.6,18.769220430107527,36.18,100.0,77.81375,7,355,193.5120967741936,0.1,2.1,0.8794354838709678,15.4,32.0,23.204973118279568,2018,Minnesota,Rochester,United States,43.1656,-77.6114,54.0,74.0,65.78459677419355,60.0,90.0,73.76895161290322,0.3,6.9,2.885287112903226
8,9,49625,115036,29809,169778,0,9,3.0,5.0,23.3,15.445555555555558,43.11,100.0,77.51841666666667,2,358,163.5847222222222,0.1,2.5,0.9065277777777778,9.4,32.300000000000004,19.795972222222225,2018,Minnesota,Rochester,United States,43.1656,-77.6114,41.0,74.0,59.80200000000001,49.0,90.0,67.63275000000002,0.3,8.2,2.9741725944444446
9,10,32028,61109,24366,127079,0,9,4.0,-3.5,21.4,7.340860215053764,46.7,100.0,81.2059005376344,2,351,213.3897849462365,0.2,2.9000000000000004,1.2506720430107527,2.2,26.700000000000003,10.608467741935485,2018,Minnesota,Rochester,United States,43.1656,-77.6114,26.0,71.0,45.21354838709678,36.0,80.0,51.09524193548387,0.7,9.5,4.103254865591398
10,11,22555,35907,20318,85304,0,9,5.0,-13.7,10.4,-0.2877777777777777,56.29,100.0,84.74963888888888,11,358,221.5013888888889,0.1,3.1,1.4416666666666669,-10.8,15.7,2.092638888888889,2018,Minnesota,Rochester,United States,43.1656,-77.6114,7.0,51.0,31.482,13.0,60.0,35.76675,0.3,10.2,4.729877666666668
11,12,19771,31135,17269,69586,0,9,4.0,-14.0,9.2,-1.8331989247311828,62.65,100.0,86.34162634408602,12,350,224.9005376344086,0.3,3.6,1.5044354838709677,-12.7,10.0,0.2220430107526882,2018,Minnesota,Rochester,United States,43.1656,-77.6114,7.0,49.0,28.70024193548387,9.0,50.0,32.39967741935484,1.0,11.8,4.935812112903226
