,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,19303,56446,16350,76495,0,9,4.0,-30.4,1.6,-13.435349462365592,55.63,100.0,81.37706989247312,3,357,222.3548387096774,0.3,8.0,3.374193548387097,-26.9,4.2,-10.82284946236559,2018,Minnesota,Saint Paul,United States,44.9437,-93.0943,-23.0,35.0,7.816370967741935,-16.0,40.0,12.518870967741936,1.0,26.2,11.070189161290324
1,2,24728,85546,20678,105036,0,8,3.0,-27.200000000000003,1.1,-13.598214285714286,51.51,100.0,79.29497023809525,1,358,214.76934523809524,0.3,10.7,3.1266369047619045,-24.4,6.4,-10.60922619047619,2018,Minnesota,Saint Paul,United States,44.9437,-93.0943,-17.0,34.0,7.523214285714285,-12.0,44.0,12.903392857142856,1.0,35.1,10.257995422619048
2,3,43436,128926,32875,168748,0,9,3.0,-15.5,3.5,-5.044220430107527,33.75,100.0,75.30954301075269,3,359,184.9583333333333,0.2,10.4,2.943548387096774,-13.3,11.6,-0.905510752688172,2018,Minnesota,Saint Paul,United States,44.9437,-93.0943,4.0,38.0,22.920403225806453,8.0,53.0,30.37008064516129,0.7,34.1,9.65731129032258
3,4,57671,173958,47754,211927,0,9,3.0,-17.7,15.0,-3.1476388888888893,30.89,100.0,71.78883333333333,0,359,186.45,0.2,7.800000000000001,2.5694444444444446,-15.1,25.6,1.9854166666666664,2018,Minnesota,Saint Paul,United States,44.9437,-93.0943,0.0,59.0,26.33425,5.0,78.0,35.57375,0.7,25.6,8.429936111111111
4,5,64021,177074,47613,242734,0,9,3.0,-2.2,23.6,12.264381720430109,32.46,100.0,72.41412634408603,2,357,177.0241935483871,0.2,4.800000000000001,1.785215053763441,4.0,34.2,17.961827956989247,2018,Minnesota,Saint Paul,United States,44.9437,-93.0943,28.0,74.0,54.0758870967742,39.0,94.0,64.33129032258064,0.7,15.7,5.857004956989248
5,6,74687,153248,48999,246642,0,9,4.0,7.5,26.200000000000003,16.99597222222222,36.51,100.0,79.83651388888889,2,357,158.22083333333333,0.4,4.800000000000001,1.9476388888888887,9.2,33.0,20.94888888888889,2018,Minnesota,Saint Paul,United States,44.9437,-93.0943,46.0,79.0,62.59275,49.0,91.0,69.708,1.3,15.7,6.389891572222221
6,7,57326,192351,42886,249453,0,9,2.0,9.7,25.4,16.968682795698925,43.23,100.0,74.90201612903226,1,358,202.3252688172043,0.3,5.1000000000000005,1.6432795698924734,10.2,31.4,22.04314516129033,2018,Minnesota,Saint Paul,United States,44.9437,-93.0943,49.0,78.0,62.54362903225807,50.0,89.0,71.67766129032259,1.0,16.7,5.391337344086022
7,8,63390,148035,57848,207677,0,9,3.0,8.0,24.700000000000003,16.841532258064518,31.27,100.0,76.618938172043,3,360,195.5,0.2,3.6,1.5208333333333333,9.6,32.6,21.70470430107527,2018,Minnesota,Saint Paul,United States,44.9437,-93.0943,46.0,76.0,62.31475806451613,49.0,91.0,71.06846774193548,0.7,11.8,4.989610833333333
8,9,37122,110582,32285,164522,0,9,3.0,-4.1000000000000005,23.700000000000003,12.660277777777775,37.31,100.0,78.69876388888889,3,357,170.09166666666667,0.2,4.800000000000001,1.846111111111112,-0.8,32.1,16.807083333333335,2018,Minnesota,Saint Paul,United States,44.9437,-93.0943,25.0,75.0,54.7885,31.0,90.0,62.252750000000006,0.7,15.7,6.056795177777779
9,10,25786,68318,20591,123740,0,8,3.0,-9.1,22.700000000000003,2.4958333333333336,37.74,100.0,81.20319892473118,5,359,213.3467741935484,0.2,6.0,2.0556451612903226,-4.5,24.4,5.791263440860215,2018,Minnesota,Saint Paul,United States,44.9437,-93.0943,16.0,73.0,36.4925,24.0,76.0,42.42427419354839,0.7,19.7,6.744242870967742
10,11,20654,43238,17273,79532,0,8,4.0,-17.7,3.6,-6.854583333333333,49.38,100.0,79.8338611111111,2,360,218.24166666666667,0.3,5.0,2.3361111111111112,-14.2,9.3,-3.7206944444444447,2018,Minnesota,Saint Paul,United States,44.9437,-93.0943,0.0,38.0,19.66175,6.0,49.0,25.30275,1.0,16.4,7.664406777777778
11,12,17606,33613,14575,63792,0,8,4.0,-29.700000000000003,2.0,-7.84758064516129,56.46,100.0,86.21208333333334,2,360,203.2258064516129,0.2,7.1000000000000005,2.414381720430108,-26.6,4.2,-5.842876344086022,2018,Minnesota,Saint Paul,United States,44.9437,-93.0943,-21.0,36.0,17.874354838709678,-16.0,40.0,21.48282258064516,0.7,23.3,7.9212001236559155
