,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24361,52826,22274,95273,0,9,5.0,-20,12,-3.2231182795698925,31.7,100.0,77.74408602150537,0.4,358.8,207.73991935483872,0.4,10.3,3.1723118279569897,-14,19,0.4059139784946236,2017,Missouri,Columbia,United States,38.9516,-92.3286,-4.0,54.0,26.198387096774194,7.0,66.0,32.730645161290326,1.3,33.8,10.40784753763441
1,2,32381,84368,23996,118382,0,9,4.0,-14,16,1.0029761904761905,25.3,100.0,72.28169642857144,0.1,359.5,211.37693452380955,0.5,8.3,3.223363095238095,-7,24,6.2961309523809526,2017,Missouri,Columbia,United States,38.9516,-92.3286,7.0,61.0,33.80535714285714,19.0,75.0,43.333035714285714,1.6,27.2,10.575338577380952
2,3,46670,108577,41792,173478,0,9,4.0,-14,17,1.98252688172043,19.63,100.0,69.82685483870968,2.3000000000000003,359.6,164.82500000000002,0.2,9.1,3.5280913978494626,-7,26,8.047043010752688,2017,Missouri,Columbia,United States,38.9516,-92.3286,7.0,63.0,35.568548387096776,19.0,79.0,46.48467741935484,0.7,29.9,11.57510338172043
3,4,60275,145870,50223,208970,0,9,5.0,-2,20,9.004166666666666,26.74,100.0,78.919125,1.0,356.20000000000005,175.09652777777777,0.4,8.5,3.174444444444444,0,28,13.713888888888889,2017,Missouri,Columbia,United States,38.9516,-92.3286,28.0,68.0,48.2075,32.0,82.0,56.685,1.3,27.9,10.41484431111111
4,5,67380,198580,50246,248957,0,9,3.0,3,23,12.783602150537634,40.78,100.0,81.1488306451613,1.6,359.8,195.76451612903227,0.3,8.1,2.666263440860216,4,28,17.001344086021504,2017,Missouri,Columbia,United States,38.9516,-92.3286,37.0,73.0,55.01048387096775,39.0,82.0,62.60241935483871,1.0,26.6,8.74758374731183
5,6,63802,220336,46309,250875,0,9,3.0,5,25,17.305555555555557,28.43,100.0,75.75018055555554,1.1,353.1,193.5093055555556,0.2,6.4,2.451388888888889,12,33,22.988888888888887,2017,Missouri,Columbia,United States,38.9516,-92.3286,41.0,77.0,63.150000000000006,54.0,91.0,73.38,0.7,21.0,8.042614722222222
6,7,65006,221697,47824,248077,0,9,3.0,11,26,19.440860215053764,31.92,100.0,72.70973118279571,0.7000000000000001,359.0,165.67513440860216,0.1,5.2,1.873924731182796,14,39,26.01344086021505,2017,Missouri,Columbia,United States,38.9516,-92.3286,52.0,79.0,66.99354838709678,57.0,102.0,78.82419354838709,0.3,17.1,6.148047215053764
7,8,68582,183602,48300,222328,0,9,3.0,6,25,15.940860215053764,27.21,100.0,73.04987903225806,0.0,358.8,164.5380376344086,0.3,4.7,1.891532258064516,12,33,22.301075268817204,2017,Missouri,Columbia,United States,38.9516,-92.3286,43.0,77.0,60.693548387096776,54.0,91.0,72.14193548387097,1.0,15.4,6.205814693548387
8,9,49367,157219,42084,176025,0,9,2.0,1,22,12.97222222222222,21.28,100.0,64.95547222222223,1.9,359.90000000000003,159.49069444444444,0.3,5.4,1.973888888888889,8,34,21.397222222222226,2017,Missouri,Columbia,United States,38.9516,-92.3286,34.0,72.0,55.35,46.0,93.0,70.51500000000001,1.0,17.7,6.476013622222222
9,10,35813,99199,27648,140620,0,8,3.0,-7,20,8.385752688172044,25.89,100.0,73.20896505376344,0.3,356.70000000000005,216.9013440860215,0.3,6.800000000000001,2.8295698924731187,-3,31,14.10483870967742,2017,Missouri,Columbia,United States,38.9516,-92.3286,19.0,68.0,47.09435483870968,27.0,88.0,57.38870967741936,1.0,22.3,9.283366086021507
10,11,24128,71938,23323,98110,0,8,4.0,-12,15,1.3555555555555556,27.81,100.0,72.55029166666667,2.0,359.40000000000003,187.24125,0.2,8.0,2.708055555555556,-6,21,6.620833333333334,2017,Missouri,Columbia,United States,38.9516,-92.3286,10.0,59.0,34.44,21.0,70.0,43.9175,0.7,26.2,8.88469698888889
11,12,22464,65264,20547,85316,0,9,4.0,-23,16,-5.133064516129032,30.56,100.0,68.14916666666667,0.2,359.3,216.0354838709677,0.2,8.1,2.980913978494624,-15,19,0.271505376344086,2017,Missouri,Columbia,United States,38.9516,-92.3286,-9.0,61.0,22.76048387096774,5.0,66.0,32.48870967741936,0.7,26.6,9.779901817204305
