,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25245,64145,21521,98496,0,12,4.0,-28.6,12.6,-5.436424731182796,43.66,100.0,83.70783602150537,1,359,216.70698924731184,0.2,9.5,3.4696236559139786,-21.4,14.7,-2.902284946236559,2019,Missouri,Independence,United States,39.0797,-94.4067,-19.0,55.0,22.214435483870968,-7.0,58.0,26.77588709677419,0.7,31.2,11.383280075268818
1,2,31608,79567,26969,122120,0,8,4.0,-21.700000000000003,13.2,-5.035714285714286,51.51,100.0,82.5593005952381,2,358,176.28869047619048,0.2,9.6,3.7907738095238095,-17.6,18.0,-2.3614583333333337,2019,Missouri,Independence,United States,39.0797,-94.4067,-7.0,56.0,22.935714285714283,0.0,64.0,27.749375,0.7,31.5,12.436922345238097
2,3,40900,114589,35123,179833,0,9,4.0,-21.3,15.9,0.1478494623655913,41.33,100.0,79.06104838709678,2,360,194.05376344086025,0.3,10.2,3.690725806451613,-18.7,18.9,3.774731182795699,2019,Missouri,Independence,United States,39.0797,-94.4067,-6.0,61.0,32.266129032258064,-2.0,66.0,38.79451612903226,1.0,33.5,12.10868085483871
3,4,55981,154914,42879,213325,0,9,4.0,-4.7,20.3,8.787083333333333,33.8,100.0,76.97844444444445,1,358,187.68472222222223,0.5,8.6,3.588055555555556,-2.4000000000000004,26.1,13.198055555555555,2019,Missouri,Independence,United States,39.0797,-94.4067,24.0,69.0,47.81675,28.0,79.0,55.7565,1.6,28.2,11.77183618888889
4,5,67996,151867,52066,246025,0,9,4.0,3.1,24.700000000000003,14.818817204301077,51.870000000000005,100.0,85.67537634408603,2,354,185.1424731182796,0.2,9.0,3.016532258064516,4.0,28.9,17.49986559139785,2019,Missouri,Independence,United States,39.0797,-94.4067,38.0,76.0,58.673870967741934,39.0,84.0,63.49975806451613,0.7,29.5,9.896759693548388
5,6,69904,202202,45623,251112,0,9,3.0,7.9,26.700000000000003,19.501527777777778,45.09,100.0,84.824875,1,356,195.43472222222223,0.4,6.800000000000001,2.481666666666667,9.3,30.700000000000003,22.447777777777777,2019,Missouri,Independence,United States,39.0797,-94.4067,46.0,80.0,67.10275,49.0,87.0,72.406,1.3,22.3,8.141951266666668
6,7,61596,213485,45361,250115,0,9,2.0,12.9,28.0,21.978629032258063,57.34,100.0,85.53467741935484,0,358,165.33467741935485,0.3,5.5,2.1920698924731186,15.0,32.0,24.758736559139784,2019,Missouri,Independence,United States,39.0797,-94.4067,55.0,82.0,71.56153225806452,59.0,90.0,76.56572580645161,1.0,18.0,7.191830586021506
7,8,63131,164990,47476,220810,0,9,3.0,14.0,27.6,21.195967741935487,56.43,100.0,86.80678763440861,1,357,173.0188172043011,0.4,5.4,2.102956989247312,14.2,32.9,23.709005376344088,2019,Missouri,Independence,United States,39.0797,-94.4067,57.0,82.0,70.15274193548387,58.0,91.0,74.67620967741937,1.3,17.7,6.899465408602151
8,9,46760,145179,36482,176801,0,9,2.0,11.2,26.4,20.42875,52.33,100.0,85.82722222222222,10,352,170.7236111111111,0.3,6.6000000000000005,2.752361111111111,12.0,31.4,23.13888888888889,2019,Missouri,Independence,United States,39.0797,-94.4067,52.0,80.0,68.77175,54.0,89.0,73.65,1.0,21.7,9.030056427777778
9,10,30279,97867,24871,144888,0,9,2.0,-7.4,24.5,6.692204301075269,37.35,100.0,80.22862903225806,3,358,197.1599462365592,0.4,8.0,3.1358870967741934,-6.300000000000001,29.4,10.31491935483871,2019,Missouri,Independence,United States,39.0797,-94.4067,19.0,76.0,44.045967741935485,21.0,85.0,50.56685483870967,1.3,26.2,10.288343822580645
10,11,21727,76386,18719,102516,0,8,3.0,-16.7,13.5,0.2206944444444445,39.82,100.0,80.51686111111111,2,358,194.29861111111111,0.6000000000000001,8.700000000000001,3.157638888888889,-10.5,17.8,3.5418055555555554,2019,Missouri,Independence,United States,39.0797,-94.4067,2.0,56.0,32.39725,13.0,64.0,38.37525,2.0,28.5,10.359707972222225
11,12,20299,58885,18101,86303,0,9,3.0,-10.5,13.1,-0.417741935483871,44.21,100.0,85.75092741935484,2,358,213.5833333333333,0.5,8.4,3.444086021505377,-7.5,16.6,1.8815860215053768,2019,Missouri,Independence,United States,39.0797,-94.4067,13.0,56.0,31.24806451612903,18.0,62.0,35.38685483870968,1.6,27.6,11.2994951827957
