,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23144,71397,19501,98225,0,9,3.0,-25.8,12.5,-7.751478494623656,28.96,100.0,71.83791666666667,2,358,215.35887096774192,0.3,10.4,3.793145161290323,-21.1,16.0,-3.029704301075269,2018,Missouri,Kansas City,United States,39.0997,-94.5783,-14.0,54.0,18.04733870967742,-6.0,61.0,26.54653225806452,1.0,34.1,12.444702370967743
1,2,29862,76907,23806,120883,0,9,4.0,-18.6,14.2,-5.363095238095238,25.12,100.0,71.0110267857143,1,359,193.3883928571429,0.4,9.5,3.752678571428572,-13.7,18.3,-0.2913690476190477,2018,Missouri,Kansas City,United States,39.0997,-94.5783,-1.0,58.0,22.34642857142857,7.0,65.0,31.47553571428572,1.3,31.2,12.311937964285717
2,3,39938,107187,35149,178480,0,9,3.0,-8.6,13.7,0.6486559139784945,24.34,100.0,72.60573924731183,2,359,189.0443548387097,0.4,10.7,3.8786290322580648,-5.7,22.5,5.878225806451613,2018,Missouri,Kansas City,United States,39.0997,-94.5783,17.0,57.0,33.16758064516129,22.0,72.0,42.5808064516129,1.3,35.1,12.72516127419355
3,4,56126,146576,50205,213809,0,9,3.0,-13.4,19.200000000000003,2.1420833333333333,25.93,100.0,67.1122361111111,5,358,170.97916666666666,0.4,9.0,3.851944444444445,-7.300000000000001,26.700000000000003,8.65,2018,Missouri,Kansas City,United States,39.0997,-94.5783,8.0,67.0,35.85575,19.0,80.0,47.57,1.3,29.5,12.637613411111111
4,5,67390,191511,50202,244305,0,9,4.0,8.5,23.1,17.535618279569892,31.41,100.0,73.14936827956988,5,357,186.05241935483872,0.2,7.0,2.635752688172043,11.7,34.7,23.304166666666667,2018,Missouri,Kansas City,United States,39.0997,-94.5783,47.0,74.0,63.564112903225805,53.0,94.0,73.9475,0.7,23.0,8.647482849462365
5,6,71507,195125,48402,247840,0,9,3.0,8.4,25.6,19.69611111111111,27.06,100.0,69.06508333333333,7,356,200.15972222222223,0.2,6.800000000000001,2.762916666666667,13.7,37.8,26.57638888888889,2018,Missouri,Kansas City,United States,39.0997,-94.5783,47.0,78.0,67.453,57.0,100.0,79.8375,0.7,22.3,9.064687516666668
6,7,62065,204820,47227,249480,0,9,2.0,7.9,24.5,18.255645161290325,21.68,100.0,61.553736559139786,1,359,149.2002688172043,0.2,4.6000000000000005,1.910215053763441,15.9,39.1,27.462365591397848,2018,Missouri,Kansas City,United States,39.0997,-94.5783,46.0,76.0,64.8601612903226,61.0,102.0,81.43225806451613,0.7,15.1,6.267109956989247
7,8,63384,171097,51294,218860,0,9,2.0,9.7,25.3,18.75860215053764,21.8,100.0,67.66380376344087,0,354,193.0752688172043,0.3,8.200000000000001,2.816935483870968,16.5,37.0,26.23911290322581,2018,Missouri,Kansas City,United States,39.0997,-94.5783,49.0,78.0,65.76548387096776,62.0,99.0,79.23040322580646,1.0,26.9,9.241914612903226
8,9,44864,132514,32254,180088,0,8,2.0,1.0,24.1,16.623194444444444,25.51,100.0,75.38322222222222,5,357,156.38055555555556,0.2,6.800000000000001,2.587916666666667,6.6000000000000005,34.6,21.775694444444444,2018,Missouri,Kansas City,United States,39.0997,-94.5783,34.0,75.0,61.92175,44.0,94.0,71.19624999999999,0.7,22.3,8.490540516666668
9,10,31627,93933,23608,143187,0,9,3.0,-3.7,22.6,8.767876344086021,33.55,100.0,79.63993279569893,1,357,190.869623655914,0.4,8.700000000000001,2.794758064516129,-2.0,32.300000000000004,12.631048387096774,2018,Missouri,Kansas City,United States,39.0997,-94.5783,25.0,73.0,47.78217741935484,28.0,90.0,54.73588709677419,1.3,28.5,9.169154048387098
10,11,24882,67276,20620,101856,0,9,3.0,-13.3,10.8,-1.1788888888888889,39.98,100.0,82.02384722222222,1,358,199.42222222222225,0.2,10.4,2.8815277777777784,-10.0,15.5,1.806805555555556,2018,Missouri,Kansas City,United States,39.0997,-94.5783,8.0,51.0,29.878,14.0,60.0,35.252250000000004,0.7,34.1,9.453831594444448
11,12,19030,55880,17355,86232,0,9,3.0,-24.1,10.9,-1.933736559139785,35.44,100.0,82.91752688172043,1,359,205.2983870967742,0.4,9.3,3.093279569892473,-18.6,14.9,0.8431451612903225,2018,Missouri,Kansas City,United States,39.0997,-94.5783,-11.0,52.0,28.519274193548387,-1.0,59.0,33.51766129032258,1.3,30.5,10.148555344086022
