,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24334,61019,21892,104031,0,9,3.0,-11.9,16.1,-0.5693548387096774,40.92,100.0,88.7193817204301,3,357,201.32123655913972,0.3,5.5,2.058870967741936,-11.1,16.8,1.2240591397849463,2020,Missouri,Springfield,United States,37.195,-93.2861,11.0,61.0,30.975161290322585,12.0,62.0,34.2033064516129,1.0,18.0,6.754826225806454
1,2,31863,64979,24109,125687,0,9,4.0,-16.7,13.4,-0.2910714285714286,44.39,100.0,86.77938988095238,2,359,189.67261904761904,0.6000000000000001,4.800000000000001,2.179761904761905,-11.6,17.3,1.8177083333333333,2020,Missouri,Springfield,United States,37.195,-93.2861,2.0,56.0,31.47607142857143,11.0,63.0,35.271875,2.0,15.7,7.151450047619049
2,3,46196,104963,32515,184856,0,9,4.0,-3.8,21.4,7.497715053763441,45.93,100.0,86.49819892473118,1,359,178.34543010752688,0.2,5.2,2.093817204301076,-3.7,24.9,9.869354838709675,2020,Missouri,Springfield,United States,37.195,-93.2861,25.0,71.0,45.4958870967742,25.0,77.0,49.76483870967742,0.7,17.1,6.869479236559142
3,4,54654,144291,43213,218018,0,9,3.0,-5.2,21.1,8.45263888888889,35.300000000000004,100.0,81.78108333333333,2,356,205.60694444444445,0.4,4.800000000000001,1.8930555555555555,-2.2,27.5,11.848055555555556,2020,Missouri,Springfield,United States,37.195,-93.2861,23.0,70.0,47.21475,28.0,82.0,53.3265,1.3,15.7,6.210812388888889
4,5,67266,158376,45859,251822,0,9,3.0,0.1,23.200000000000003,14.090456989247311,40.48,100.0,85.98930107526881,3,358,185.8736559139785,0.3,4.1000000000000005,1.6227150537634407,2.6,27.1,16.71559139784946,2020,Missouri,Springfield,United States,37.195,-93.2861,32.0,74.0,57.36282258064516,37.0,81.0,62.08806451612903,1.0,13.5,5.323868456989247
5,6,67161,210183,47339,249357,0,9,2.0,10.3,25.3,20.117916666666662,48.09,100.0,83.953,7,357,195.20555555555555,0.2,4.3,1.5123611111111113,12.3,31.8,23.247638888888886,2020,Missouri,Springfield,United States,37.195,-93.2861,51.0,78.0,68.21224999999998,54.0,89.0,73.84575,0.7,14.1,4.961814827777778
6,7,75334,189125,49725,246516,0,9,3.0,15.0,26.8,22.34905913978495,43.17,100.0,81.34399193548387,2,358,183.53360215053763,0.2,3.3000000000000003,1.2255376344086022,18.9,33.800000000000004,26.22419354838709,2020,Missouri,Springfield,United States,37.195,-93.2861,59.0,80.0,72.22830645161291,66.0,93.0,79.20354838709676,0.7,10.8,4.020792892473119
7,8,55992,188818,42641,226668,0,9,2.0,8.8,25.9,18.22459677419355,24.76,100.0,71.36998655913979,1,359,174.1008064516129,0.2,3.7,1.3602150537634408,12.7,35.800000000000004,24.69986559139785,2020,Missouri,Springfield,United States,37.195,-93.2861,48.0,79.0,64.8042741935484,55.0,96.0,76.45975806451614,0.7,12.1,4.462647956989247
8,9,51043,147773,42475,180720,0,9,2.0,2.8000000000000003,23.8,14.883888888888889,22.53,100.0,72.53319444444445,2,355,162.4625,0.3,5.300000000000001,1.3890277777777778,7.0,33.2,20.95625,2020,Missouri,Springfield,United States,37.195,-93.2861,37.0,75.0,58.791,45.0,92.0,69.72125,1.0,17.4,4.557177894444444
9,10,27739,105227,28529,147922,0,9,2.0,-7.4,19.0,6.885483870967742,15.12,100.0,72.38381720430107,1,358,168.76075268817203,0.4,4.800000000000001,1.705510752688172,-0.7000000000000001,30.700000000000003,12.880779569892477,2020,Missouri,Springfield,United States,37.195,-93.2861,19.0,66.0,44.39387096774193,31.0,87.0,55.18540322580645,1.3,15.7,5.595507897849463
10,11,19882,84456,18557,108178,0,9,2.0,-9.4,18.5,5.24875,34.33,100.0,80.88411111111111,2,357,188.78472222222223,0.3,4.5,1.865555555555556,-5.7,23.200000000000003,8.75388888888889,2020,Missouri,Springfield,United States,37.195,-93.2861,15.0,65.0,41.44775,22.0,74.0,47.757000000000005,1.0,14.8,6.12058928888889
11,12,18684,67371,17434,94386,0,9,2.0,-15.9,12.7,-0.5893817204301075,37.55,100.0,84.6667876344086,0,357,221.30241935483872,0.4,4.9,1.761290322580645,-9.2,18.4,1.9719086021505368,2020,Missouri,Springfield,United States,37.195,-93.2861,3.0,55.0,30.939112903225805,15.0,65.0,35.549435483870965,1.3,16.1,5.778511741935484
