,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,30941,100593,23933,130830,0,9,3.0,-7.800000000000001,18.4,4.986693548387096,44.66,100.0,79.11865591397849,1,359,150.00537634408602,0.5,7.6,3.6440860215053767,-5.2,19.8,8.61478494623656,2018,Mississippi,Biloxi,United States,30.4119,-88.9278,18.0,65.0,40.976048387096775,23.0,68.0,47.50661290322581,1.6,24.9,11.9556631827957
1,2,41909,92307,27819,140094,0,9,3.0,-0.1,21.9,16.171875,48.63,100.0,91.26715773809524,3,353,137.66071428571428,1.0,7.1000000000000005,3.301041666666667,5.1000000000000005,24.8,17.70267857142857,2018,Mississippi,Biloxi,United States,30.4119,-88.9278,32.0,71.0,61.109375,41.0,77.0,63.86482142857143,3.3,23.3,10.830189541666668
2,3,47766,150704,39489,199027,0,9,3.0,2.2,21.700000000000003,13.03494623655914,39.53,100.0,79.49989247311828,2,359,190.6733870967742,0.5,7.4,3.5283602150537634,6.9,25.1,16.918817204301074,2018,Mississippi,Biloxi,United States,30.4119,-88.9278,36.0,71.0,55.46290322580646,44.0,77.0,62.453870967741935,1.6,24.3,11.575985327956989
3,4,52533,187062,43192,224608,0,9,2.0,5.6000000000000005,22.5,14.795416666666668,43.37,100.0,79.41206944444444,1,357,190.42222222222225,0.5,7.9,3.3230555555555554,8.700000000000001,25.9,18.73513888888889,2018,Mississippi,Biloxi,United States,30.4119,-88.9278,42.0,72.0,58.63175,48.0,79.0,65.72325000000001,1.6,25.9,10.902413588888887
4,5,69913,210539,49360,245595,0,8,2.0,15.6,25.5,21.26532258064516,42.55,100.0,76.91540322580644,1,360,182.26612903225808,0.2,5.5,2.2885752688172043,18.3,32.2,25.924462365591395,2018,Mississippi,Biloxi,United States,30.4119,-88.9278,60.0,78.0,70.2775806451613,65.0,90.0,78.66403225806451,0.7,18.0,7.508449284946236
5,6,72770,188209,51645,240383,0,9,3.0,18.5,26.4,23.813333333333336,45.24,98.62,78.05223611111111,2,351,213.7805555555556,0.3,5.0,2.277638888888889,22.4,33.6,28.24569444444445,2018,Mississippi,Biloxi,United States,30.4119,-88.9278,65.0,80.0,74.864,72.0,92.0,82.84225,1.0,16.4,7.472568772222223
6,7,77050,185264,61022,239280,0,9,3.0,21.0,27.1,24.40967741935484,47.46,98.34,79.15747311827957,1,358,210.4717741935484,0.2,6.9,2.11747311827957,24.1,34.6,28.62513440860216,2018,Mississippi,Biloxi,United States,30.4119,-88.9278,70.0,81.0,75.93741935483871,75.0,94.0,83.52524193548388,0.7,22.6,6.9470905053763445
7,8,71896,169813,48708,225587,0,9,3.0,19.3,26.700000000000003,24.30120967741936,49.96,100.0,81.10202956989248,1,358,165.8938172043011,0.2,5.6000000000000005,2.3583333333333334,23.3,33.300000000000004,28.02190860215053,2018,Mississippi,Biloxi,United States,30.4119,-88.9278,67.0,80.0,75.74217741935485,74.0,92.0,82.43943548387097,0.7,18.4,7.737314333333334
8,9,56021,147736,35028,193489,0,9,3.0,21.6,26.4,24.31305555555556,51.35,96.92,81.39545833333334,2,357,159.09305555555557,0.3,9.9,2.410555555555556,24.3,33.7,27.94611111111111,2018,Mississippi,Biloxi,United States,30.4119,-88.9278,71.0,80.0,75.76350000000001,76.0,93.0,82.303,1.0,32.5,7.908647088888889
9,10,39873,141107,29901,166443,0,8,2.0,7.9,25.200000000000003,20.00981182795699,43.31,100.0,81.00498655913978,5,356,142.0268817204301,0.3,6.5,3.16747311827957,13.1,30.8,23.64368279569893,2018,Mississippi,Biloxi,United States,30.4119,-88.9278,46.0,77.0,68.0176612903226,56.0,87.0,74.55862903225807,1.0,21.3,10.391972505376344
10,11,33956,81531,26565,128901,0,9,4.0,1.0,23.700000000000003,12.293055555555556,47.32,100.0,82.17669444444445,0,357,183.5625,0.3,7.7,3.191666666666667,2.1,26.700000000000003,15.506388888888887,2018,Mississippi,Biloxi,United States,30.4119,-88.9278,34.0,75.0,54.1275,36.0,80.0,59.9115,1.0,25.3,10.471347666666666
11,12,29441,71880,25221,116340,0,9,4.0,-2.6,21.9,10.903629032258063,45.36,100.0,85.64705645161291,1,358,178.04032258064515,0.2,8.5,3.4396505376344084,0.6000000000000001,23.8,13.412096774193548,2018,Mississippi,Biloxi,United States,30.4119,-88.9278,27.0,71.0,51.62653225806452,33.0,75.0,56.14177419354839,0.7,27.9,11.284943069892472
