,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,30070,86788,24100,130552,0,9,3.0,-2.9000000000000004,19.200000000000003,8.23225806451613,48.11,100.0,82.43616935483871,1,358,187.74193548387092,0.3,4.9,1.9241935483870969,1.8,21.200000000000003,11.301478494623655,2019,Mississippi,Gulfport,United States,30.3698,-89.0915,27.0,67.0,46.81806451612904,35.0,70.0,52.34266129032258,1.0,16.1,6.3129711612903225
1,2,39726,68523,30587,139718,0,9,4.0,2.2,21.4,14.1625,45.73,100.0,89.09251488095238,2,358,144.08333333333334,0.3,4.0,1.8760416666666668,6.4,23.8,16.10892857142857,2019,Mississippi,Gulfport,United States,30.3698,-89.0915,36.0,71.0,57.4925,44.0,75.0,60.99607142857143,1.0,13.1,6.154992541666667
2,3,55443,139271,38263,198379,0,8,4.0,-2.0,21.3,12.087903225806452,41.13,100.0,81.68330645161289,1,359,164.93951612903226,0.3,4.0,1.9330645161290323,1.8,24.4,15.458602150537637,2019,Mississippi,Gulfport,United States,30.3698,-89.0915,28.0,70.0,53.75822580645161,35.0,76.0,59.825483870967744,1.0,13.1,6.342075387096775
3,4,56162,173519,46371,223898,0,9,3.0,5.0,22.9,16.044583333333335,41.47,100.0,82.19783333333334,5,356,185.975,0.3,4.0,1.8811111111111112,8.6,27.1,19.46916666666667,2019,Mississippi,Gulfport,United States,30.3698,-89.0915,41.0,73.0,60.88025,47.0,81.0,67.0445,1.0,13.1,6.171624577777778
4,5,59533,205602,50230,246877,0,9,2.0,14.8,24.8,21.6114247311828,50.44,100.0,81.86426075268818,4,359,162.52956989247312,0.5,2.9000000000000004,1.699462365591398,18.2,32.0,25.20416666666667,2019,Mississippi,Gulfport,United States,30.3698,-89.0915,59.0,77.0,70.90056451612904,65.0,90.0,77.3675,1.6,9.5,5.575664107526882
5,6,74826,190702,55040,239625,0,9,3.0,17.6,26.700000000000003,23.50902777777777,44.72,99.65,78.53834722222223,1,358,193.32222222222225,0.3,4.1000000000000005,1.6236111111111111,21.1,34.0,27.863888888888887,2019,Mississippi,Gulfport,United States,30.3698,-89.0915,64.0,80.0,74.31625,70.0,93.0,82.155,1.0,13.5,5.326808277777777
6,7,69926,189420,53691,242964,0,9,3.0,19.700000000000003,26.700000000000003,23.96854838709677,43.27,98.22,78.75364247311828,3,354,192.31451612903223,0.2,5.2,1.6841397849462365,22.4,36.2,28.30456989247312,2019,Mississippi,Gulfport,United States,30.3698,-89.0915,67.0,80.0,75.1433870967742,72.0,97.0,82.94822580645162,0.7,17.1,5.52539317204301
7,8,64487,167942,50120,225260,0,9,3.0,20.1,27.200000000000003,24.67728494623656,42.76,98.07,79.50424731182797,3,358,198.7258064516129,0.2,2.3000000000000003,1.2625000000000002,23.4,35.5,28.853897849462363,2019,Mississippi,Gulfport,United States,30.3698,-89.0915,68.0,81.0,76.41911290322581,74.0,96.0,83.93701612903226,0.7,7.5,4.1420605
8,9,49156,178054,40063,194494,0,8,1.0,19.700000000000003,26.700000000000003,23.240694444444443,43.96,97.61,76.40083333333334,2,358,162.60833333333332,0.3,3.2,1.5779166666666669,22.9,35.0,28.078888888888887,2019,Mississippi,Gulfport,United States,30.3698,-89.0915,67.0,80.0,73.83324999999999,73.0,95.0,82.542,1.0,10.5,5.176892116666667
9,10,43123,118286,32861,165104,0,9,3.0,4.9,25.200000000000003,19.453897849462365,41.95,100.0,81.55813172043011,3,357,148.23924731182797,0.2,4.4,1.8147849462365595,7.2,33.300000000000004,23.02755376344086,2019,Mississippi,Gulfport,United States,30.3698,-89.0915,41.0,77.0,67.01701612903226,45.0,92.0,73.44959677419355,0.7,14.4,5.954019043010754
10,11,32041,109193,23806,132542,0,8,3.0,-1.8,22.4,10.952083333333333,48.78,100.0,81.50248611111111,1,359,147.72916666666666,0.3,4.800000000000001,1.838055555555556,-0.4,25.0,14.279861111111112,2019,Mississippi,Gulfport,United States,30.3698,-89.0915,29.0,72.0,51.71375,31.0,77.0,57.70375,1.0,15.7,6.03036618888889
11,12,31679,74347,23882,117247,0,11,3.0,0.8,20.5,11.333467741935484,44.53,100.0,87.84986559139786,1,356,163.98387096774192,0.3,4.2,1.9428763440860213,2.2,21.6,13.475672043010752,2019,Mississippi,Gulfport,United States,30.3698,-89.0915,33.0,69.0,52.40024193548388,36.0,71.0,56.25620967741935,1.0,13.8,6.374266424731182
