,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25962,72477,24314,124030,0,9,3.0,-7.0,22.1,9.098655913978495,39.64,100.0,88.13427419354838,5,359,181.4959677419355,0.0,0.9,0.0637096774193548,-3.6,24.5,11.228629032258064,2020,Mississippi,Hattiesburg,United States,31.3265,-89.2897,19.0,72.0,48.37758064516129,26.0,76.0,52.21153225806452,0.0,3.0,0.209021258064516
1,2,32615,80934,27557,140417,0,9,4.0,-2.7,21.9,9.54077380952381,39.38,100.0,87.36386904761905,2,358,194.9747023809524,0.0,0.9,0.025595238095238,-2.4000000000000004,24.4,11.867113095238096,2020,Mississippi,Hattiesburg,United States,31.3265,-89.2897,27.0,71.0,49.17339285714286,28.0,76.0,53.360803571428576,0.0,3.0,0.0839738809523806
2,3,61762,135589,39163,193179,0,8,4.0,0.4,22.4,16.06948924731183,39.58,100.0,86.61185483870968,1,350,182.18145161290323,0.0,0.8,0.0209677419354838,2.7,30.200000000000003,18.68131720430108,2020,Mississippi,Hattiesburg,United States,31.3265,-89.2897,33.0,72.0,60.92508064516129,37.0,86.0,65.62637096774193,0.0,2.6,0.0687918064516126
3,4,60598,174620,46046,221205,0,9,3.0,1.1,24.0,14.760694444444445,36.72,100.0,80.07443055555557,14,356,184.84583333333333,0.0,0.9,0.0695833333333333,5.2,30.700000000000003,18.80625,2020,Mississippi,Hattiesburg,United States,31.3265,-89.2897,34.0,75.0,58.56925,41.0,87.0,65.85125,0.0,3.0,0.2282917833333332
4,5,67635,199453,49517,248157,0,9,3.0,5.2,25.3,17.940188172043012,39.14,100.0,81.53385752688172,3,354,181.93951612903223,0.0,0.9,0.0413978494623655,8.9,31.6,21.75739247311828,2020,Mississippi,Hattiesburg,United States,31.3265,-89.2897,41.0,78.0,64.29233870967742,48.0,89.0,71.1633064516129,0.0,3.0,0.1358197204301072
5,6,69001,196606,52256,242390,0,9,3.0,15.6,26.5,21.852222222222224,39.81,100.0,81.69405555555555,7,351,177.40555555555557,0.0,0.6000000000000001,0.0313888888888888,17.400000000000002,34.300000000000004,25.799444444444447,2020,Mississippi,Hattiesburg,United States,31.3265,-89.2897,60.0,80.0,71.334,63.0,94.0,78.43900000000001,0.0,2.0,0.1029819222222219
6,7,71887,179765,54661,241891,0,9,3.0,18.4,27.6,24.00215053763441,35.78,100.0,83.57354838709678,4,355,172.66397849462365,0.0,0.7000000000000001,0.0454301075268817,22.200000000000003,37.3,27.5252688172043,2020,Mississippi,Hattiesburg,United States,31.3265,-89.2897,65.0,82.0,75.20387096774195,72.0,99.0,81.54548387096774,0.0,2.3,0.1490489139784945
7,8,68496,178325,49961,225537,0,9,3.0,16.5,27.9,22.90282258064516,31.21,100.0,80.51314516129032,12,355,191.04032258064515,0.0,0.7000000000000001,0.0489247311827956,19.5,37.8,27.27916666666667,2020,Mississippi,Hattiesburg,United States,31.3265,-89.2897,62.0,82.0,73.22508064516128,67.0,100.0,81.1025,0.0,2.3,0.1605142150537631
8,9,53266,137732,39787,191315,0,9,3.0,8.8,26.5,20.372222222222224,37.04,100.0,82.37302777777778,16,350,177.1027777777778,0.0,0.7000000000000001,0.0325,11.1,35.1,24.019722222222224,2020,Mississippi,Hattiesburg,United States,31.3265,-89.2897,48.0,80.0,68.67,52.0,95.0,75.2355,0.0,2.3,0.1066273
9,10,38972,130953,30914,164367,0,9,1.0,2.2,25.200000000000003,16.08212365591398,29.2,100.0,80.74172043010753,3,360,172.69758064516128,0.0,0.9,0.0634408602150537,5.0,31.6,20.05040322580645,2020,Mississippi,Hattiesburg,United States,31.3265,-89.2897,36.0,77.0,60.947822580645166,41.0,89.0,68.09072580645162,0.0,3.0,0.2081393118279567
10,11,26373,101029,22087,127697,0,8,2.0,-5.1000000000000005,24.1,11.752083333333331,36.6,100.0,82.59848611111111,17,355,162.69166666666666,0.0,1.0,0.0826388888888889,-1.5,28.5,15.11125,2020,Mississippi,Hattiesburg,United States,31.3265,-89.2897,23.0,75.0,53.15375,29.0,83.0,59.20025,0.0,3.3,0.2711249722222222
11,12,24693,89372,20692,116901,0,9,2.0,-7.5,20.0,6.123655913978495,36.25,100.0,85.8704435483871,2,360,196.8534946236559,0.0,1.1,0.0961021505376344,-4.3,23.4,8.690591397849463,2020,Mississippi,Hattiesburg,United States,31.3265,-89.2897,18.0,68.0,43.02258064516129,24.0,74.0,47.64306451612903,0.0,3.6,0.3152957795698924
