,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24813,89164,20715,125519,0,9,3.0,-16.7,18.6,-0.4811827956989247,27.88,100.0,74.33565860215054,1,359,164.2029569892473,0.2,2.5,0.9946236559139784,-10.4,21.4,4.251612903225807,2018,Mississippi,Jackson,United States,32.2989,-90.1847,2.0,65.0,31.13387096774193,13.0,71.0,39.652903225806455,0.7,8.2,3.263201075268817
1,2,36991,70806,25802,136019,0,9,4.0,-8.9,22.200000000000003,11.85014880952381,30.57,100.0,88.10220238095238,0,359,163.52232142857142,0.2,2.2,0.9873511904761904,-2.0,27.200000000000003,14.027232142857144,2018,Mississippi,Jackson,United States,32.2989,-90.1847,16.0,72.0,53.33026785714286,28.0,81.0,57.24901785714286,0.7,7.2,3.2393412797619043
2,3,43402,142918,33721,196718,0,9,3.0,-1.7000000000000002,21.5,10.551478494623655,37.7,100.0,82.4226747311828,1,358,202.244623655914,0.2,2.4000000000000004,0.9806451612903226,1.3,26.200000000000003,13.939381720430108,2018,Mississippi,Jackson,United States,32.2989,-90.1847,29.0,71.0,50.99266129032258,34.0,79.0,57.0908870967742,0.7,7.9,3.2173398709677423
3,4,52972,174240,42367,223535,0,9,2.0,0.0,22.0,11.45152777777778,38.79,100.0,80.27706944444444,3,359,202.84583333333333,0.2,2.6,0.9988888888888888,1.3,27.3,15.327916666666669,2018,Mississippi,Jackson,United States,32.2989,-90.1847,32.0,72.0,52.612750000000005,34.0,81.0,59.590250000000005,0.7,8.5,3.277194622222222
4,5,72589,205290,49417,245352,0,9,2.0,11.7,25.700000000000003,20.130107526881723,42.72,100.0,79.28817204301076,1,358,199.90456989247312,0.1,1.4,0.6228494623655915,11.9,33.9,24.422983870967744,2018,Mississippi,Jackson,United States,32.2989,-90.1847,53.0,78.0,68.23419354838711,53.0,93.0,75.96137096774194,0.3,4.6,2.043469430107527
5,6,72993,196587,51080,242918,0,9,2.0,15.9,25.8,22.175972222222224,36.35,100.0,76.03054166666666,2,356,190.99027777777772,0.1,1.6,0.6483333333333333,17.400000000000002,36.7,27.39555555555556,2018,Mississippi,Jackson,United States,32.2989,-90.1847,61.0,78.0,71.91675000000001,63.0,98.0,81.31200000000001,0.3,5.2,2.127077933333333
6,7,85093,187661,62764,240070,0,9,3.0,12.6,26.6,22.23897849462365,23.9,100.0,72.92659946236559,4,358,172.26075268817203,0.1,1.6,0.5961021505376344,20.9,37.6,28.44274193548388,2018,Mississippi,Jackson,United States,32.2989,-90.1847,55.0,80.0,72.03016129032258,70.0,100.0,83.19693548387099,0.3,5.2,1.9557157795698925
7,8,75107,183208,51894,224231,0,9,3.0,14.9,25.5,21.818145161290325,28.8,100.0,74.61451612903225,1,357,183.8924731182796,0.1,1.5,0.6724462365591398,18.5,38.7,27.618279569892472,2018,Mississippi,Jackson,United States,32.2989,-90.1847,59.0,78.0,71.27266129032259,65.0,102.0,81.71290322580646,0.3,4.9,2.206188510752688
8,9,56566,134110,35034,190301,0,9,3.0,16.2,25.6,22.13875,29.97,100.0,80.225875,1,359,136.2875,0.1,1.8,0.6883333333333334,16.8,36.8,26.42888888888889,2018,Mississippi,Jackson,United States,32.2989,-90.1847,61.0,78.0,71.84975,62.0,98.0,79.572,0.3,5.9,2.258311533333333
9,10,42602,122289,26969,162399,0,9,2.0,-2.6,24.200000000000003,15.36975806451613,24.25,100.0,75.75520161290324,1,357,151.08333333333334,0.2,1.9,0.7899193548387098,6.7,33.5,20.47594086021505,2018,Mississippi,Jackson,United States,32.2989,-90.1847,27.0,76.0,59.66556451612904,44.0,92.0,68.85669354838709,0.7,6.2,2.5915990161290328
10,11,25689,80170,23388,124592,0,9,3.0,-4.6000000000000005,22.4,7.461111111111111,43.46,100.0,83.85018055555555,2,359,190.6930555555556,0.2,2.5,0.9005555555555557,-4.6000000000000005,26.5,10.393333333333333,2018,Mississippi,Jackson,United States,32.2989,-90.1847,24.0,72.0,45.43,24.0,80.0,50.708,0.7,8.2,2.954578688888889
11,12,24521,66326,21821,111185,0,9,4.0,-13.9,21.8,6.706586021505376,33.68,100.0,87.61197580645161,2,359,194.2284946236559,0.1,2.7,0.931989247311828,-6.5,25.1,8.884139784946237,2018,Mississippi,Jackson,United States,32.2989,-90.1847,7.0,71.0,44.07185483870968,20.0,77.0,47.99145161290323,0.3,8.9,3.0577076021505376
