,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25108,62694,23639,110034,0,9,4.0,-8.4,20.3,4.694354838709677,54.1,100.0,89.28068548387097,1,360,178.15591397849462,0.2,10.6,2.80255376344086,-5.9,21.6,6.413440860215054,2020,Mississippi,Southaven,United States,34.9919,-90.008,17.0,69.0,40.44983870967742,21.0,71.0,43.5441935483871,0.7,34.8,9.194730489247313
1,2,25937,73666,26983,129658,0,9,4.0,-10.2,19.0,4.392559523809524,58.4,100.0,88.39247023809523,3,358,180.1264880952381,0.1,7.1000000000000005,3.2933035714285714,-6.5,20.5,6.273065476190476,2020,Mississippi,Southaven,United States,34.9919,-90.008,14.0,66.0,39.90660714285714,20.0,69.0,43.29151785714286,0.3,23.3,10.804802089285714
2,3,47779,95471,38869,185064,0,9,5.0,-1.9,23.0,11.503629032258065,45.47,100.0,88.73168010752687,0,360,156.3534946236559,0.3,7.0,3.1602150537634413,-0.8,25.700000000000003,13.463575268817204,2020,Mississippi,Southaven,United States,34.9919,-90.008,29.0,73.0,52.70653225806451,31.0,78.0,56.23443548387097,1.0,23.0,10.368159956989247
3,4,54689,159377,46275,218445,0,9,3.0,-1.9,23.200000000000003,11.160694444444443,47.09,100.0,82.08398611111112,2,357,178.9125,0.1,7.5,2.741805555555556,1.8,26.0,14.47625,2020,Mississippi,Southaven,United States,34.9919,-90.008,29.0,74.0,52.08925,35.0,79.0,58.05725,0.3,24.6,8.995425338888891
4,5,71657,187352,48760,248564,0,9,3.0,3.4000000000000004,24.8,16.358064516129033,46.3,100.0,83.20291666666667,3,359,170.68279569892474,0.3,7.4,2.499731182795699,4.9,28.4,19.55456989247312,2020,Mississippi,Southaven,United States,34.9919,-90.008,38.0,77.0,61.444516129032266,41.0,83.0,67.19822580645162,1.0,24.3,8.201218053763442
5,6,67103,193842,52798,245549,0,9,3.0,11.5,26.4,21.039166666666667,45.87,100.0,80.827125,1,355,162.04444444444445,0.2,7.7,2.2891666666666666,14.6,32.1,24.945416666666667,2020,Mississippi,Southaven,United States,34.9919,-90.008,53.0,80.0,69.87049999999999,58.0,90.0,76.90174999999999,0.7,25.3,7.510389566666666
6,7,72228,203935,53107,243801,0,9,3.0,18.9,26.4,23.27620967741936,42.93,100.0,76.88877688172043,8,358,185.25806451612905,0.2,5.7,1.5829301075268818,21.6,35.7,28.2244623655914,2020,Mississippi,Southaven,United States,34.9919,-90.008,66.0,80.0,73.89717741935485,71.0,96.0,82.80403225806452,0.7,18.7,5.193340413978495
7,8,61520,176026,47195,224817,0,9,2.0,13.1,26.8,20.45981182795699,27.94,100.0,71.65815860215054,2,356,151.56451612903226,0.1,7.2,1.8935483870967744,17.7,36.8,26.8372311827957,2020,Mississippi,Southaven,United States,34.9919,-90.008,56.0,80.0,68.82766129032258,64.0,98.0,80.30701612903226,0.3,23.6,6.212429290322581
8,9,53904,140036,45106,182931,0,9,2.0,7.9,26.3,18.06152777777778,33.7,100.0,78.43683333333334,5,354,126.42083333333332,0.3,5.800000000000001,2.2031944444444447,9.7,32.800000000000004,22.492361111111112,2020,Mississippi,Southaven,United States,34.9919,-90.008,46.0,79.0,64.51075,49.0,91.0,72.48625000000001,1.0,19.0,7.228328461111112
9,10,32032,109427,30369,153520,0,8,2.0,-0.9,22.1,11.243010752688171,27.86,100.0,75.77278225806451,4,358,140.51747311827958,0.3,6.4,2.335483870967742,3.0,28.8,16.175672043010753,2020,Mississippi,Southaven,United States,34.9919,-90.008,30.0,72.0,52.23741935483871,37.0,84.0,61.11620967741936,1.0,21.0,7.662348903225806
10,11,24460,94713,19797,116023,0,8,2.0,-7.0,21.5,7.122916666666667,25.38,100.0,76.14429166666666,2,356,160.6013888888889,0.2,7.800000000000001,2.48625,-3.6,26.0,11.715,2020,Mississippi,Southaven,United States,34.9919,-90.008,19.0,71.0,44.82125,26.0,79.0,53.087,0.7,25.6,8.15698845
11,12,21695,71015,19868,102164,0,9,2.0,-12.2,16.1,1.9278225806451608,32.49,100.0,83.1649059139785,4,357,195.0779569892473,0.5,7.4,2.614784946236559,-6.300000000000001,19.1,4.875,2020,Mississippi,Southaven,United States,34.9919,-90.008,10.0,61.0,35.47008064516129,21.0,66.0,40.775,1.6,24.3,8.578691043010753
