,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,19267,46774,12738,72162,0,9,5.0,-20.3,3.0,-5.748924731182796,30.36,88.06,66.0160752688172,6,341,236.95698924731184,0.6000000000000001,9.1,3.354435483870968,-15.3,11.5,0.0641129032258064,2020,Montana,Billings,United States,45.7867,-108.5372,-5.0,37.0,21.651935483870968,4.0,53.0,32.11540322580645,2.0,29.9,11.005366112903229
1,2,23644,75374,16600,101520,0,9,4.0,-17.2,1.3,-6.811160714285715,31.02,92.31,64.77668154761905,1,356,244.9717261904762,0.4,9.7,3.649851190476191,-11.1,15.2,-0.6764880952380953,2020,Montana,Billings,United States,45.7867,-108.5372,1.0,34.0,19.739910714285717,12.0,59.0,30.78232142857143,1.3,31.8,11.974577779761908
2,3,41704,113705,26373,166324,0,9,4.0,-12.1,5.1000000000000005,-4.376344086021505,22.46,93.36,62.1889247311828,3,358,204.83198924731184,0.4,11.5,3.295295698924732,-8.1,21.0,2.855779569892473,2020,Montana,Billings,United States,45.7867,-108.5372,10.0,41.0,24.122580645161293,17.0,70.0,37.14040322580645,1.3,37.7,10.811337940860218
3,4,57068,155647,34206,211877,0,9,4.0,-16.400000000000002,11.8,-2.512361111111112,19.34,92.87,55.50106944444445,4,358,225.55416666666667,0.5,8.200000000000001,3.171111111111112,-9.1,27.4,6.713472222222222,2020,Montana,Billings,United States,45.7867,-108.5372,2.0,53.0,27.47775,16.0,81.0,44.08425,1.6,26.9,10.40390817777778
4,5,69769,177039,41193,253312,0,9,4.0,-7.300000000000001,13.8,4.069354838709677,18.02,93.9,55.625228494623656,4,356,199.03225806451613,0.4,8.5,2.908467741935484,1.2000000000000002,33.7,13.943010752688172,2020,Montana,Billings,United States,45.7867,-108.5372,19.0,57.0,39.32483870967742,34.0,93.0,57.09741935483871,1.3,27.9,9.542217306451612
5,6,64681,195655,36599,260464,0,9,4.0,-3.6,18.1,8.165555555555555,10.5,94.68,51.76455555555556,3,360,230.86666666666667,0.5,6.7,2.719305555555556,7.2,37.0,19.909166666666668,2020,Montana,Billings,United States,45.7867,-108.5372,26.0,65.0,46.698,45.0,99.0,67.8365,1.6,22.0,8.92160643888889
6,7,49820,234284,35613,257880,0,9,2.0,-0.6000000000000001,18.8,10.318817204301077,14.69,93.59,46.5749059139785,0,358,202.96236559139783,0.5,7.9,2.2435483870967743,11.1,37.6,24.06532258064517,2020,Montana,Billings,United States,45.7867,-108.5372,31.0,66.0,50.57387096774194,52.0,100.0,75.31758064516131,1.6,25.9,7.360723290322581
7,8,52771,190043,43287,215839,0,9,2.0,0.7000000000000001,18.8,9.697043010752688,13.25,90.89,43.61731182795699,1,359,193.05241935483872,0.5,5.9,2.168548387096774,10.6,38.6,24.220295698924733,2020,Montana,Billings,United States,45.7867,-108.5372,33.0,66.0,49.45467741935484,51.0,101.0,75.59653225806451,1.6,19.4,7.11466029032258
8,9,42670,142862,35957,163714,0,9,2.0,-8.5,9.8,3.7279166666666654,9.3,81.17,42.781777777777776,4,354,217.9583333333333,0.5,9.4,2.8594444444444447,0.9,38.6,17.91777777777778,2020,Montana,Billings,United States,45.7867,-108.5372,17.0,50.0,38.71025,34.0,101.0,64.25200000000001,1.6,30.8,9.381379711111112
9,10,31055,91613,22195,123455,0,9,4.0,-22.3,7.9,-1.9326612903225808,9.25,92.94,55.55717741935484,2,359,220.4731182795699,0.4,10.2,3.296505376344086,-15.3,30.0,7.641935483870968,2020,Montana,Billings,United States,45.7867,-108.5372,-8.0,46.0,28.521209677419357,4.0,86.0,45.755483870967744,1.3,33.5,10.815306698924733
10,11,18482,52811,14051,77866,0,9,4.0,-16.3,6.4,-4.790416666666666,18.9,96.91,55.50512500000001,9,359,243.7736111111111,0.5,10.0,3.3070833333333334,-9.0,24.3,3.850555555555556,2020,Montana,Billings,United States,45.7867,-108.5372,3.0,44.0,23.37725,16.0,76.0,38.931,1.6,32.8,10.850011283333334
11,12,14614,42055,11154,61393,0,9,4.0,-13.3,3.4000000000000004,-6.166397849462366,26.21,92.53,59.9534811827957,6,352,245.88844086021504,0.5,10.2,3.2483870967741937,-7.300000000000001,14.7,1.1243279569892473,2020,Montana,Billings,United States,45.7867,-108.5372,8.0,38.0,20.90048387096774,19.0,58.0,34.023790322580645,1.6,33.5,10.657438322580646
