,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21090,48510,12869,74550,0,9,5.0,-23.1,0.8,-7.150672043010753,53.75,92.25,77.09057795698925,128,350,217.8790322580645,0.3,4.0,1.606989247311828,-18.8,3.5,-3.715591397849463,2018,Montana,Bozeman,United States,45.6793,-111.0466,-10.0,33.0,19.12879032258064,-2.0,38.0,25.31193548387097,1.0,13.1,5.272274602150538
1,2,28428,67392,16612,104567,0,9,6.0,-29.700000000000003,1.1,-11.605654761904765,54.09,92.03,72.91208333333333,3,359,217.14732142857144,0.3,3.9,1.7130952380952382,-24.6,4.3,-7.5790178571428575,2018,Montana,Bozeman,United States,45.6793,-111.0466,-21.0,34.0,11.109821428571422,-12.0,40.0,18.357767857142857,1.0,12.8,5.620391380952381
2,3,44243,123262,25497,170895,0,9,5.0,-17.6,2.3000000000000003,-6.063709677419356,50.8,89.42,72.94751344086022,10,348,209.6505376344086,0.2,3.5,1.3557795698924733,-13.5,7.6,-1.7629032258064514,2018,Montana,Bozeman,United States,45.6793,-111.0466,0.0,36.0,21.08532258064516,8.0,46.0,28.82677419354839,0.7,11.5,4.448095844086022
3,4,57294,150826,39650,213855,0,9,4.0,-12.9,9.0,-1.875555555555556,24.33,91.36,67.09598611111112,3,358,198.0930555555556,0.3,3.2,1.2604166666666667,-8.200000000000001,22.200000000000003,4.240277777777778,2018,Montana,Bozeman,United States,45.6793,-111.0466,9.0,48.0,28.624,17.0,72.0,39.6325,1.0,10.5,4.135225416666667
4,5,71675,182209,39286,253396,0,9,4.0,-1.0,12.4,5.884543010752688,27.2,93.7,67.5557930107527,2,357,190.4435483870968,0.2,2.2,0.8384408602150538,1.6,25.1,12.415456989247312,2018,Montana,Bozeman,United States,45.6793,-111.0466,30.0,54.0,42.59217741935484,35.0,77.0,54.34782258064516,0.7,7.2,2.750790311827957
5,6,65057,183826,34550,263922,0,9,4.0,-5.5,14.2,7.287222222222223,21.31,92.34,62.82569444444445,3,358,221.6125,0.2,2.2,0.8501388888888889,-0.4,28.5,15.211388888888887,2018,Montana,Bozeman,United States,45.6793,-111.0466,22.0,58.0,45.117,31.0,83.0,59.3805,0.7,7.2,2.789169672222222
6,7,54666,232055,35563,260384,0,9,2.0,2.1,19.0,10.298924731182796,20.29,88.33,56.426841397849465,3,355,198.4784946236559,0.2,1.6,0.6725806451612903,6.5,32.5,20.392876344086023,2018,Montana,Bozeman,United States,45.6793,-111.0466,36.0,66.0,50.53806451612903,44.0,90.0,68.70717741935485,0.7,5.2,2.206629483870968
7,8,61801,181354,60465,213509,0,9,2.0,-1.7000000000000002,16.3,7.080107526881721,13.24,91.42,51.66025537634409,3,360,219.3790322580645,0.2,1.6,0.7318548387096774,3.1,36.6,18.68467741935484,2018,Montana,Bozeman,United States,45.6793,-111.0466,29.0,61.0,44.7441935483871,38.0,98.0,65.63241935483872,0.7,5.2,2.401098629032258
8,9,40847,131419,28047,170913,0,9,3.0,-4.800000000000001,11.3,2.517361111111111,15.4,90.27,52.92943055555556,3,356,206.37916666666663,0.2,1.8,0.7509722222222223,1.1,29.6,13.39402777777778,2018,Montana,Bozeman,United States,45.6793,-111.0466,23.0,52.0,36.53125,34.0,85.0,56.10925,0.7,5.9,2.463819705555556
9,10,30007,78127,17225,125950,0,9,3.0,-11.8,7.9,-1.2041666666666666,17.7,92.22,62.175322580645165,1,355,201.84408602150532,0.2,2.2,0.9038978494623656,-6.0,21.4,6.111962365591398,2018,Montana,Bozeman,United States,45.6793,-111.0466,11.0,46.0,29.8325,21.0,71.0,43.00153225806452,0.7,7.2,2.9655442204301075
10,11,18433,47864,14328,79782,0,9,4.0,-20.3,2.8000000000000003,-6.147916666666666,54.55,88.93,73.28575,1,358,212.72083333333333,0.4,2.6,1.225277777777778,-15.8,7.9,-1.9502777777777776,2018,Montana,Bozeman,United States,45.6793,-111.0466,-5.0,37.0,20.93375,4.0,46.0,28.4895,1.3,8.5,4.019940344444445
11,12,16528,40504,11158,63946,0,9,5.0,-24.9,0.3,-10.846774193548388,49.69,84.62,71.40053763440861,2,356,205.1129032258065,0.4,3.3000000000000003,1.5408602150537636,-19.8,4.3,-6.48991935483871,2018,Montana,Bozeman,United States,45.6793,-111.0466,-13.0,33.0,12.4758064516129,-4.0,40.0,20.31814516129032,1.3,10.8,5.055315827956989
